Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[1, 47, 36, 46, 64]"
2,ISFP-A,Adventurer,"[3, 36, 33, 44, 63]"
3,ISFP-A,Adventurer,"[14, 48, 28, 47, 64]"
4,INFP-A,Mediator,"[12, 52, 31, 36, 67]"
5,ISFP-A,Adventurer,"[8, 47, 33, 46, 74]"
6,ISFP-A,Adventurer,"[7, 48, 26, 47, 67]"
7,ISFP-A,Adventurer,"[8, 48, 37, 46, 65]"
8,INFP-A,Mediator,"[3, 57, 42, 49, 67]"
9,ISFP-A,Adventurer,"[8, 42, 29, 43, 71]"
10,ISFP-A,Adventurer,"[3, 47, 31, 43, 56]"
11,INFP-A,Mediator,"[3, 53, 25, 44, 72]"
12,ISFP-A,Adventurer,"[1, 39, 31, 37, 69]"
13,ISFP-A,Adventurer,"[8, 39, 29, 42, 74]"
14,ISFP-A,Adventurer,"[8, 47, 29, 46, 64]"
15,ISFP-A,Adventurer,"[4, 47, 33, 40, 69]"
16,ISFJ-A,Defender,"[4, 45, 28, 51, 74]"
17,ISFP-A,Adventurer,"[10, 45, 33, 47, 63]"
18,ISFP-A,Adventurer,"[6, 38, 24, 40, 57]"
19,ISFP-A,Adventurer,"[3, 46, 33, 49, 75]"
20,INFP-A,Mediator,"[10, 52, 32, 39, 71]"
21,ISFP-A,Adventurer,"[8, 45, 32, 47, 71]"
22,ISFJ-A,Defender,"[12, 45, 33, 53, 64]"
23,ISFP-A,Adventurer,"[3, 46, 29, 40, 64]"
24,INFP-A,Mediator,"[14, 53, 36, 49, 81]"
25,INFP-A,Mediator,"[0, 52, 25, 40, 64]"
26,ISFP-A,Adventurer,"[12, 35, 33, 37, 65]"
27,ISFP-A,Adventurer,"[4, 45, 33, 47, 67]"
28,INFP-A,Mediator,"[11, 52, 40, 49, 65]"
29,ISFP-A,Adventurer,"[0, 47, 32, 44, 67]"
30,ISFP-A,Adventurer,"[1, 48, 28, 39, 68]"
31,INFP-A,Mediator,"[10, 54, 32, 37, 67]"
32,ISFP-A,Adventurer,"[0, 48, 26, 44, 76]"
33,ISFP-A,Adventurer,"[15, 48, 31, 42, 64]"
34,ISFP-A,Adventurer,"[10, 35, 31, 32, 71]"
35,INFP-A,Mediator,"[14, 53, 32, 35, 74]"
36,ISFP-A,Adventurer,"[6, 38, 32, 33, 65]"
37,INFP-A,Mediator,"[7, 52, 37, 47, 69]"
38,ISFP-A,Adventurer,"[4, 47, 31, 49, 69]"
39,INFP-A,Mediator,"[7, 52, 32, 46, 81]"
40,ISFP-A,Adventurer,"[10, 39, 32, 43, 65]"
41,ISFP-A,Adventurer,"[1, 47, 31, 36, 67]"
42,ISFP-A,Adventurer,"[6, 47, 33, 42, 74]"
43,ISFP-A,Adventurer,"[15, 39, 35, 37, 63]"
44,ISFP-A,Adventurer,"[4, 48, 24, 40, 72]"
45,ISFJ-A,Defender,"[3, 42, 32, 51, 67]"
46,ISFP-A,Adventurer,"[1, 46, 33, 40, 67]"
47,INFP-A,Mediator,"[11, 53, 26, 37, 61]"
48,ISFP-A,Adventurer,"[10, 48, 28, 37, 67]"
49,ISFP-A,Adventurer,"[8, 42, 35, 46, 63]"
50,ISFP-A,Adventurer,"[0, 41, 29, 49, 76]"
51,ISFP-A,Adventurer,"[3, 39, 31, 39, 76]"
52,ISFP-A,Adventurer,"[1, 45, 35, 37, 58]"
53,INFP-A,Mediator,"[7, 51, 31, 46, 64]"
54,INFP-A,Mediator,"[1, 52, 29, 44, 67]"
55,ISFJ-A,Defender,"[4, 39, 33, 53, 71]"
56,INFP-A,Mediator,"[11, 54, 36, 36, 60]"
57,ISFJ-A,Defender,"[4, 47, 31, 58, 71]"
58,ISFJ-A,Defender,"[6, 47, 31, 51, 68]"
59,ISFP-A,Adventurer,"[4, 45, 31, 43, 74]"
60,ISFP-A,Adventurer,"[0, 45, 26, 42, 72]"
61,ISFP-A,Adventurer,"[3, 46, 29, 40, 78]"
62,INFP-A,Mediator,"[0, 53, 31, 36, 63]"
63,ISFJ-A,Defender,"[4, 41, 39, 53, 61]"
64,INFJ-A,Advocate,"[0, 51, 32, 51, 72]"
65,ISFJ-A,Defender,"[0, 41, 28, 51, 69]"
66,ISFP-A,Adventurer,"[0, 43, 31, 44, 72]"
67,ISFP-A,Adventurer,"[8, 38, 31, 49, 61]"
68,ISFP-A,Adventurer,"[1, 48, 32, 37, 69]"
69,ISFJ-A,Defender,"[10, 47, 25, 54, 65]"
70,ISFP-A,Adventurer,"[3, 47, 25, 44, 67]"
71,ISFP-A,Adventurer,"[7, 46, 29, 47, 68]"
72,ISFP-A,Adventurer,"[10, 46, 43, 40, 63]"
73,ISFP-A,Adventurer,"[7, 46, 31, 44, 65]"
74,ISFP-A,Adventurer,"[8, 48, 33, 42, 68]"
75,ISFP-A,Adventurer,"[0, 48, 36, 42, 79]"
76,ISFP-A,Adventurer,"[7, 46, 35, 37, 68]"
77,ISFP-A,Adventurer,"[0, 47, 32, 46, 69]"
78,INFP-A,Mediator,"[6, 56, 29, 49, 61]"
79,ISFP-A,Adventurer,"[6, 39, 36, 46, 65]"
80,ISFP-A,Adventurer,"[1, 48, 33, 47, 75]"
81,INFP-A,Mediator,"[12, 52, 33, 44, 61]"
82,ISFJ-A,Defender,"[7, 47, 29, 53, 76]"
83,ISFP-A,Adventurer,"[11, 46, 29, 42, 67]"
84,ISFP-A,Adventurer,"[3, 45, 32, 40, 65]"
85,ISFP-A,Adventurer,"[4, 47, 37, 43, 63]"
86,ISFJ-A,Defender,"[1, 47, 33, 53, 72]"
87,ISFP-A,Adventurer,"[6, 45, 29, 43, 69]"
88,ISFP-A,Adventurer,"[4, 41, 26, 47, 69]"
89,ISFP-A,Adventurer,"[6, 48, 29, 43, 75]"
90,INFP-A,Mediator,"[1, 52, 29, 36, 68]"
91,ISFJ-A,Defender,"[7, 45, 32, 51, 75]"
92,ISFP-A,Adventurer,"[3, 48, 28, 37, 68]"
93,INFP-A,Mediator,"[8, 54, 39, 49, 67]"
94,INFP-A,Mediator,"[15, 57, 33, 43, 72]"
95,ISFP-A,Adventurer,"[4, 48, 33, 39, 68]"
96,INFP-A,Mediator,"[0, 52, 33, 49, 72]"
97,ISFP-A,Adventurer,"[0, 46, 28, 46, 65]"
98,INFP-A,Mediator,"[4, 51, 31, 36, 69]"
99,ISFJ-A,Defender,"[4, 32, 36, 53, 64]"
100,ISFP-A,Adventurer,"[4, 41, 32, 43, 67]"
