Cycle,Code,Role,Values
1,ENTJ-A,Commander,"[65, 56, 76, 60, 71]"
2,ENTJ-A,Commander,"[67, 52, 67, 65, 74]"
3,ESTJ-A,Executive,"[65, 46, 76, 69, 74]"
4,ENTJ-A,Commander,"[63, 60, 83, 58, 76]"
5,ENTJ-A,Commander,"[69, 63, 90, 65, 67]"
6,ESTJ-A,Executive,"[69, 46, 83, 64, 74]"
7,ESTJ-A,Executive,"[67, 48, 83, 61, 75]"
8,ESTJ-A,Executive,"[61, 46, 76, 63, 78]"
9,ENTJ-A,Commander,"[61, 57, 89, 65, 76]"
10,ESTJ-A,Executive,"[64, 48, 83, 63, 72]"
11,ENTJ-A,Commander,"[71, 53, 82, 54, 78]"
12,ESTJ-A,Executive,"[60, 43, 76, 69, 76]"
13,ESTJ-A,Executive,"[64, 46, 78, 63, 78]"
14,ENTJ-A,Commander,"[72, 52, 86, 63, 79]"
15,ESTJ-A,Executive,"[67, 46, 75, 60, 76]"
16,ENTJ-A,Commander,"[64, 54, 85, 60, 82]"
17,ESTJ-A,Executive,"[68, 46, 81, 64, 72]"
18,ENTJ-A,Commander,"[72, 54, 82, 56, 78]"
19,ENTJ-A,Commander,"[68, 57, 83, 65, 74]"
20,ENTJ-A,Commander,"[69, 52, 85, 63, 81]"
21,ENTJ-A,Commander,"[64, 60, 83, 64, 75]"
22,ENTJ-A,Commander,"[71, 52, 82, 61, 72]"
23,ENTJ-A,Commander,"[64, 52, 81, 65, 78]"
24,ENTJ-A,Commander,"[67, 51, 78, 61, 83]"
25,ENTJ-A,Commander,"[67, 52, 76, 61, 67]"
26,ENTJ-A,Commander,"[64, 51, 96, 61, 74]"
27,ENTJ-A,Commander,"[68, 51, 82, 67, 76]"
28,ENTJ-A,Commander,"[67, 57, 75, 67, 69]"
29,ENTJ-A,Commander,"[64, 51, 82, 63, 83]"
30,ENTJ-A,Commander,"[67, 51, 75, 60, 75]"
31,ENTJ-A,Commander,"[61, 63, 82, 67, 76]"
32,ESTJ-A,Executive,"[64, 48, 85, 63, 79]"
33,ENTJ-A,Commander,"[65, 52, 86, 64, 89]"
34,ENTJ-A,Commander,"[71, 53, 82, 56, 72]"
35,ENTJ-A,Commander,"[76, 57, 86, 63, 75]"
36,ESTJ-A,Executive,"[65, 47, 72, 60, 68]"
37,ESTJ-A,Executive,"[67, 48, 83, 68, 79]"
38,ENTJ-A,Commander,"[64, 52, 85, 67, 75]"
39,ESTJ-A,Executive,"[67, 46, 75, 65, 78]"
40,ENTJ-A,Commander,"[65, 57, 81, 60, 79]"
41,ENTJ-A,Commander,"[64, 52, 88, 58, 76]"
42,ENTJ-A,Commander,"[71, 51, 81, 63, 83]"
43,ENTJ-A,Commander,"[65, 61, 88, 58, 79]"
44,ESTJ-A,Executive,"[74, 46, 81, 51, 76]"
45,ENTJ-A,Commander,"[71, 51, 81, 63, 81]"
46,ENTJ-A,Commander,"[71, 51, 76, 67, 83]"
47,ENTJ-A,Commander,"[64, 52, 82, 65, 78]"
48,ESTJ-A,Executive,"[67, 45, 78, 68, 78]"
49,ESTJ-A,Executive,"[65, 43, 76, 60, 75]"
50,ENTJ-A,Commander,"[69, 53, 72, 63, 88]"
51,ESTJ-A,Executive,"[69, 46, 88, 64, 83]"
