EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,4,1,5,1,1,1,4,1,3,1,5,2,4,5,1,4,2,1,1,1,4,1,2,1,5,4,4,5,1,1,5,1,2,2,2,5,5,5,1.0,1,4,1,5,4,5,2,1,5,4,-9.0,-31.0,2.0,-8.0,13.0,70.36759078969529,86.45115286391469,30.776359863336555,22.994146794032744,32.83113751931617,high,high,low,low,low
1,4,1,5,2,1,1,4,2,4,1,5,1,2,5,1,4,2,1,1,1,2,1,5,1,5,4,4,5,5,1,5,1,2,2,2,5,5,4,1.0,1,5,2,2,4,5,2,1,5,5,-9.0,-27.0,5.0,-8.0,10.0,70.36759078969529,30.98663404708369,84.55011666031412,22.994146794032744,76.34765069075316,high,low,high,low,high
1,4,1,5,1,1,1,5,1,5,1,5,1,5,5,1,4,2,1,1,1,2,1,5,5,2,4,4,4,5,1,2,1,4,2,3,5,5,5,,1,3,2,4,4,5,2,1,5,4,-7.0,-35.0,6.0,-9.0,,82.11605756095736,32.33366918109286,29.734837852504725,77.0661285223388,,high,low,low,high,low
1,5,1,5,1,1,1,5,1,4,1,5,1,4,5,1,4,2,1,2,1,1,1,5,5,5,4,4,5,5,1,2,1,2,3,5,4,5,4,,1,5,2,4,5,5,2,1,5,4,-12.0,-32.0,7.0,-9.0,,13.51772458710916,46.41711503819899,72.65224195615069,77.0661285223388,,low,low,high,high,low
1,4,1,5,1,1,1,5,2,4,1,5,1,4,5,1,4,2,1,2,1,5,1,2,2,5,4,4,5,5,1,5,1,2,2,2,5,5,5,,1,5,1,2,5,5,5,1,5,4,-9.0,-27.0,5.0,-10.0,,70.36759078969529,30.98663404708369,84.55011666031412,8.512509590374071,,high,low,high,low,low
1,4,1,5,1,1,1,4,2,4,1,1,1,5,5,1,4,2,1,1,1,4,1,4,2,5,4,4,4,5,1,2,1,5,2,5,4,5,5,,1,5,2,4,4,5,5,1,5,4,-12.0,-34.0,12.0,-8.0,,13.51772458710916,94.38897867809928,42.497643648784006,22.994146794032744,,low,high,low,low,low
1,4,1,5,1,1,1,5,1,5,1,5,2,4,5,1,4,5,1,1,1,5,1,5,2,5,5,5,4,5,1,2,1,2,3,2,5,5,5,1.0,1,5,2,4,4,5,2,1,5,4,-9.0,-32.0,6.0,-12.0,9.0,70.36759078969529,46.41711503819899,29.734837852504725,21.548031646510875,23.922307874891292,high,low,low,low,low
1,4,1,5,1,1,1,5,1,3,1,5,1,2,5,1,4,2,1,2,1,5,1,5,1,5,5,4,2,1,1,5,1,2,2,3,4,5,5,1.0,1,5,2,4,4,5,5,1,5,4,-10.0,-28.0,5.0,-9.0,12.0,10.625592781144464,71.25704566249172,84.55011666031412,77.0661285223388,23.34368453554028,low,high,high,high,low
1,4,1,5,1,1,1,5,2,5,1,5,2,5,5,1,5,5,1,1,1,2,1,4,1,5,4,4,5,5,1,2,1,2,2,2,4,5,5,1.0,1,5,1,5,4,5,2,1,5,4,-9.0,-33.0,8.0,-12.0,7.0,70.36759078969529,10.931204393400838,70.24063836681471,21.548031646510875,15.370796609217988,high,low,high,low,low
1,5,1,5,1,1,1,5,1,4,1,5,1,4,5,1,4,2,1,2,1,2,1,5,2,5,5,4,5,2,1,2,1,2,2,3,4,5,5,1.0,1,5,2,4,5,5,2,1,5,4,-10.0,-33.0,7.0,-9.0,12.0,10.625592781144464,10.931204393400838,72.65224195615069,77.0661285223388,23.34368453554028,low,low,high,high,low
1,4,1,5,1,1,1,4,2,5,1,1,1,2,5,1,4,5,1,1,1,1,1,5,1,2,4,5,5,2,1,2,1,5,2,5,4,5,5,1.0,1,5,1,5,5,5,2,1,5,4,-9.0,-34.0,12.0,-13.0,11.0,70.36759078969529,94.38897867809928,42.497643648784006,42.495575378124194,74.38180867314527,high,high,low,low,high
1,5,1,5,1,1,1,5,1,4,1,5,1,4,5,1,5,5,1,1,1,2,1,5,2,5,5,4,5,1,1,2,1,5,1,5,4,5,5,,1,5,2,2,4,5,2,1,5,4,-12.0,-34.0,8.0,-12.0,,13.51772458710916,94.38897867809928,70.24063836681471,21.548031646510875,,low,high,high,low,low
1,5,1,5,1,1,1,4,1,5,1,5,1,5,5,1,5,2,1,1,1,2,1,4,2,5,4,4,5,5,1,2,1,5,3,2,4,5,5,,1,5,2,5,5,5,5,1,5,4,-9.0,-37.0,10.0,-8.0,,70.36759078969529,84.09943063463407,63.54239610140829,22.994146794032744,,high,high,high,low,low
