EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,5,1,1,2,1,1,2,5,3,1,5,1,2,5,1,5,3,5,2,1,2,1,5,2,2,5,4,1,1,1,2,1,1,5,5,4,5,2,1.0,1,2,1,1,2,5,2,1,4,2,-9.0,-7.0,5.0,-8.0,13.0,70.36759078969529,80.03094526863389,84.55011666031412,22.994146794032744,32.83113751931617,high,high,high,low,low
1,5,1,1,1,1,1,5,5,4,1,5,2,2,5,1,5,5,2,2,1,2,1,2,1,5,5,4,1,1,1,2,1,2,2,2,5,5,1,1.0,1,2,1,1,5,5,2,2,2,2,-9.0,-5.0,6.0,-11.0,10.0,70.36759078969529,82.91913751143704,29.734837852504725,55.62279076684582,76.34765069075316,high,high,low,high,high
1,4,1,2,1,1,1,5,5,3,1,5,2,2,5,1,2,2,5,1,1,2,1,2,2,2,4,3,1,1,1,2,1,2,2,3,4,5,1,,1,5,1,1,2,5,2,1,2,2,-7.0,-3.0,5.0,-8.0,,82.11605756095736,39.54553199368488,84.55011666031412,22.994146794032744,,high,low,high,low,low
1,4,1,1,1,1,1,5,5,4,1,1,1,2,5,1,5,3,2,1,1,5,1,2,2,5,4,4,2,1,1,2,1,1,5,2,5,5,1,1.0,1,5,2,1,5,5,2,1,2,2,-9.0,-5.0,10.0,-10.0,15.0,70.36759078969529,82.91913751143704,63.54239610140829,8.512509590374071,5.180525557423565,high,high,high,low,low
1,3,1,1,2,1,1,5,5,3,1,5,2,2,5,1,5,5,5,2,1,5,1,2,5,2,5,4,2,1,1,2,1,2,2,5,5,5,2,1.0,1,5,2,1,3,5,2,1,2,2,-9.0,-4.0,8.0,-11.0,14.0,70.36759078969529,21.7977014618734,70.24063836681471,55.62279076684582,34.399379124845744,high,low,high,high,low
1,4,1,1,2,1,1,5,5,3,1,5,2,2,5,1,2,5,5,2,1,2,1,2,2,5,5,5,1,1,1,2,1,2,5,5,4,5,1,1.0,1,3,1,1,4,5,2,1,5,2,-12.0,-5.0,4.0,-13.0,15.0,13.51772458710916,82.91913751143704,16.684345456354073,42.495575378124194,5.180525557423565,low,high,low,low,low
1,4,1,1,2,1,1,5,5,4,1,5,1,1,5,1,5,5,2,1,1,5,1,2,2,5,5,3,2,1,1,5,1,2,2,2,5,5,1,1.0,1,5,2,1,3,5,2,1,2,3,-9.0,-5.0,4.0,-11.0,12.0,70.36759078969529,82.91913751143704,16.684345456354073,55.62279076684582,23.34368453554028,high,high,low,high,low
1,5,1,1,2,1,1,5,2,3,1,5,1,2,5,1,5,2,5,1,1,4,1,5,1,5,4,4,2,5,1,2,1,2,2,5,4,5,1,1.0,1,5,1,2,5,5,2,1,2,2,-12.0,-10.0,5.0,-10.0,9.0,13.51772458710916,3.351090914283969,84.55011666031412,8.512509590374071,23.922307874891292,low,low,high,low,low
1,3,1,2,1,1,1,5,5,4,1,5,1,2,5,1,4,2,2,2,1,2,1,1,2,5,5,5,2,1,1,2,1,2,5,5,4,5,1,1.0,1,5,2,1,4,5,2,1,4,2,-12.0,-8.0,9.0,-10.0,13.0,13.51772458710916,78.62373330733222,64.5474771529959,8.512509590374071,32.83113751931617,low,high,high,low,low
1,5,1,1,1,1,1,5,5,5,1,5,1,2,5,1,4,2,4,1,1,5,1,2,1,2,5,3,1,2,1,2,1,1,2,5,4,5,1,,1,5,1,2,3,5,2,1,2,2,-9.0,-3.0,4.0,-9.0,,70.36759078969529,39.54553199368488,16.684345456354073,77.0661285223388,,high,low,low,high,low
