EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,1,4,2,5,2,4,1,4,5,5,1,4,5,1,1,2,2,1,1,5,1,5,2,5,1,4,5,5,5,4,1,5,2,5,1,5,5,1.0,5,2,1,5,3,1,1,2,4,5,4.0,-34.0,-10.0,-8.0,10.0,85.44154131469132,94.38897867809928,26.17219239644612,22.994146794032744,76.34765069075316,high,high,low,low,high
5,4,1,5,2,2,2,4,2,5,5,1,1,2,5,1,1,3,2,2,1,4,1,5,2,5,1,4,5,5,5,2,1,5,2,2,1,5,5,1.0,5,2,2,5,3,1,1,2,4,4,10.0,-32.0,-3.0,-8.0,7.0,27.42970095760932,46.41711503819899,6.37559204247637,22.994146794032744,15.370796609217988,low,low,low,low,low
5,4,1,5,2,1,3,4,1,2,2,5,1,4,5,1,1,2,1,5,5,4,1,5,2,5,1,4,5,5,5,4,1,5,2,2,1,5,5,1.0,5,2,1,5,3,2,2,1,5,4,11.0,-37.0,-7.0,-9.0,7.0,23.179010795387956,84.09943063463407,6.154878016351157,77.0661285223388,15.370796609217988,low,high,low,high,low
5,4,1,5,2,1,2,4,1,4,5,5,2,4,5,1,1,2,1,2,2,2,1,4,2,2,1,4,5,5,5,4,1,5,2,2,1,5,5,,5,3,1,5,3,1,1,1,5,5,15.0,-36.0,-6.0,-8.0,,18.86341633008024,66.42861856263067,71.09503112747343,22.994146794032744,,low,high,high,low,low
5,4,1,5,2,1,3,4,1,4,5,5,1,2,5,2,1,3,1,1,1,5,1,4,2,2,1,4,4,5,5,2,1,5,2,3,1,5,5,1.0,5,1,2,5,3,1,1,2,5,5,12.0,-33.0,-8.0,-8.0,10.0,31.687186866284332,10.931204393400838,77.43575803597018,22.994146794032744,76.34765069075316,low,low,high,low,high
5,4,1,5,2,1,2,4,2,4,5,5,5,2,5,1,1,5,1,1,1,4,1,5,3,2,1,4,5,5,5,2,1,5,2,2,2,5,5,1.0,5,3,1,5,3,2,1,1,5,5,13.0,-34.0,-5.0,-8.0,11.0,10.758946994162551,94.38897867809928,76.42575253043067,22.994146794032744,74.38180867314527,low,high,high,low,high
5,4,1,5,2,1,2,4,2,4,5,5,2,4,5,2,1,3,1,2,2,4,1,4,5,2,1,4,5,5,5,2,1,5,2,2,2,5,5,1.0,5,4,2,5,3,1,1,1,4,5,14.0,-34.0,-4.0,-8.0,12.0,89.69705744178556,94.38897867809928,78.47127221298067,22.994146794032744,23.34368453554028,high,high,high,low,low
5,4,1,4,2,5,2,4,1,4,5,5,2,4,5,1,1,5,1,2,1,4,1,2,2,2,1,4,4,5,5,5,1,4,2,2,1,5,5,1.0,5,2,5,5,3,2,2,1,4,5,9.0,-30.0,-9.0,-7.0,9.0,87.37084388397592,6.304876883726748,43.93844038603779,5.486925082312248,23.922307874891292,high,low,low,low,low
5,4,1,4,2,2,2,5,2,2,5,2,2,5,5,1,1,2,1,2,1,4,1,4,5,2,1,4,4,5,5,2,1,2,2,3,1,5,5,1.0,5,2,1,5,3,1,2,2,2,5,12.0,-28.0,-3.0,-8.0,14.0,31.687186866284332,71.25704566249172,6.37559204247637,22.994146794032744,34.399379124845744,low,high,low,low,low
5,4,1,5,5,2,2,4,1,5,5,5,2,5,5,1,1,5,1,2,1,4,1,2,2,2,1,4,4,5,5,2,1,2,3,5,1,5,5,,5,2,1,5,3,1,2,1,5,5,10.0,-31.0,-6.0,-11.0,,27.42970095760932,86.45115286391469,71.09503112747343,55.62279076684582,,low,high,high,high,low
5,4,1,4,5,1,2,4,2,4,2,5,2,5,5,1,1,2,1,5,1,2,1,4,2,5,1,4,5,5,5,4,1,5,2,3,2,5,5,1.0,5,2,2,5,3,2,1,2,5,5,6.0,-35.0,-6.0,-6.0,9.0,59.521087004267535,32.33366918109286,71.09503112747343,54.4445659143086,23.922307874891292,high,low,high,high,low
5,4,1,5,2,5,2,5,1,4,5,2,2,5,5,2,1,5,1,1,1,4,1,5,2,5,1,4,5,5,5,4,1,4,2,2,1,5,5,1.0,5,2,2,5,2,2,2,1,5,4,5.0,-37.0,-5.0,-11.0,8.0,98.82857089391642,84.09943063463407,76.42575253043067,55.62279076684582,99.19879134202203,high,high,high,high,high
5,4,1,5,5,2,2,4,1,4,2,5,1,4,5,2,1,3,1,2,1,5,1,5,2,5,1,4,4,5,5,2,1,5,2,5,1,5,5,1.0,5,4,5,5,3,1,2,1,4,5,3.0,-35.0,-5.0,-6.0,12.0,16.75033313930985,32.33366918109286,76.42575253043067,54.4445659143086,23.34368453554028,low,low,high,high,low
5,4,1,5,2,2,4,4,1,4,2,5,2,4,5,1,1,3,1,2,1,4,1,5,3,5,1,4,4,5,5,2,1,5,2,2,1,5,5,1.0,5,2,2,5,2,1,2,1,4,5,7.0,-35.0,-4.0,-8.0,9.0,80.7216491799307,32.33366918109286,78.47127221298067,22.994146794032744,23.922307874891292,high,low,high,low,low
5,4,1,4,2,1,2,5,1,5,5,2,2,2,5,2,1,5,2,1,2,2,1,5,2,5,1,4,5,2,5,2,1,2,2,2,1,5,5,,5,4,1,5,3,1,1,1,5,5,11.0,-30.0,0.0,-12.0,,23.179010795387956,6.304876883726748,93.15569843037956,21.548031646510875,,low,low,high,low,low
5,4,1,5,2,2,2,4,1,4,4,2,2,2,5,1,1,5,1,2,1,4,1,4,2,2,1,4,5,5,5,2,1,2,2,3,1,5,5,1.0,5,2,2,5,2,1,1,2,5,5,11.0,-31.0,-4.0,-9.0,8.0,23.179010795387956,86.45115286391469,78.47127221298067,77.0661285223388,99.19879134202203,low,high,high,high,high
