EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,1,5,2,1,4,4,1,2,5,5,2,4,1,1,5,2,1,4,1,5,1,4,1,5,4,4,5,2,5,5,1,4,2,2,4,5,5,,5,2,2,5,1,1,4,1,5,1,11.0,-35.0,4.0,-7.0,,23.179010795387956,32.33366918109286,16.684345456354073,5.486925082312248,,low,low,low,low,low
5,4,1,5,2,1,2,4,1,5,5,5,1,2,1,1,4,2,1,5,2,2,1,4,1,5,5,4,5,2,5,2,1,2,2,2,4,5,5,,5,4,1,5,1,2,4,1,4,1,11.0,-30.0,10.0,-9.0,,23.179010795387956,6.304876883726748,63.54239610140829,77.0661285223388,,low,low,high,high,low
5,4,1,5,2,2,4,4,1,3,5,5,2,2,1,1,5,2,1,5,1,2,1,2,1,5,5,4,4,2,5,2,1,4,2,5,4,5,4,,2,3,2,4,1,1,5,1,4,1,4.0,-27.0,13.0,-7.0,,85.44154131469132,30.98663404708369,67.33806671847192,5.486925082312248,,high,low,high,low,low
5,4,1,5,1,1,4,4,1,3,5,2,1,2,1,1,5,2,1,5,1,2,1,2,1,2,4,4,5,2,5,2,1,4,2,2,5,5,5,,5,2,2,5,1,2,4,1,4,1,13.0,-30.0,14.0,-8.0,,10.758946994162551,6.304876883726748,31.89952932069128,22.994146794032744,,low,low,low,low,low
5,4,1,5,1,1,4,5,2,3,5,1,2,5,1,1,4,2,1,5,2,2,1,5,1,5,4,4,5,2,5,2,1,2,2,5,4,5,5,1.0,5,5,2,5,2,1,4,1,5,1,9.0,-34.0,16.0,-8.0,-1.0,87.37084388397592,94.38897867809928,58.82614806257208,22.994146794032744,45.80845252974124,high,high,high,low,low
5,4,1,5,2,1,5,2,2,2,5,5,1,5,1,1,3,5,1,5,1,5,1,2,1,5,5,4,4,2,5,2,1,5,2,2,4,5,5,,5,2,1,5,2,1,4,1,4,1,11.0,-32.0,7.0,-10.0,,23.179010795387956,46.41711503819899,72.65224195615069,8.512509590374071,,low,low,high,low,low
5,4,1,4,2,2,2,4,1,3,5,1,1,5,1,1,5,2,1,5,2,5,1,2,1,2,4,4,5,2,5,2,1,4,2,5,4,5,5,,5,4,1,4,1,2,5,1,2,1,10.0,-29.0,12.0,-9.0,,27.42970095760932,8.820583429606408,42.497643648784006,77.0661285223388,,low,low,low,high,low
5,4,1,5,1,1,4,4,1,2,5,5,1,5,1,1,4,5,1,5,1,2,1,4,1,2,5,4,5,2,5,2,1,2,2,2,4,2,5,,2,5,1,5,1,1,2,1,4,1,11.0,-33.0,11.0,-9.0,,23.179010795387956,10.931204393400838,69.95048953996736,77.0661285223388,,low,low,high,high,low
5,5,1,5,2,2,2,4,1,3,5,2,2,2,1,1,4,3,1,5,1,2,1,5,1,2,4,4,5,2,5,2,1,5,2,2,4,5,5,1.0,5,4,2,5,1,1,5,1,4,1,13.0,-34.0,12.0,-8.0,-1.0,10.758946994162551,94.38897867809928,42.497643648784006,22.994146794032744,45.80845252974124,low,high,low,low,low
5,4,1,5,2,1,5,5,1,3,5,1,2,5,1,1,4,2,1,5,1,2,1,4,1,5,5,4,5,2,5,5,1,5,1,5,4,5,5,,5,5,2,4,1,1,4,1,4,1,8.0,-35.0,15.0,-8.0,,31.573038023678745,32.33366918109286,61.20948528622405,22.994146794032744,,low,low,high,low,low
5,4,1,4,1,2,2,4,1,3,5,2,1,4,1,1,3,2,1,5,1,4,1,2,1,5,5,4,5,2,5,2,1,2,2,5,4,5,5,,5,2,1,5,2,2,5,1,4,1,6.0,-29.0,9.0,-9.0,,59.521087004267535,8.820583429606408,64.5474771529959,77.0661285223388,,high,low,high,high,low
5,4,1,5,2,1,4,5,1,2,5,2,1,5,1,1,4,2,1,5,1,2,1,5,1,2,4,4,4,2,5,2,1,2,2,5,4,2,5,,5,5,2,5,2,1,4,1,4,1,11.0,-33.0,15.0,-6.0,,23.179010795387956,10.931204393400838,61.20948528622405,54.4445659143086,,low,low,high,high,low
