EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,1,1,2,2,2,3,5,5,5,5,2,2,5,1,1,2,4,2,1,4,1,1,5,2,1,3,2,5,5,4,1,5,5,2,1,5,2,1.0,5,1,5,2,2,1,5,1,1,5,13.0,-7.0,-6.0,-2.0,13.0,10.758946994162551,80.03094526863389,71.09503112747343,88.29861100851832,32.83113751931617,low,high,high,high,low
5,4,1,2,2,2,2,5,5,3,5,5,5,2,5,1,1,2,2,2,1,2,1,2,5,2,1,4,2,5,5,2,2,2,3,2,1,2,2,,5,1,2,2,3,1,3,1,2,4,13.0,-9.0,-4.0,-1.0,,10.758946994162551,58.10382915690394,78.47127221298067,22.402818363485764,,low,high,high,low,low
5,4,1,1,2,2,2,4,2,4,5,2,1,2,5,1,1,2,2,5,2,4,1,2,3,2,1,2,2,5,5,4,1,2,2,3,1,5,2,1.0,5,1,2,2,3,2,5,2,2,5,12.0,-11.0,-3.0,-5.0,7.0,31.687186866284332,72.51416026733875,6.37559204247637,54.576639769299184,15.370796609217988,low,high,low,high,low
5,4,1,1,2,3,2,5,5,5,5,5,2,1,5,1,1,2,5,5,2,4,1,2,2,5,1,3,2,5,5,2,1,2,2,2,1,5,2,1.0,5,2,2,2,3,1,2,2,1,5,10.0,-3.0,-6.0,-6.0,5.0,27.42970095760932,39.54553199368488,71.09503112747343,54.4445659143086,47.45568237665967,low,low,high,high,low
5,4,1,1,2,1,3,4,4,4,5,5,2,1,5,1,1,2,4,5,2,2,1,2,2,5,1,4,2,5,5,2,1,2,2,5,1,5,2,1.0,5,2,1,2,2,1,2,1,1,5,9.0,-5.0,-3.0,-8.0,5.0,87.37084388397592,82.91913751143704,6.37559204247637,22.994146794032744,47.45568237665967,high,high,low,low,low
5,4,1,2,2,2,2,4,5,2,2,5,1,1,5,5,1,2,4,2,1,5,1,2,3,2,1,4,2,5,5,2,1,2,2,2,2,5,5,1.0,5,2,2,2,2,1,3,1,2,5,6.0,-9.0,-5.0,-8.0,11.0,59.521087004267535,58.10382915690394,76.42575253043067,22.994146794032744,74.38180867314527,high,high,high,low,high
5,4,1,1,5,1,2,4,5,2,5,2,5,1,5,1,1,2,2,2,5,2,1,2,2,2,1,4,2,5,5,2,1,2,5,2,1,5,2,,2,1,2,2,2,1,2,1,2,5,15.0,-7.0,-2.0,-4.0,,18.86341633008024,80.03094526863389,29.099681781785623,68.203588745062,,low,high,low,high,low
5,4,1,1,2,2,2,4,5,2,2,1,5,1,5,1,1,2,2,5,1,5,1,2,2,2,1,3,2,5,5,2,1,2,2,5,1,5,2,2.0,5,2,1,2,3,1,2,2,2,5,7.0,-7.0,-3.0,-3.0,9.0,80.7216491799307,80.03094526863389,6.37559204247637,29.236778579807176,23.922307874891292,high,high,low,low,low
5,4,1,1,2,1,3,4,4,4,5,5,2,1,5,1,1,3,5,5,1,2,1,2,2,5,1,3,2,5,5,2,1,2,2,2,1,2,1,1.0,5,1,2,5,3,2,2,2,2,5,10.0,-7.0,-4.0,-3.0,6.0,27.42970095760932,80.03094526863389,78.47127221298067,29.236778579807176,96.41095947075908,low,high,high,low,high
5,4,1,2,2,1,2,5,5,3,2,2,5,2,5,1,1,5,5,5,1,5,1,2,2,5,1,4,2,3,5,5,1,2,2,2,1,5,2,1.0,5,2,2,5,3,1,2,1,2,5,8.0,-9.0,-7.0,-8.0,9.0,31.573038023678745,58.10382915690394,6.154878016351157,22.994146794032744,23.922307874891292,low,high,low,low,low
