EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,1,2,1,1,2,4,5,3,5,2,2,1,1,1,3,5,4,5,2,2,1,2,1,2,5,4,1,2,5,2,1,2,1,3,5,5,2,,5,2,5,2,1,1,5,1,1,1,14.0,-4.0,11.0,-7.0,,89.69705744178556,21.7977014618734,69.95048953996736,5.486925082312248,,high,low,high,low,low
5,4,1,1,1,1,2,2,5,3,5,2,5,2,1,1,4,2,2,5,2,5,1,2,1,2,4,3,2,2,5,2,1,2,2,3,5,5,2,,2,3,2,2,1,1,5,1,2,1,11.0,-8.0,10.0,-1.0,,23.179010795387956,78.62373330733222,63.54239610140829,22.402818363485764,,low,high,high,low,low
5,5,1,1,1,2,2,4,2,3,5,5,2,2,1,1,5,3,4,2,1,5,1,1,1,2,5,4,2,2,5,2,1,2,2,5,5,5,2,1.0,2,5,2,2,1,1,5,1,2,1,7.0,-8.0,10.0,-8.0,1.0,80.7216491799307,78.62373330733222,63.54239610140829,22.994146794032744,28.65520056808501,high,high,high,low,low
5,5,1,1,2,2,2,4,5,5,5,5,5,1,1,1,5,2,4,5,1,5,1,1,1,2,4,4,2,2,5,2,1,2,1,5,5,2,2,,5,4,5,1,2,2,5,1,1,1,9.0,-2.0,8.0,2.0,,87.37084388397592,71.09296285681363,70.24063836681471,16.971441121751216,,high,high,high,low,low
5,4,1,1,1,2,2,4,5,5,5,5,1,2,1,1,2,5,5,5,1,5,1,2,1,5,4,4,1,2,5,5,1,2,2,2,4,5,2,1.0,5,2,5,1,1,2,5,1,1,1,9.0,-2.0,0.0,-8.0,-4.0,87.37084388397592,71.09296285681363,93.15569843037956,22.994146794032744,13.372847151843567,high,high,high,low,low
5,5,1,2,1,2,2,4,4,5,5,5,5,1,1,2,3,3,5,5,5,5,1,2,1,5,5,3,2,2,5,2,1,1,1,5,2,5,2,1.0,5,2,2,1,2,1,5,1,1,1,10.0,-3.0,2.0,-4.0,-4.0,27.42970095760932,39.54553199368488,30.776359863336555,68.203588745062,13.372847151843567,low,low,low,high,low
5,5,1,1,2,1,2,2,5,5,5,2,1,1,1,1,4,2,4,5,1,2,1,2,1,5,4,4,2,2,5,5,1,2,1,3,4,5,2,1.0,5,5,2,1,2,2,5,1,1,1,9.0,-3.0,10.0,-6.0,-3.0,87.37084388397592,39.54553199368488,63.54239610140829,54.4445659143086,24.121748259944194,high,low,high,high,low
5,5,1,1,2,2,2,5,2,3,5,2,1,2,1,1,4,5,4,2,1,4,1,2,1,2,4,3,2,2,5,2,1,2,2,2,4,5,2,1.0,5,2,2,2,1,1,5,1,2,1,13.0,-9.0,8.0,-11.0,2.0,10.758946994162551,58.10382915690394,70.24063836681471,55.62279076684582,45.26282303186811,low,high,high,high,low
5,4,1,1,2,1,2,4,5,5,5,5,5,1,1,1,2,3,4,5,1,5,1,2,1,1,5,5,2,2,5,2,1,2,2,2,5,5,1,1.0,5,3,2,2,1,1,2,1,2,1,15.0,-4.0,3.0,-6.0,-3.0,18.86341633008024,21.7977014618734,25.538415172833563,54.4445659143086,24.121748259944194,low,low,low,high,low
5,4,1,1,1,1,2,4,5,5,5,5,1,2,1,1,3,3,4,2,5,5,1,2,1,5,4,4,2,2,5,2,1,2,2,5,4,5,2,,2,5,1,1,1,1,2,1,2,1,9.0,-5.0,4.0,-10.0,,87.37084388397592,82.91913751143704,16.684345456354073,8.512509590374071,,high,high,low,low,low
5,4,1,1,1,2,5,2,4,2,2,1,1,1,1,1,4,5,5,5,5,5,1,2,1,1,5,3,1,2,5,2,2,2,2,2,5,5,2,1.0,5,3,1,1,2,2,5,1,1,1,14.0,-2.0,15.0,-8.0,0.0,89.69705744178556,71.09296285681363,61.20948528622405,22.994146794032744,24.09899728268631,high,high,high,low,low
5,5,1,1,2,1,5,4,5,2,5,5,2,1,1,1,3,2,5,5,1,2,1,2,1,2,5,4,2,2,5,2,1,2,2,2,2,5,2,1.0,2,2,2,1,1,2,5,1,2,1,10.0,-3.0,8.0,-7.0,0.0,27.42970095760932,39.54553199368488,70.24063836681471,5.486925082312248,24.09899728268631,low,low,high,low,low
