EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,5,1,1,5,2,2,5,5,5,5,2,1,1,2,5,2,2,5,1,5,5,1,1,2,5,5,2,1,5,2,5,1,2,2,5,2,1,1.0,5,5,2,1,2,2,5,5,1,1,8.0,-2.0,11.0,13.0,-2.0,31.573038023678745,71.09296285681363,69.95048953996736,38.44590142622035,15.79449662724149,low,high,high,low,low
5,5,5,2,2,5,2,3,2,2,5,1,2,1,1,1,3,2,5,5,1,2,5,2,1,5,5,5,2,2,5,2,2,1,2,2,5,2,2,1.0,5,5,1,2,2,2,5,5,1,1,6.0,-6.0,15.0,8.0,1.0,59.521087004267535,60.86211430445535,61.20948528622405,75.56111690555193,28.65520056808501,high,high,high,high,low
5,5,2,1,2,1,2,5,5,2,5,2,1,1,1,1,5,5,5,5,1,2,5,1,1,1,4,4,1,2,5,2,2,1,2,3,5,2,1,,5,3,1,2,2,2,5,4,2,1,13.0,0.0,13.0,-1.0,,10.758946994162551,39.68420461697104,67.33806671847192,22.402818363485764,,low,low,high,low,low
5,5,5,1,2,2,2,5,5,5,5,2,1,1,1,1,5,2,2,5,5,2,5,1,1,2,5,4,2,2,5,5,1,2,2,5,5,5,1,1.0,5,2,1,1,2,1,5,2,1,1,14.0,-3.0,10.0,-1.0,-2.0,89.69705744178556,39.54553199368488,63.54239610140829,22.402818363485764,15.79449662724149,high,low,high,low,low
5,5,5,1,1,2,2,5,2,2,5,1,1,1,1,1,5,2,2,5,2,2,5,2,1,2,5,4,1,2,5,5,1,2,2,5,5,5,1,1.0,5,2,2,1,2,2,5,2,1,1,10.0,-6.0,11.0,0.0,0.0,27.42970095760932,60.86211430445535,69.95048953996736,75.94729258446176,24.09899728268631,low,high,high,high,low
5,5,5,1,1,1,4,5,5,2,5,1,2,1,1,1,2,2,5,5,1,5,5,2,1,5,4,5,2,1,5,2,2,2,2,5,5,2,1,,2,3,2,2,2,1,5,5,2,1,5.0,-3.0,10.0,7.0,,98.82857089391642,39.54553199368488,63.54239610140829,85.8815905198352,,high,low,high,high,low
5,5,5,1,1,2,5,5,5,5,2,5,2,1,1,1,5,2,5,5,5,2,5,2,1,2,5,5,1,1,5,2,2,2,2,2,5,2,1,2.0,5,5,1,1,2,1,5,5,1,1,14.0,0.0,16.0,6.0,-1.0,89.69705744178556,39.68420461697104,58.82614806257208,96.12317438180868,45.80845252974124,high,low,high,high,low
5,4,5,2,1,1,4,5,5,3,5,2,5,1,1,1,2,2,4,5,2,2,5,2,1,5,5,5,2,2,5,2,5,2,2,2,5,5,1,,5,2,1,2,2,2,5,2,1,1,11.0,-4.0,13.0,6.0,,23.179010795387956,21.7977014618734,67.33806671847192,96.12317438180868,,low,low,high,high,low
5,5,2,1,2,2,2,4,4,3,5,2,2,2,1,1,4,2,5,5,1,5,5,2,1,5,4,5,1,2,5,2,5,1,2,2,5,2,1,1.0,2,3,1,2,2,1,5,4,2,1,7.0,-3.0,9.0,6.0,0.0,80.7216491799307,39.54553199368488,64.5474771529959,96.12317438180868,24.09899728268631,high,low,high,high,low
5,5,3,1,1,5,5,4,2,3,5,1,2,2,1,1,4,2,2,5,1,2,5,1,1,1,5,5,1,1,5,2,2,1,1,2,5,2,2,,5,2,1,2,2,1,5,4,2,1,11.0,-8.0,16.0,4.0,,23.179010795387956,78.62373330733222,58.82614806257208,55.48786072856311,,low,high,high,high,low
