EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,2,5,4,5,5,5,5,5,5,1,2,4,5,2,5,5,5,5,5,5,2,5,2,5,5,1,5,5,5,5,4,5,4,4,5,1,1,5,2,5,2,1,3,3,5,2,5,2,33,27,38,26,28,16.75033313930985,98.45903986936408,31.89952932069128,16.971441121751216,76.34765069075316,low,high,low,low,high
2,5,5,2,4,5,5,1,5,4,5,1,5,5,5,2,5,1,2,5,5,5,2,5,5,5,5,5,4,5,5,5,2,5,4,4,5,1,1,5,1,5,5,1,2,5,5,2,1,5,27,31,38,37,34,19.23934914477008,57.26086112941366,31.89952932069128,38.44590142622035,47.69983680359604,low,high,low,low,low
5,5,2,1,5,5,5,5,3,5,5,1,4,5,5,2,5,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,1,1,5,2,5,2,1,5,5,5,1,5,2,31,25,38,28,36,69.54963898828078,35.775960982566446,31.89952932069128,55.48786072856311,47.73568682836604,high,low,low,high,low
5,5,2,5,4,5,5,5,3,5,5,1,4,4,5,2,5,1,5,5,5,5,2,2,2,4,5,1,5,5,4,5,5,5,5,4,5,1,1,5,1,5,2,1,4,4,5,2,5,5,31,28,38,33,33,69.54963898828078,96.961119466268,31.89952932069128,73.79648807641964,5.180525557423565,high,high,low,high,low
5,5,2,1,4,4,5,5,3,5,5,1,4,2,5,2,5,1,2,5,4,5,2,5,5,5,5,1,5,5,5,5,2,2,4,5,5,1,1,5,1,5,2,1,5,5,5,1,1,5,29,35,38,29,36,1.4695555483330232,53.631637055925054,31.89952932069128,17.22022453540239,47.73568682836604,low,high,low,low,low
5,5,2,2,5,5,5,5,2,4,5,1,4,5,2,2,5,1,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,4,5,1,5,1,1,5,2,1,5,2,5,1,5,5,33,22,38,30,31,16.75033313930985,41.11702373882272,31.89952932069128,96.12317438180868,32.83113751931617,low,low,low,high,low
2,5,2,4,5,5,5,5,3,5,5,1,3,5,4,2,5,1,5,4,4,5,2,5,5,5,5,5,5,5,5,5,2,5,4,4,5,1,5,5,1,5,2,1,3,2,5,1,5,2,29,21,38,24,32,1.4695555483330232,30.98663404708369,31.89952932069128,75.94729258446176,34.399379124845744,low,low,low,high,low
2,5,2,2,5,5,5,5,3,4,5,1,4,4,3,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,5,1,1,5,1,5,2,1,3,5,5,2,5,5,26,31,38,31,34,37.74308335820182,57.26086112941366,31.89952932069128,85.8815905198352,47.69983680359604,low,high,low,high,low
5,5,2,5,4,4,5,5,3,5,5,1,3,5,5,2,5,1,5,5,5,5,5,2,5,5,5,5,5,5,4,5,2,2,4,5,5,1,1,1,1,5,5,5,3,3,5,2,5,2,31,26,38,31,27,69.54963898828078,65.1757389881823,31.89952932069128,85.8815905198352,23.92230787489129,high,high,low,high,low
1,5,2,5,5,5,5,5,2,5,5,1,4,2,3,2,5,1,5,5,5,5,2,2,5,5,5,2,5,5,5,5,2,5,5,5,5,1,1,1,2,5,2,1,2,3,5,2,1,5,28,33,38,29,29,17.408831121761065,43.820548958428745,31.89952932069128,17.22022453540239,74.38180867314527,low,low,low,low,high
