EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,5,5,5,5,4,5,5,2,5,1,2,5,3,1,2,5,5,5,2,5,2,4,4,5,5,4,2,5,5,2,2,5,5,5,5,5,5,5,5,3,2,5,2,5,1,2,5,5,31,22,31,20,35,69.54963898828078,41.11702373882272,72.65224195615069,68.203588745062,84.2564222266214,high,low,high,high,high
5,4,5,5,5,5,5,5,2,2,5,1,2,5,5,2,5,5,5,4,5,5,2,5,5,5,4,5,2,5,5,5,2,5,3,1,2,5,4,1,5,5,2,5,2,5,5,2,3,5,37,21,35,19,33,80.7216491799307,30.98663404708369,69.95048953996736,54.576639769299184,5.180525557423565,high,low,high,high,low
5,5,5,5,5,5,5,5,5,2,2,1,2,4,3,5,2,5,2,2,5,2,2,5,5,5,5,4,5,5,5,2,2,5,2,5,5,5,5,1,5,2,2,5,2,2,5,5,5,5,30,16,38,23,32,0.3554470862498411,46.41711503819899,31.89952932069128,22.402818363485764,34.399379124845744,low,low,low,low,low
5,2,2,5,1,5,5,5,2,2,5,1,2,5,3,5,2,5,2,5,5,2,2,2,5,5,5,5,5,5,5,5,2,5,4,5,2,5,5,5,5,3,2,2,2,1,5,2,5,5,34,18,36,16,31,85.44154131469132,6.304876883726748,42.497643648784006,22.994146794032744,32.83113751931617,high,low,low,low,low
5,5,2,5,5,5,4,5,5,3,5,5,2,5,5,2,1,5,5,5,2,5,2,5,4,5,5,5,5,5,5,5,2,2,5,1,5,5,2,1,5,3,2,5,2,5,1,2,5,5,34,24,23,16,32,85.44154131469132,55.88683998774796,88.30895236181736,22.994146794032744,34.399379124845744,high,high,high,low,low
5,5,2,5,5,5,5,5,5,1,2,1,2,5,5,1,2,5,5,2,2,2,2,5,5,5,5,4,5,5,5,5,2,4,4,5,5,5,4,1,5,3,2,5,2,2,5,2,5,5,31,20,36,17,37,69.54963898828078,71.25704566249172,42.497643648784006,5.486925082312248,79.89197717811061,high,high,low,low,high
5,5,5,5,1,5,5,5,5,1,5,1,2,5,5,5,1,5,5,5,5,2,2,5,5,5,5,4,5,5,5,5,2,5,5,5,2,5,5,1,5,5,2,5,2,5,2,2,5,5,30,18,31,20,31,0.3554470862498411,6.304876883726748,72.65224195615069,68.203588745062,32.83113751931617,low,low,high,high,low
5,5,2,5,5,5,5,5,5,5,4,1,2,5,5,5,5,5,5,5,5,2,2,2,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,5,1,2,5,5,2,1,2,5,5,32,21,33,16,34,72.08839197865544,30.98663404708369,64.5474771529959,22.994146794032744,47.69983680359604,high,low,high,low,low
5,5,2,4,5,5,5,5,5,2,5,1,2,5,5,2,2,5,5,5,5,2,2,5,5,5,5,5,5,5,3,5,2,5,3,5,5,5,5,1,5,5,2,5,2,1,1,2,5,5,35,19,34,16,32,98.82857089391642,8.820583429606408,63.54239610140829,22.994146794032744,34.399379124845744,high,low,high,low,low
5,5,5,5,1,5,5,5,2,2,5,1,2,4,5,1,5,5,5,2,5,2,2,2,5,5,5,4,2,5,5,5,2,5,3,5,2,5,5,1,5,1,2,5,2,2,1,2,3,5,37,24,30,20,31,80.7216491799307,55.88683998774796,29.734837852504725,68.203588745062,32.83113751931617,high,high,low,high,low
5,4,5,5,5,5,4,5,2,5,2,5,2,4,5,1,2,5,5,2,2,2,2,2,5,5,5,5,5,5,5,5,2,5,5,2,2,5,5,1,4,3,2,5,2,5,5,2,5,5,30,19,29,19,34,0.3554470862498411,8.820583429606408,84.55011666031412,54.576639769299184,47.69983680359604,low,low,high,high,low
5,5,5,2,5,5,5,5,5,2,5,1,2,5,3,2,1,5,5,5,5,5,2,5,5,5,5,5,5,5,5,2,2,5,3,5,2,5,4,1,5,2,2,5,2,5,1,2,5,5,33,22,27,19,30,16.75033313930985,41.11702373882272,25.538415172833563,54.576639769299184,23.34368453554028,low,low,low,high,low
5,5,5,5,5,5,5,5,5,2,2,1,2,2,5,5,2,5,5,2,5,2,2,5,5,5,5,5,2,5,5,5,2,5,5,5,2,5,2,1,5,3,2,5,2,5,5,2,2,5,27,30,33,19,37,19.23934914477008,26.384928807169217,64.5474771529959,54.576639769299184,79.89197717811061,low,low,high,high,high
5,2,5,2,1,5,5,5,5,2,2,1,2,2,5,2,5,5,5,5,5,5,2,4,5,5,5,4,5,5,5,5,2,5,5,5,2,5,5,1,4,1,2,5,2,5,1,2,3,5,29,27,30,20,30,1.4695555483330232,98.45903986936408,29.734837852504725,68.203588745062,23.34368453554028,low,high,low,high,low
5,5,2,4,5,5,4,5,5,2,5,1,2,5,3,5,1,5,5,4,5,5,2,5,5,5,5,5,5,5,5,5,2,5,3,5,2,5,5,5,5,5,2,5,2,1,4,2,5,5,34,19,29,16,35,85.44154131469132,8.820583429606408,84.55011666031412,22.994146794032744,84.2564222266214,high,low,high,low,high
5,2,2,5,5,5,5,5,5,2,2,5,2,5,3,5,1,5,5,5,5,5,2,4,5,5,4,5,5,5,3,5,2,5,4,5,2,5,5,1,5,3,2,5,2,1,1,2,5,5,29,19,23,16,31,1.4695555483330232,8.820583429606408,88.30895236181736,22.994146794032744,32.83113751931617,low,low,high,low,low
5,2,2,5,5,5,5,5,5,2,4,5,2,4,3,1,5,5,5,2,5,2,2,5,5,5,5,5,4,5,5,2,2,2,5,5,5,5,5,1,5,3,2,5,2,5,1,2,5,5,33,23,37,16,35,16.75033313930985,26.6900479740304,67.33806671847192,22.994146794032744,84.2564222266214,low,low,high,low,high
5,5,2,5,1,5,5,5,5,2,2,1,2,2,5,5,2,5,5,2,5,5,2,5,5,5,5,5,5,5,5,2,2,5,5,5,2,5,5,1,5,3,2,5,5,2,5,2,3,5,30,23,33,16,36,0.3554470862498411,26.6900479740304,64.5474771529959,22.994146794032744,47.73568682836604,low,low,high,low,low
