EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,4,1,5,5,5,1,5,4,5,1,4,5,5,1,4,1,5,4,5,4,5,1,5,5,4,5,1,5,5,5,5,2,5,1,4,1,5,3,5,4,4,2,5,1,4,4,2,5,42,39,34,42,38,31.68718686628433,58.10382915690394,63.54239610140829,10.086562051566911,30.8161494512681,low,high,high,low,low
5,4,4,2,5,5,5,1,5,4,5,1,4,2,5,1,4,1,5,5,5,4,4,1,5,5,4,4,2,5,5,5,4,2,4,1,4,5,2,4,5,4,5,1,4,1,5,5,1,5,42,45,36,39,36,31.68718686628433,39.54553199368488,42.497643648784006,39.95918612564645,47.73568682836604,low,low,low,low,low
5,5,4,2,4,5,5,2,5,4,5,1,4,2,5,1,5,1,5,5,5,4,4,1,5,5,5,4,1,5,5,5,4,2,5,1,4,1,5,5,5,4,4,2,3,1,5,4,1,5,42,42,37,40,36,31.68718686628433,60.86211430445535,67.33806671847192,70.57756950620531,47.73568682836604,low,high,high,high,low
5,5,4,1,5,5,5,2,5,4,5,1,4,2,5,1,5,1,5,5,5,4,4,5,5,5,4,5,2,5,5,5,4,2,5,2,4,5,1,5,5,4,4,2,4,1,4,5,1,5,41,42,35,36,38,23.17901079538796,60.86211430445535,69.95048953996736,84.74601143852163,30.8161494512681,low,high,high,high,low
5,5,4,1,4,5,5,2,5,4,5,1,5,5,5,1,4,1,5,5,5,4,4,2,4,5,4,4,2,5,5,5,4,1,4,1,4,1,1,3,5,4,5,1,2,1,5,5,2,5,42,43,35,43,31,31.68718686628433,82.91913751143704,69.95048953996736,91.02419778182896,32.83113751931617,low,high,high,high,low
5,5,4,2,4,5,5,1,5,5,5,1,4,2,5,1,4,1,5,5,5,5,5,2,5,5,4,5,5,5,5,5,4,2,4,1,4,1,2,4,5,4,5,2,3,1,5,5,1,5,42,40,34,43,33,31.68718686628433,78.62373330733222,63.54239610140829,91.02419778182896,5.180525557423565,low,high,high,high,low
5,4,5,1,5,5,5,2,5,4,5,1,5,2,5,1,4,1,5,5,5,4,4,2,5,5,5,5,1,5,5,5,4,2,4,1,4,1,4,5,5,4,4,2,2,1,5,5,1,5,42,43,37,42,35,31.68718686628433,82.91913751143704,67.33806671847192,10.086562051566911,84.2564222266214,low,high,high,low,high
5,5,4,4,5,5,5,1,5,5,5,1,5,1,5,1,5,1,5,5,5,4,4,2,4,5,5,5,1,5,5,5,4,2,4,1,4,1,5,4,5,4,4,2,3,1,5,4,1,5,42,40,37,41,33,31.68718686628433,78.62373330733222,67.33806671847192,91.30045964853188,5.180525557423565,low,high,high,high,low
5,4,5,1,5,5,5,1,5,5,5,1,4,2,5,1,5,1,5,5,5,4,5,5,4,5,4,4,1,5,5,5,4,2,4,1,4,1,4,5,5,4,4,1,3,1,5,4,1,5,42,41,37,43,34,31.68718686628433,80.03094526863389,67.33806671847192,91.02419778182896,47.69983680359604,low,high,high,high,low
5,5,4,2,4,5,5,1,4,4,5,1,4,1,5,1,4,1,5,4,5,5,4,2,4,5,5,4,2,5,5,5,4,2,4,1,4,1,5,4,5,4,4,1,4,1,4,4,1,5,42,41,34,41,35,31.68718686628433,80.03094526863389,63.54239610140829,91.30045964853188,84.2564222266214,low,high,high,high,high
5,5,4,2,5,5,5,2,5,4,5,1,4,5,5,1,4,1,5,5,5,4,5,5,5,5,5,4,1,5,5,5,4,1,4,1,4,1,4,5,5,4,4,1,3,1,5,5,1,5,42,38,36,42,36,31.68718686628433,3.351090914283969,42.497643648784006,10.086562051566911,47.73568682836604,low,low,low,low,low
5,5,4,1,4,5,5,2,5,4,5,1,4,2,5,1,4,1,5,5,5,4,4,2,5,5,4,5,2,5,5,5,4,1,5,1,4,1,4,3,5,4,4,2,3,1,5,4,1,5,42,43,35,39,34,31.68718686628433,82.91913751143704,69.95048953996736,39.95918612564645,47.69983680359604,low,high,high,low,low
5,5,4,5,4,5,5,1,4,5,5,1,4,2,5,1,5,5,5,5,5,4,4,2,5,5,4,1,1,5,5,5,4,2,5,1,4,1,1,5,5,4,4,2,3,1,5,5,1,5,42,41,36,41,35,31.68718686628433,80.03094526863389,42.497643648784006,91.30045964853188,84.2564222266214,low,high,low,high,high
5,5,5,5,5,5,5,2,5,4,5,1,4,1,5,1,4,1,5,4,5,4,5,1,5,5,4,4,2,5,5,5,4,1,4,2,4,1,2,5,5,4,5,2,4,1,4,4,1,5,41,43,34,43,38,23.17901079538796,82.91913751143704,63.54239610140829,91.02419778182896,30.8161494512681,low,high,high,high,low
5,4,4,4,5,5,5,2,5,4,5,1,5,2,5,1,5,1,5,5,5,5,5,1,4,5,4,4,1,5,5,5,4,1,4,1,4,1,1,3,5,4,5,1,3,1,5,4,1,5,42,46,36,43,33,31.68718686628433,71.09296285681363,42.497643648784006,91.02419778182896,5.180525557423565,low,high,low,high,low
5,5,5,1,4,5,5,2,4,4,5,1,4,2,5,1,5,5,5,5,5,5,5,2,5,5,5,4,1,5,5,5,4,2,4,1,4,1,4,4,5,4,5,1,4,1,5,4,1,5,42,43,36,39,35,31.68718686628433,82.91913751143704,42.497643648784006,39.95918612564645,84.2564222266214,low,high,low,low,high
5,5,4,1,5,5,5,5,5,4,5,1,4,5,5,1,5,1,5,4,5,4,5,1,5,5,4,4,1,5,5,5,4,2,4,1,4,5,2,4,5,4,5,1,4,1,5,5,1,5,42,44,36,36,37,31.68718686628433,21.7977014618734,42.497643648784006,84.74601143852163,79.89197717811061,low,low,low,high,high
5,5,5,1,5,5,5,2,5,4,5,1,5,2,5,1,5,1,5,4,5,4,4,2,4,5,4,1,1,5,5,5,4,2,5,1,4,1,1,5,5,4,4,1,2,1,5,5,2,5,42,46,36,46,36,31.68718686628433,71.09296285681363,42.497643648784006,33.024077625152536,47.73568682836604,low,high,low,low,low
5,4,4,1,5,5,5,5,5,4,5,1,4,1,5,1,5,1,5,5,5,5,5,1,5,5,4,5,2,5,5,5,4,2,4,2,4,5,5,4,5,4,4,1,5,1,5,5,1,5,41,44,36,34,37,23.17901079538796,21.7977014618734,42.497643648784006,19.967478906101498,79.89197717811061,low,low,low,low,high
5,5,4,4,5,5,5,1,4,5,5,1,5,1,5,1,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5,5,4,1,4,1,4,1,1,5,5,4,4,1,4,1,5,5,1,5,42,41,37,39,36,31.68718686628433,80.03094526863389,67.33806671847192,39.95918612564645,47.73568682836604,low,high,high,low,low
5,5,5,5,5,5,5,1,5,5,5,1,4,2,5,1,4,1,5,4,5,5,4,2,5,5,4,4,1,5,5,5,4,1,5,1,4,1,1,5,5,4,4,1,3,1,5,5,1,5,42,44,34,43,37,31.68718686628433,21.7977014618734,63.54239610140829,91.02419778182896,79.89197717811061,low,low,high,high,high
5,4,4,4,4,5,5,1,5,4,5,1,4,2,5,1,5,5,5,4,5,4,5,1,5,5,5,4,2,5,5,5,4,2,4,1,4,1,5,4,5,4,4,1,2,1,4,5,1,5,42,40,37,39,34,31.68718686628433,78.62373330733222,67.33806671847192,39.95918612564645,47.69983680359604,low,high,high,low,low
5,4,4,4,5,5,5,1,5,4,5,1,4,2,5,1,5,1,5,4,5,4,5,1,5,5,5,5,2,5,5,5,4,2,4,1,4,1,5,5,5,4,4,1,3,1,5,4,1,5,42,40,38,41,37,31.68718686628433,78.62373330733222,31.89952932069128,91.30045964853188,79.89197717811061,low,high,low,high,high
5,5,4,5,5,5,5,5,4,4,5,1,4,2,5,1,4,1,5,5,5,4,5,1,4,5,4,1,1,5,5,5,4,2,5,1,4,1,5,5,5,4,4,1,3,1,5,5,1,5,42,39,35,42,36,31.68718686628433,58.10382915690394,69.95048953996736,10.086562051566911,47.73568682836604,low,high,high,low,low
5,5,5,2,5,5,5,5,5,4,5,1,4,1,5,1,4,5,5,4,5,5,4,5,5,5,4,4,1,5,5,5,4,2,4,1,4,1,5,5,5,4,4,2,5,1,5,4,1,5,42,39,34,34,39,31.68718686628433,58.10382915690394,63.54239610140829,19.967478906101498,71.01555044068938,low,high,high,low,high
5,5,4,5,4,5,5,2,5,4,5,1,4,2,5,1,4,1,5,4,5,5,5,1,4,5,4,4,1,5,5,5,4,2,4,2,4,1,1,5,5,4,4,1,2,1,4,4,1,5,41,44,33,41,34,23.17901079538796,21.7977014618734,64.5474771529959,91.30045964853188,47.69983680359604,low,low,high,high,low
5,5,4,2,5,5,5,1,5,5,5,1,4,2,5,1,5,1,5,5,5,4,5,1,5,5,5,4,2,5,5,5,4,3,4,1,4,1,2,3,5,4,4,1,4,1,5,4,1,5,42,44,37,42,34,31.68718686628433,21.7977014618734,67.33806671847192,10.086562051566911,47.69983680359604,low,low,high,low,low
5,4,5,2,5,5,5,2,5,4,5,1,4,2,5,1,5,1,5,4,5,4,4,1,5,5,4,1,2,5,5,5,4,2,5,1,4,1,5,5,5,4,4,1,3,1,4,5,1,5,42,42,36,45,38,31.68718686628433,60.86211430445535,42.497643648784006,37.194794655194656,30.8161494512681,low,high,low,low,low
5,5,5,2,5,5,5,5,5,4,5,1,5,2,5,1,5,5,5,4,5,4,4,2,5,5,4,4,2,5,5,5,4,2,4,1,4,1,5,5,5,4,4,2,3,1,5,4,1,5,42,40,36,35,37,31.68718686628433,78.62373330733222,42.497643648784006,63.65201444637811,79.89197717811061,low,high,low,high,high
5,5,5,5,5,5,5,1,5,4,5,1,4,5,5,1,4,1,5,5,5,4,5,2,5,5,4,5,2,5,5,5,4,1,4,2,4,5,4,4,5,4,5,1,3,1,5,5,1,5,41,37,35,40,35,23.17901079538796,72.51416026733875,69.95048953996736,70.57756950620531,84.2564222266214,low,high,high,high,high
5,5,4,2,5,5,5,1,5,4,5,1,4,2,5,1,4,1,5,5,5,5,4,5,5,5,4,4,1,5,5,5,4,2,4,1,4,1,5,5,5,4,4,1,5,1,5,4,1,5,42,39,34,41,38,31.68718686628433,58.10382915690394,63.54239610140829,91.30045964853188,30.8161494512681,low,high,high,high,low
5,5,4,2,5,5,5,1,4,4,5,1,4,2,5,1,5,1,5,4,5,4,4,1,5,5,4,1,2,5,5,5,4,2,5,1,4,1,4,5,5,4,5,2,3,1,5,4,1,5,42,41,36,45,38,31.68718686628433,80.03094526863389,42.497643648784006,37.194794655194656,30.8161494512681,low,high,low,low,low
5,5,5,1,4,5,5,1,4,4,5,1,4,2,5,1,4,1,5,5,5,5,5,2,5,5,4,4,2,5,5,5,4,2,4,1,4,1,5,5,5,4,5,2,4,1,4,4,1,5,42,40,33,44,36,31.68718686628433,78.62373330733222,64.5474771529959,73.90206836914889,47.73568682836604,low,high,high,high,low
5,5,5,2,5,5,5,5,4,4,5,1,5,2,5,1,5,1,5,5,5,4,4,1,5,5,4,1,1,5,5,5,4,1,4,1,4,1,1,5,5,4,5,1,3,1,5,4,1,5,42,47,36,43,36,31.68718686628433,42.2841193254286,42.497643648784006,91.02419778182896,47.73568682836604,low,low,low,high,low
5,5,5,2,5,5,5,1,4,4,5,1,4,2,5,1,4,1,5,5,5,4,5,1,4,5,4,5,2,5,5,5,4,2,5,1,4,1,2,4,5,4,5,2,4,1,5,4,1,5,42,43,35,43,36,31.68718686628433,82.91913751143704,69.95048953996736,91.02419778182896,47.73568682836604,low,high,high,high,low
5,5,4,2,5,5,5,1,4,5,5,1,4,1,5,1,5,1,5,5,5,4,5,2,5,5,4,5,2,5,5,5,4,2,5,1,4,1,4,5,5,4,4,1,3,1,5,4,1,5,42,42,36,41,36,31.68718686628433,60.86211430445535,42.497643648784006,91.30045964853188,47.73568682836604,low,high,low,high,low
5,4,4,1,5,5,5,1,5,5,5,1,4,2,5,1,5,5,5,4,5,4,4,1,4,5,4,5,2,5,5,5,4,1,4,1,4,1,2,5,5,4,4,1,3,1,5,4,1,5,42,47,37,36,35,31.68718686628433,42.2841193254286,67.33806671847192,84.74601143852163,84.2564222266214,low,low,high,high,high
5,5,4,1,5,5,5,1,4,5,5,1,4,2,5,1,5,1,5,5,5,4,4,2,5,5,4,5,2,5,5,5,4,2,4,1,4,1,5,3,5,4,4,1,3,1,4,4,1,5,42,41,35,40,33,31.68718686628433,80.03094526863389,69.95048953996736,70.57756950620531,5.180525557423565,low,high,high,high,low
