EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,5,2,2,5,5,5,5,2,5,2,4,2,2,1,2,1,5,4,5,2,5,2,3,5,1,5,2,2,5,5,5,2,3,1,2,1,2,2,5,2,4,2,2,1,5,4,1,3,42,43,30,39,27,31.68718686628433,82.91913751143704,29.734837852504725,39.95918612564645,23.92230787489129,low,high,low,low,low
5,2,5,2,3,5,5,1,5,4,5,2,5,2,2,1,2,5,5,4,5,2,5,5,2,5,2,1,2,2,5,5,5,1,4,2,2,1,2,4,5,1,5,2,2,1,4,4,1,2,41,41,29,45,27,23.17901079538796,80.03094526863389,84.55011666031412,37.194794655194656,23.92230787489129,low,high,high,low,low
5,2,5,1,3,5,5,1,5,4,5,5,4,1,2,1,2,1,5,4,5,2,5,1,2,5,1,1,2,2,5,5,4,1,4,1,2,1,1,2,5,2,4,1,2,1,4,4,1,2,42,49,26,46,25,31.68718686628433,98.008255354605,30.776359863336555,33.024077625152536,15.370796609217988,low,high,low,low,low
5,2,5,5,4,5,5,1,5,2,5,5,4,2,2,1,2,1,5,2,5,2,4,1,2,5,1,4,5,2,5,2,5,1,3,1,2,1,2,2,5,2,5,2,2,1,4,4,1,3,42,39,29,44,30,31.68718686628433,58.10382915690394,84.55011666031412,73.90206836914889,23.34368453554028,low,high,high,high,low
5,2,4,1,2,5,5,1,4,2,5,2,5,2,2,1,2,5,5,4,5,2,5,2,2,5,1,4,1,1,5,5,5,2,3,1,2,1,4,2,5,2,4,2,2,1,5,4,1,2,42,42,30,40,26,31.68718686628433,60.86211430445535,29.734837852504725,70.57756950620531,99.19879134202203,low,high,low,high,high
5,2,5,1,2,5,5,1,4,2,5,2,4,1,2,1,2,1,5,2,5,2,5,5,5,5,1,4,2,2,5,5,5,2,3,1,2,1,2,2,5,1,4,2,2,1,4,5,1,3,42,41,28,45,31,31.68718686628433,80.03094526863389,16.684345456354073,37.194794655194656,32.83113751931617,low,high,low,low,low
5,2,5,2,3,5,5,5,5,2,5,1,4,1,2,1,2,5,5,4,5,2,5,2,2,5,2,1,1,2,5,5,5,2,3,1,2,1,1,2,5,2,4,1,2,1,4,4,1,2,42,47,31,39,26,31.68718686628433,42.2841193254286,72.65224195615069,39.95918612564645,99.19879134202203,low,low,high,low,high
5,1,5,5,2,5,5,1,5,4,5,1,4,2,2,1,2,1,5,2,5,2,4,1,2,5,1,4,5,2,5,5,5,2,4,1,2,5,1,5,5,1,5,1,2,1,4,4,1,3,42,40,30,40,30,31.68718686628433,78.62373330733222,29.734837852504725,70.57756950620531,23.34368453554028,low,high,low,high,low
5,1,4,2,2,5,5,2,5,4,5,2,4,1,2,1,2,1,5,4,5,2,5,2,2,5,1,4,5,1,5,5,5,2,3,1,2,1,1,2,5,2,4,2,2,1,5,4,2,3,42,41,31,42,25,31.68718686628433,80.03094526863389,72.65224195615069,10.086562051566911,15.370796609217988,low,high,high,low,low
5,2,5,1,4,5,5,1,5,2,5,2,4,2,2,1,2,1,5,4,5,2,5,1,2,5,2,1,2,2,5,5,4,2,3,2,2,1,4,2,5,2,5,2,2,1,5,4,2,3,41,42,31,47,28,23.17901079538796,60.86211430445535,72.65224195615069,5.1590549381931785,76.34765069075316,low,high,high,low,high
5,2,4,2,2,5,5,2,5,2,5,5,4,1,2,1,2,5,5,4,5,2,4,2,2,5,1,5,2,2,5,5,4,2,4,1,2,5,2,5,5,2,4,1,2,1,4,4,1,2,42,45,26,31,29,31.68718686628433,39.54553199368488,30.776359863336555,85.8815905198352,74.38180867314527,low,low,low,high,high
5,2,5,2,2,5,5,1,5,2,5,2,5,1,2,1,2,1,5,4,5,2,5,1,2,5,2,1,1,1,5,5,4,2,5,1,2,1,2,5,5,2,5,2,2,1,5,5,1,2,42,46,31,49,31,31.68718686628433,71.09296285681363,72.65224195615069,42.85840914530192,32.83113751931617,low,high,high,low,low
5,2,4,1,2,5,5,2,5,2,5,5,4,1,2,1,2,1,5,2,5,2,5,1,4,5,1,5,2,2,5,5,4,2,3,2,2,1,1,2,5,2,5,2,2,1,5,5,1,3,41,47,27,42,30,23.17901079538796,42.2841193254286,25.538415172833563,10.086562051566911,23.34368453554028,low,low,low,low,low
5,2,5,5,2,5,5,2,5,2,5,2,5,2,2,1,2,1,5,5,5,2,5,1,2,5,1,4,1,2,5,5,4,2,4,2,2,1,1,2,5,1,4,1,2,1,5,4,1,2,41,44,29,43,25,23.17901079538796,21.7977014618734,84.55011666031412,91.02419778182896,15.370796609217988,low,low,high,high,low
5,2,5,1,2,5,5,2,5,4,5,2,4,1,2,1,2,1,5,2,5,2,5,5,2,5,2,5,2,2,5,2,4,1,4,1,2,1,2,2,5,2,5,2,2,1,4,4,2,2,42,42,33,42,26,31.68718686628433,60.86211430445535,64.5474771529959,10.086562051566911,99.19879134202203,low,high,high,low,high
5,2,4,1,2,5,5,2,5,4,5,2,4,1,2,1,2,1,5,5,5,2,5,5,2,5,2,5,1,2,5,5,5,1,3,1,2,1,2,4,5,2,4,2,2,1,4,5,1,2,42,44,30,42,24,31.68718686628433,21.7977014618734,29.734837852504725,10.086562051566911,96.41095947075908,low,low,low,low,high
5,1,5,1,2,5,5,2,5,2,5,1,4,2,2,1,2,1,5,5,5,2,5,2,2,5,2,5,2,2,5,5,5,1,4,1,2,1,2,4,5,2,5,2,2,1,5,4,1,2,42,45,33,43,27,31.68718686628433,39.54553199368488,64.5474771529959,91.02419778182896,23.92230787489129,low,low,high,high,low
5,2,5,2,3,5,5,1,5,2,5,2,4,5,2,1,2,1,5,2,5,2,5,1,2,5,2,4,2,5,5,5,4,1,3,1,2,1,1,2,5,1,5,2,2,1,4,4,1,4,42,43,29,44,27,31.68718686628433,82.91913751143704,84.55011666031412,73.90206836914889,23.92230787489129,low,high,high,high,low
5,2,5,2,2,5,5,1,4,4,5,5,4,2,2,1,2,5,5,4,5,2,5,2,5,5,1,4,1,1,5,5,4,1,4,1,2,1,1,2,5,2,4,2,2,1,4,5,1,4,42,45,26,40,30,31.68718686628433,39.54553199368488,30.776359863336555,70.57756950620531,23.34368453554028,low,low,low,high,low
5,2,4,1,2,5,5,1,5,4,5,5,4,2,2,1,2,5,5,5,5,1,5,1,2,5,1,5,2,2,5,5,4,1,3,1,2,1,2,2,5,2,5,2,2,1,5,5,1,3,42,46,28,39,23,31.68718686628433,71.09296285681363,16.684345456354073,39.95918612564645,47.45568237665967,low,high,low,low,low
5,2,5,2,4,5,5,5,4,2,5,2,4,1,2,1,2,1,5,2,5,2,5,2,4,5,1,1,1,2,5,5,5,1,3,1,2,5,2,2,5,2,4,1,2,1,5,5,1,2,42,46,30,40,31,31.68718686628433,71.09296285681363,29.734837852504725,70.57756950620531,32.83113751931617,low,high,low,high,low
5,2,4,5,2,5,5,1,5,4,5,5,4,1,2,1,2,1,5,2,5,2,5,5,2,5,1,4,1,2,5,5,4,2,3,1,2,5,2,2,5,2,4,2,2,2,4,5,1,3,41,39,26,39,26,23.17901079538796,58.10382915690394,30.776359863336555,39.95918612564645,99.19879134202203,low,high,low,low,high
5,2,5,1,2,5,5,5,5,4,5,2,4,2,2,1,2,5,5,5,5,2,5,1,2,5,1,4,1,1,5,5,4,2,3,1,2,1,4,2,5,1,5,2,2,1,4,5,1,3,42,44,28,37,24,31.68718686628433,21.7977014618734,16.684345456354073,38.44590142622035,96.41095947075908,low,low,low,low,high
5,2,5,2,2,5,5,1,4,4,5,2,4,2,2,1,2,5,5,4,5,1,5,2,4,5,1,1,2,1,5,5,4,2,3,1,2,1,1,2,5,1,4,2,2,1,4,4,1,3,42,43,29,42,27,31.68718686628433,82.91913751143704,84.55011666031412,10.086562051566911,23.92230787489129,low,high,high,low,low
5,2,5,1,3,5,5,2,5,4,5,1,5,1,4,1,2,5,5,4,5,2,5,2,2,5,2,4,2,1,5,2,4,2,4,2,2,1,1,5,5,2,5,1,2,1,4,4,1,2,41,47,34,40,31,23.17901079538796,42.2841193254286,63.54239610140829,70.57756950620531,32.83113751931617,low,low,high,high,low
5,2,5,2,2,5,5,1,4,2,5,2,5,1,2,1,2,5,5,4,5,2,5,5,2,5,2,4,1,2,5,5,4,1,4,1,2,1,1,5,5,2,5,2,2,1,5,4,1,4,42,43,31,41,31,31.68718686628433,82.91913751143704,72.65224195615069,91.30045964853188,32.83113751931617,low,high,high,high,low
5,2,5,1,2,5,5,1,4,4,5,2,4,2,2,1,2,1,5,4,5,2,4,2,2,5,2,1,1,2,5,5,4,1,3,1,2,5,2,4,5,2,4,1,2,1,4,5,1,2,42,46,30,42,25,31.68718686628433,71.09296285681363,29.734837852504725,10.086562051566911,15.370796609217988,low,high,low,low,low
5,2,5,1,3,5,5,2,5,4,5,5,4,1,2,1,2,1,5,4,5,2,4,2,2,5,1,5,1,2,5,2,5,1,3,1,2,1,2,2,5,1,4,2,2,1,4,4,1,2,42,47,28,41,24,31.68718686628433,42.2841193254286,16.684345456354073,91.30045964853188,96.41095947075908,low,low,low,high,high
