EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,2,5,2,5,5,5,5,4,5,5,2,2,2,1,2,5,5,5,5,2,2,4,2,5,2,2,2,2,5,5,2,5,3,1,2,2,2,2,5,2,2,1,2,2,4,2,2,4,41,35,27,22,24,23.17901079538796,53.631637055925054,25.538415172833563,88.29861100851832,96.41095947075908,low,high,low,high,high
5,2,2,2,4,5,5,5,5,4,5,2,2,2,2,1,2,2,5,4,5,2,2,1,2,5,2,2,1,1,5,5,2,1,4,1,2,2,2,5,5,2,2,1,2,1,5,2,1,4,42,47,31,25,32,31.68718686628433,42.2841193254286,72.65224195615069,62.72533070170514,34.399379124845744,low,low,high,high,low
5,2,2,2,2,5,5,5,4,4,5,2,2,2,2,1,2,5,5,4,5,2,2,2,5,5,2,2,5,2,5,5,2,2,4,5,2,2,2,2,5,2,2,2,2,2,5,2,1,4,37,39,31,22,29,80.7216491799307,58.10382915690394,72.65224195615069,88.29861100851832,74.38180867314527,high,high,high,high,high
5,2,2,5,4,5,5,2,5,4,5,5,2,2,2,1,2,2,5,3,5,2,2,2,2,5,1,2,2,5,5,5,2,2,2,1,2,2,2,4,5,2,2,1,2,1,4,2,2,4,42,40,26,28,26,31.68718686628433,78.62373330733222,30.776359863336555,55.48786072856311,99.19879134202203,low,high,low,high,high
5,2,2,2,5,5,5,5,5,2,5,1,2,5,2,1,2,4,5,5,5,2,2,1,2,5,1,2,2,5,5,5,2,3,2,5,2,2,4,5,5,2,2,2,2,1,5,2,1,4,38,38,31,23,28,31.573038023678745,3.351090914283969,72.65224195615069,22.402818363485764,76.34765069075316,low,low,high,low,high
5,2,2,2,5,5,5,2,5,4,5,2,2,2,4,1,2,5,5,4,5,2,2,2,2,5,1,2,2,2,5,5,2,5,4,1,2,2,2,2,5,2,2,2,2,1,4,2,1,2,42,40,29,25,29,31.68718686628433,78.62373330733222,84.55011666031412,62.72533070170514,74.38180867314527,low,high,high,high,high
5,2,2,2,2,5,5,2,5,4,5,2,2,2,4,1,2,5,5,5,5,2,2,2,5,5,2,2,2,2,5,5,2,5,4,1,2,2,2,2,5,2,2,2,2,1,5,2,2,2,42,39,31,25,28,31.68718686628433,58.10382915690394,72.65224195615069,62.72533070170514,76.34765069075316,low,high,high,high,high
5,2,2,2,5,5,5,2,4,2,5,2,2,2,2,1,2,2,5,4,5,2,2,1,2,5,1,2,1,1,5,5,2,2,5,1,2,2,2,4,5,1,2,2,2,1,4,2,1,3,42,44,28,28,34,31.68718686628433,21.7977014618734,16.684345456354073,55.48786072856311,47.69983680359604,low,low,low,high,low
5,2,2,1,5,5,5,2,4,4,5,5,2,5,4,1,2,2,5,2,5,2,2,1,5,5,1,2,1,2,5,5,2,2,5,2,2,2,2,4,5,2,2,1,2,1,5,2,1,3,41,43,27,28,38,23.17901079538796,82.91913751143704,25.538415172833563,55.48786072856311,30.8161494512681,low,high,low,high,low
5,2,2,2,2,5,5,2,5,4,5,5,2,2,4,1,2,5,5,3,5,2,2,5,2,5,1,2,2,2,5,5,2,2,5,2,2,2,2,5,5,1,2,2,2,2,5,2,1,3,40,40,26,25,32,27.42970095760932,78.62373330733222,30.776359863336555,62.72533070170514,34.399379124845744,low,high,low,high,low
5,2,2,2,4,5,5,2,5,3,5,2,2,1,2,1,2,5,5,5,5,2,2,2,4,5,1,2,1,2,5,5,2,2,4,5,2,2,2,2,5,2,2,5,2,1,4,2,1,4,38,42,29,25,30,31.573038023678745,60.86211430445535,84.55011666031412,62.72533070170514,23.34368453554028,low,high,high,high,low
5,2,2,5,4,5,5,2,5,4,5,2,2,2,2,1,2,5,5,2,5,1,2,2,2,5,1,2,2,5,5,5,2,2,3,2,2,2,2,5,5,1,2,2,2,1,4,2,1,3,41,40,29,25,28,23.17901079538796,78.62373330733222,84.55011666031412,62.72533070170514,76.34765069075316,low,high,high,high,high
5,2,2,2,2,5,5,2,5,4,5,5,2,2,4,1,2,2,5,3,5,2,2,2,2,5,1,2,2,2,5,5,2,2,5,1,2,2,2,2,5,2,2,5,2,1,5,2,1,2,42,40,27,28,28,31.68718686628433,78.62373330733222,25.538415172833563,55.48786072856311,76.34765069075316,low,high,low,high,high
5,2,2,2,4,5,5,2,4,4,5,2,2,2,4,1,2,5,5,2,5,2,2,2,2,5,2,2,1,2,5,2,2,3,4,2,2,2,2,4,5,2,2,2,2,1,5,2,1,2,41,42,34,25,32,23.17901079538796,60.86211430445535,63.54239610140829,62.72533070170514,34.399379124845744,low,high,high,high,low
5,2,2,2,4,5,5,2,5,2,5,2,2,1,4,1,2,5,5,4,5,2,2,5,5,5,1,2,2,2,5,5,2,1,2,2,2,2,2,5,5,1,2,1,2,1,5,2,1,3,41,43,29,25,35,23.17901079538796,82.91913751143704,84.55011666031412,62.72533070170514,84.2564222266214,low,high,high,high,high
5,2,2,2,2,5,5,2,4,3,5,5,2,2,2,1,2,5,5,2,5,1,2,4,2,5,2,2,2,2,5,5,2,1,3,1,2,2,2,4,5,2,2,2,2,2,2,2,1,3,41,41,26,25,29,23.17901079538796,80.03094526863389,30.776359863336555,62.72533070170514,74.38180867314527,low,high,low,high,high
5,2,2,2,2,5,5,2,4,3,5,5,2,1,4,1,2,5,5,4,5,2,2,2,2,5,1,2,2,2,5,5,2,1,3,5,2,2,2,2,5,1,2,2,2,2,5,2,1,2,37,44,26,25,26,80.7216491799307,21.7977014618734,30.776359863336555,62.72533070170514,99.19879134202203,high,low,low,high,high
5,2,2,5,4,5,5,2,4,3,5,5,2,2,4,1,2,5,5,3,5,2,2,1,2,5,1,2,1,2,5,5,2,1,5,2,2,2,2,5,5,2,2,1,2,1,5,2,1,3,41,43,27,25,35,23.17901079538796,82.91913751143704,25.538415172833563,62.72533070170514,84.2564222266214,low,high,low,high,high
5,2,2,2,4,5,5,2,5,4,5,1,2,2,2,1,2,2,5,3,5,2,2,5,2,5,1,2,2,1,5,5,2,2,3,2,2,2,2,5,5,1,2,2,2,1,4,2,1,2,41,40,29,28,30,23.17901079538796,78.62373330733222,84.55011666031412,55.48786072856311,23.34368453554028,low,high,high,high,low
5,2,2,2,5,5,5,2,5,4,5,2,2,2,4,1,2,5,5,3,5,2,2,1,3,5,2,2,2,2,5,5,2,2,3,2,2,2,1,4,5,2,2,2,2,1,5,2,5,3,41,41,31,25,33,23.17901079538796,80.03094526863389,72.65224195615069,62.72533070170514,5.180525557423565,low,high,high,high,low
5,2,2,2,2,5,5,2,5,4,5,2,2,2,4,1,2,2,5,2,5,2,2,2,2,5,1,2,2,2,5,5,2,1,5,2,2,2,2,5,5,1,2,5,2,1,5,2,1,3,41,41,29,28,33,23.17901079538796,80.03094526863389,84.55011666031412,55.48786072856311,5.180525557423565,low,high,high,high,low
5,2,2,2,4,5,5,2,5,4,5,5,2,2,4,1,2,5,5,4,5,2,2,5,4,5,1,2,2,2,5,5,2,1,2,1,2,2,2,2,5,2,2,1,2,1,5,2,1,4,42,42,27,25,30,31.68718686628433,60.86211430445535,25.538415172833563,62.72533070170514,23.34368453554028,low,high,low,high,low
5,2,2,1,2,5,5,2,4,3,5,2,2,2,4,1,2,5,5,4,5,1,2,4,2,5,1,2,2,2,5,5,2,1,3,2,2,2,2,2,5,1,2,2,2,1,4,2,1,2,41,42,29,25,26,23.17901079538796,60.86211430445535,84.55011666031412,62.72533070170514,99.19879134202203,low,high,high,high,high
