EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,5,5,5,5,4,5,5,5,5,1,5,5,3,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,3,3,1,4,5,5,4,5,4,34,22,34,35,33,85.44154131469132,41.11702373882272,63.54239610140829,63.65201444637811,5.180525557423565,high,low,high,high,low
5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,1,4,5,5,5,5,5,5,2,5,1,4,5,5,2,5,5,33,26,35,30,36,16.75033313930985,65.1757389881823,69.95048953996736,96.12317438180868,47.73568682836604,low,high,high,high,low
5,5,5,5,5,4,5,5,5,5,5,1,5,5,3,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,1,5,5,5,4,5,1,4,5,5,5,5,5,33,22,36,37,34,16.75033313930985,41.11702373882272,42.497643648784006,38.44590142622035,47.69983680359604,low,low,low,low,low
5,5,5,5,5,4,5,1,5,5,4,1,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,5,5,5,5,5,2,5,1,5,3,5,5,1,5,30,27,34,37,37,0.3554470862498411,98.45903986936408,63.54239610140829,38.44590142622035,79.89197717811061,low,high,high,low,high
5,5,5,5,5,4,4,2,5,5,5,1,5,5,5,4,4,1,5,5,4,5,5,5,5,5,5,1,5,5,3,5,4,5,5,5,4,5,5,5,5,4,5,1,4,4,5,2,1,5,30,26,34,41,37,0.3554470862498411,65.1757389881823,63.54239610140829,91.30045964853188,79.89197717811061,low,high,high,high,high
5,5,5,5,4,5,4,5,5,5,5,1,4,5,4,5,5,1,5,5,5,4,4,5,5,5,5,5,5,5,2,5,5,5,4,5,4,5,5,5,5,3,5,1,4,3,5,5,5,5,29,22,35,36,34,1.4695555483330232,41.11702373882272,69.95048953996736,84.74601143852163,47.69983680359604,low,low,high,high,low
5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,4,4,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,2,2,5,1,5,5,5,5,5,4,27,22,35,37,36,19.23934914477008,41.11702373882272,69.95048953996736,38.44590142622035,47.73568682836604,low,low,high,low,low
2,5,4,5,5,5,4,1,5,5,5,1,5,5,4,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,2,4,1,5,5,5,5,5,5,24,22,33,40,36,90.69622914863086,41.11702373882272,64.5474771529959,70.57756950620531,47.73568682836604,high,low,high,high,low
2,5,5,5,5,5,5,1,5,5,5,1,4,5,3,5,4,1,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,4,4,5,5,5,5,2,4,1,4,5,5,4,1,5,28,26,34,39,34,17.408831121761065,65.1757389881823,63.54239610140829,39.95918612564645,47.69983680359604,low,high,high,low,low
5,5,5,5,5,5,4,5,5,5,4,1,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,1,5,5,5,2,4,1,4,4,5,2,5,5,30,22,32,32,37,0.3554470862498411,41.11702373882272,70.24063836681471,75.56111690555193,79.89197717811061,low,low,high,high,high
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,4,5,4,5,4,5,5,4,5,2,5,1,4,5,5,5,5,5,30,22,30,34,34,0.3554470862498411,41.11702373882272,29.734837852504725,19.967478906101498,47.69983680359604,low,low,low,low,low
5,5,4,5,4,5,5,1,5,5,5,1,5,5,5,5,4,5,5,5,5,4,5,5,4,5,4,5,5,5,3,5,4,5,4,4,5,5,5,5,5,3,3,1,4,4,5,5,5,5,30,22,35,34,34,0.3554470862498411,41.11702373882272,69.95048953996736,19.967478906101498,47.69983680359604,low,low,high,low,low
5,5,5,5,5,5,5,5,5,5,4,1,4,5,5,2,4,1,5,5,5,4,5,5,4,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5,1,5,5,5,2,5,4,32,22,34,38,36,72.08839197865544,41.11702373882272,63.54239610140829,11.2864545014926,47.73568682836604,high,low,high,low,low
2,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,1,5,5,5,5,5,5,27,22,36,33,36,19.23934914477008,41.11702373882272,42.497643648784006,73.79648807641964,47.73568682836604,low,low,low,high,low
5,5,4,5,5,4,4,5,5,5,4,1,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,1,5,5,3,5,4,5,5,2,5,5,1,5,4,4,3,1,5,5,5,4,1,5,29,30,36,37,38,1.4695555483330232,26.384928807169217,42.497643648784006,38.44590142622035,30.8161494512681,low,low,low,low,low
5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,4,5,5,5,3,5,5,5,5,5,5,5,5,5,2,5,5,5,4,4,4,5,5,5,4,2,5,1,4,5,5,5,5,5,28,22,33,34,36,17.408831121761065,41.11702373882272,64.5474771529959,19.967478906101498,47.73568682836604,low,low,high,low,low
5,5,5,5,5,5,4,5,5,5,5,1,4,5,5,2,5,5,5,5,3,4,5,5,4,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,3,1,5,5,5,5,5,4,34,22,37,31,36,85.44154131469132,41.11702373882272,67.33806671847192,85.8815905198352,47.73568682836604,high,low,high,high,low
2,5,5,5,5,5,5,5,5,5,5,1,5,5,3,5,4,1,5,5,5,5,4,5,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,4,2,5,5,5,4,5,5,5,5,5,24,18,37,41,33,90.69622914863086,6.304876883726748,67.33806671847192,91.30045964853188,5.180525557423565,high,low,high,high,low
2,5,5,5,5,5,4,5,5,5,4,1,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,1,4,4,5,5,5,5,30,22,35,34,35,0.3554470862498411,41.11702373882272,69.95048953996736,19.967478906101498,84.2564222266214,low,low,high,low,high
5,5,4,5,5,5,5,5,5,5,5,1,5,5,5,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,3,5,1,4,4,5,2,1,5,32,26,35,34,37,72.08839197865544,65.1757389881823,69.95048953996736,19.967478906101498,79.89197717811061,high,high,high,low,high
5,5,5,5,5,5,4,1,5,5,5,1,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,4,5,5,5,5,5,5,2,5,1,4,4,5,2,1,5,31,26,34,42,34,69.54963898828078,65.1757389881823,63.54239610140829,10.086562051566911,47.69983680359604,high,high,high,low,low
5,1,5,5,5,4,5,1,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,3,5,1,5,5,5,2,5,4,33,26,36,35,36,16.75033313930985,65.1757389881823,42.497643648784006,63.65201444637811,47.73568682836604,low,high,low,high,low
5,1,5,5,4,4,5,5,5,5,4,1,5,5,3,4,5,1,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,2,3,1,5,5,5,4,1,5,30,26,37,34,34,0.3554470862498411,65.1757389881823,67.33806671847192,19.967478906101498,47.69983680359604,low,high,high,low,low
2,5,5,5,5,5,5,1,5,5,4,1,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,1,4,4,5,4,1,5,29,26,36,38,37,1.4695555483330232,65.1757389881823,42.497643648784006,11.2864545014926,79.89197717811061,low,high,low,low,high
5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,2,5,1,5,5,5,4,5,1,5,5,5,4,1,4,36,26,36,36,36,59.521087004267535,65.1757389881823,42.497643648784006,84.74601143852163,47.73568682836604,high,high,low,high,low
5,5,5,5,5,4,4,1,5,5,5,1,4,5,5,4,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,1,5,5,5,5,1,5,30,26,35,36,37,0.3554470862498411,65.1757389881823,69.95048953996736,84.74601143852163,79.89197717811061,low,high,high,high,high
5,5,5,5,5,5,5,5,5,5,4,1,4,5,5,1,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,1,5,5,5,3,1,5,5,5,4,5,5,34,27,38,29,37,85.44154131469132,98.45903986936408,31.89952932069128,17.22022453540239,79.89197717811061,high,high,low,low,high
