EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,1,1,5,1,5,5,1,1,2,1,5,5,5,5,1,1,5,5,1,5,5,1,5,1,5,1,5,5,5,5,1,2,5,2,2,1,2,5,1,1,1,1,5,3,1,1,2,5,1,29,14,22,23,24,1.4695555483330232,94.38897867809928,29.099681781785623,22.402818363485764,96.41095947075908,low,high,low,low,high
1,5,1,5,5,1,5,1,2,2,1,1,1,5,5,1,5,5,5,5,1,5,1,5,1,5,5,1,5,5,1,5,1,5,5,5,1,1,5,5,5,5,1,5,5,5,1,1,5,1,22,15,30,22,33,89.78559912384115,10.931204393400838,29.734837852504725,88.29861100851832,5.180525557423565,high,low,low,high,low
1,5,1,5,5,1,4,1,1,5,1,5,1,5,3,1,1,5,5,5,5,5,1,5,1,5,5,5,5,5,1,5,2,5,5,1,2,1,5,5,1,4,1,5,5,5,1,2,5,1,26,14,21,20,28,37.74308335820182,94.38897867809928,6.37559204247637,68.203588745062,76.34765069075316,low,high,low,high,high
1,1,1,5,5,1,5,1,2,2,2,1,1,5,5,1,1,5,5,5,1,5,1,5,1,5,1,1,5,5,1,5,5,5,2,1,1,5,5,1,5,3,1,5,4,2,1,5,5,1,30,15,24,26,25,0.3554470862498411,10.931204393400838,93.15569843037956,16.971441121751216,15.370796609217988,low,low,high,low,low
1,1,1,5,5,2,5,5,1,2,5,1,1,5,5,1,1,5,5,5,5,5,1,5,1,5,5,2,5,5,1,5,5,5,2,5,1,2,5,5,1,2,1,5,5,5,1,1,5,5,25,14,27,20,34,39.38105523169063,94.38897867809928,25.538415172833563,68.203588745062,47.69983680359604,low,high,low,high,low
1,1,1,5,5,5,5,2,1,2,2,1,1,5,5,1,2,5,5,5,5,5,1,5,5,5,1,1,5,5,1,5,2,5,2,1,2,2,5,5,5,2,1,5,3,1,1,1,5,5,31,14,25,21,36,69.54963898828078,94.38897867809928,97.12618716273646,29.236778579807176,47.73568682836604,high,high,high,low,low
1,5,1,5,5,5,4,5,1,2,1,1,1,5,5,2,1,5,5,5,1,2,1,5,5,5,1,1,5,5,1,5,2,5,2,1,2,5,5,1,5,3,1,5,2,1,1,2,5,1,25,14,23,16,27,39.38105523169063,94.38897867809928,88.30895236181736,22.994146794032744,23.92230787489129,low,high,high,low,low
1,1,1,5,5,1,5,1,1,5,2,5,1,5,5,1,5,5,5,1,5,2,1,5,1,2,1,1,5,5,1,5,5,5,5,5,5,1,5,1,1,2,2,5,2,2,1,1,5,1,29,14,30,27,27,1.4695555483330232,94.38897867809928,29.734837852504725,26.729640583803864,23.92230787489129,low,high,low,low,low
1,5,1,5,5,2,4,1,1,5,2,1,1,5,5,1,5,5,5,2,2,5,1,5,1,5,5,5,5,5,5,1,1,5,1,1,1,5,5,1,1,5,1,5,4,2,1,1,5,1,30,14,33,14,24,0.3554470862498411,94.38897867809928,64.5474771529959,8.512509590374071,96.41095947075908,low,high,high,low,high
1,2,1,5,5,1,5,1,1,2,2,1,1,5,5,1,2,5,5,2,5,5,1,5,1,4,5,1,5,5,1,5,2,5,5,1,1,1,5,1,5,5,2,5,4,1,1,1,5,1,36,14,30,24,31,59.521087004267535,94.38897867809928,29.734837852504725,75.94729258446176,32.83113751931617,high,high,low,high,low
1,2,1,5,5,5,5,1,1,2,1,1,1,5,3,1,1,5,5,5,5,5,1,5,1,5,1,1,5,5,1,5,2,5,1,1,2,2,5,1,1,5,1,5,5,5,1,1,5,1,22,14,26,22,23,89.78559912384115,94.38897867809928,30.776359863336555,88.29861100851832,47.45568237665967,high,high,low,high,low
1,5,1,5,5,2,5,1,1,2,2,1,2,5,5,1,1,5,5,5,1,5,1,5,1,5,5,1,5,5,1,5,2,5,1,5,2,2,5,1,1,5,2,5,5,1,1,1,5,1,22,14,27,24,25,89.78559912384115,94.38897867809928,25.538415172833563,75.94729258446176,15.370796609217988,high,high,low,high,low
1,1,1,5,5,5,5,1,1,1,5,1,1,5,5,1,5,5,5,1,1,5,1,5,5,2,1,1,5,5,1,5,2,5,5,2,1,2,5,1,5,5,1,5,3,5,1,1,5,1,28,14,30,22,36,17.408831121761065,94.38897867809928,29.734837852504725,88.29861100851832,47.73568682836604,low,high,low,high,low
1,5,1,5,5,5,5,2,1,5,2,5,1,5,5,1,1,5,5,5,1,5,1,5,5,5,5,1,5,5,5,5,1,5,2,1,1,5,5,1,5,4,5,5,5,2,1,1,5,5,30,14,21,21,31,0.3554470862498411,94.38897867809928,6.37559204247637,29.236778579807176,32.83113751931617,low,high,low,low,low
1,5,1,5,5,5,5,5,1,5,2,1,1,5,5,1,5,5,5,2,5,5,1,5,1,5,1,1,5,5,1,5,2,5,1,5,1,2,5,1,1,2,5,5,3,5,1,1,5,1,19,14,23,22,23,96.9716577977251,94.38897867809928,88.30895236181736,88.29861100851832,47.45568237665967,high,high,high,high,low
