EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,2,2,2,1,2,4,3,5,5,5.0,1,4,2,1,2,2,5,5,1,5,5,2,2,1,3,3,5,1,5,2,1,5,2,1,5,2,5,,5,2,2,2,1,1,5,2,2,2,16.0,-19.0,2.0,2.0,,14.795226431317165,57.0615192334398,30.776359863336555,16.971441121751216,,low,high,low,low,low
5,5,2,5,2,1,2,2,2,5,5,,1,4,2,1,2,3,2,2,1,2,2,5,2,1,2,5,5,1,5,2,1,5,2,1,5,2,5,1.0,5,5,2,2,1,1,5,2,2,5,16.0,-29.0,,-2.0,7.0,14.795226431317165,8.820583429606408,,88.29861100851832,15.370796609217988,low,low,low,high,low
5,5,2,2,2,1,2,2,2,5,5,,1,2,5,1,2,2,5,5,1,5,2,2,2,2,2,5,5,1,5,2,1,5,2,1,5,2,5,1.0,5,5,2,5,1,1,2,2,2,5,15.0,-21.0,,-1.0,7.0,18.86341633008024,98.45903986936408,,22.402818363485764,15.370796609217988,low,high,low,low,low
5,5,5,5,5,1,2,4,5,5,5,,1,5,2,1,2,5,2,2,1,2,2,5,2,1,2,3,4,1,5,2,1,5,2,1,5,5,5,,5,2,2,5,1,1,5,2,2,5,16.0,-29.0,,-4.0,,14.795226431317165,8.820583429606408,,68.203588745062,,low,low,low,high,low
5,5,2,2,2,1,2,2,2,5,5,1.0,1,4,2,1,2,2,5,2,1,5,2,5,2,1,2,3,4,1,5,2,1,5,2,1,5,2,5,,5,2,2,5,1,1,5,2,2,2,16.0,-25.0,5.0,1.0,,14.795226431317165,26.6900479740304,84.55011666031412,62.72533070170514,,low,low,high,high,low
5,5,2,2,2,1,2,5,2,5,5,,1,4,2,1,2,3,2,5,1,2,5,5,2,1,2,5,2,1,5,2,1,2,2,1,5,2,5,,5,5,2,2,1,1,5,2,2,2,16.0,-20.0,,-2.0,,14.795226431317165,96.961119466268,,88.29861100851832,,low,high,low,high,low
5,5,5,2,2,1,2,5,5,5,5,2.0,1,5,2,1,2,2,5,5,2,5,5,5,2,2,2,3,2,1,5,2,1,5,2,1,5,2,5,1.0,5,2,2,2,1,1,5,1,2,2,16.0,-18.0,4.0,3.0,1.0,14.795226431317165,26.384928807169217,16.684345456354073,26.729640583803864,28.65520056808501,low,low,low,low,low
5,5,2,2,2,1,2,5,2,5,5,2.0,1,4,2,1,2,3,5,5,1,2,2,5,2,2,2,5,4,2,5,5,1,5,2,1,2,5,5,,5,2,2,5,1,1,2,2,2,5,15.0,-25.0,-2.0,-8.0,,18.86341633008024,26.6900479740304,29.099681781785623,22.994146794032744,,low,low,low,low,low
5,5,2,2,2,1,2,4,2,5,5,2.0,1,5,2,1,2,3,5,5,1,2,2,5,2,1,2,3,2,1,5,2,1,2,2,1,2,5,5,,5,2,2,4,1,1,5,2,2,5,16.0,-20.0,4.0,-5.0,,14.795226431317165,96.961119466268,16.684345456354073,54.576639769299184,,low,high,low,high,low
5,5,2,2,2,1,2,4,5,2,5,,1,4,5,1,2,2,5,5,1,2,2,2,2,1,3,5,5,1,5,2,1,2,5,1,2,5,5,,5,2,2,5,1,1,2,1,2,5,16.0,-17.0,,-7.0,,14.795226431317165,57.26086112941366,,5.486925082312248,,low,high,low,low,low
5,5,2,5,2,1,2,2,5,5,2,,1,2,2,1,2,5,5,5,2,5,2,5,3,2,2,3,4,1,5,2,1,2,2,1,5,2,5,1.0,5,2,2,2,1,1,5,2,2,2,13.0,-17.0,,-2.0,2.0,10.758946994162551,57.26086112941366,,88.29861100851832,45.26282303186811,low,high,low,high,low
5,5,5,2,2,1,2,2,2,5,5,2.0,1,5,2,1,2,2,5,2,1,5,2,2,2,2,2,3,2,1,5,2,1,2,2,1,5,5,5,1.0,5,2,2,5,1,1,5,2,2,2,15.0,-18.0,4.0,1.0,4.0,18.86341633008024,26.384928807169217,16.684345456354073,62.72533070170514,57.77605750186391,low,low,low,high,high
5,5,2,2,2,1,2,4,2,5,5,,1,5,2,1,2,2,5,5,1,5,2,5,2,1,2,3,5,1,5,2,1,2,2,1,5,5,2,1.0,5,2,2,2,1,1,5,2,2,5,16.0,-18.0,,-4.0,4.0,14.795226431317165,26.384928807169217,,68.203588745062,57.77605750186391,low,low,low,high,high
5,5,2,2,2,1,2,2,2,5,5,1.0,1,2,2,1,2,2,5,5,2,2,2,5,2,1,3,3,5,1,5,2,1,2,2,1,5,5,5,,5,3,1,2,1,1,5,2,2,2,17.0,-18.0,10.0,-3.0,,85.17207519444206,26.384928807169217,63.54239610140829,29.236778579807176,,high,low,high,low,low
5,5,2,5,2,1,2,5,2,5,5,2.0,1,2,2,1,2,5,5,5,1,2,2,2,2,1,2,3,5,1,5,2,1,5,2,1,5,2,5,1.0,5,2,1,5,1,1,5,2,2,5,16.0,-24.0,7.0,-6.0,4.0,14.795226431317165,55.88683998774796,72.65224195615069,54.4445659143086,57.77605750186391,low,high,high,high,high
