Cycle,Code,Role,Values
1,ESFP-A,Entertainer,"[61, 38, 33, 39, 54]"
2,ESFP-A,Entertainer,"[65, 31, 35, 44, 68]"
3,ESFP-A,Entertainer,"[68, 29, 25, 35, 54]"
4,ESFP-A,Entertainer,"[54, 32, 32, 43, 63]"
5,ESFP-A,Entertainer,"[57, 29, 31, 46, 64]"
6,ESFP-A,Entertainer,"[58, 22, 26, 40, 58]"
7,ESFP-A,Entertainer,"[63, 32, 33, 43, 58]"
8,ESFP-A,Entertainer,"[58, 22, 22, 39, 68]"
9,ESFP-A,Entertainer,"[64, 36, 29, 37, 58]"
10,ESFP-A,Entertainer,"[63, 35, 29, 36, 68]"
11,ESFP-A,Entertainer,"[57, 29, 31, 36, 64]"
12,ESFP-A,Entertainer,"[56, 39, 29, 37, 61]"
13,ESFP-A,Entertainer,"[56, 34, 33, 40, 58]"
14,ESFP-A,Entertainer,"[61, 28, 24, 42, 56]"
15,ESFP-A,Entertainer,"[63, 35, 33, 44, 64]"
16,ESFP-A,Entertainer,"[60, 27, 32, 46, 60]"
17,ESFP-A,Entertainer,"[64, 25, 24, 37, 54]"
18,ESFP-A,Entertainer,"[54, 34, 35, 31, 53]"
19,ESFP-A,Entertainer,"[61, 27, 29, 44, 69]"
20,ESFP-A,Entertainer,"[58, 32, 31, 35, 61]"
21,ESFP-A,Entertainer,"[63, 35, 24, 39, 69]"
22,ESFP-A,Entertainer,"[57, 22, 31, 43, 69]"
23,ESFP-A,Entertainer,"[57, 28, 24, 42, 51]"
24,ESFP-A,Entertainer,"[58, 34, 31, 36, 60]"
25,ESFP-A,Entertainer,"[58, 31, 31, 44, 60]"
26,ESFP-A,Entertainer,"[57, 31, 32, 46, 61]"
27,ESFP-A,Entertainer,"[56, 31, 26, 47, 64]"
28,ESFP-A,Entertainer,"[61, 28, 31, 37, 51]"
29,ESFP-A,Entertainer,"[63, 29, 25, 35, 69]"
30,ESFP-A,Entertainer,"[63, 32, 26, 37, 64]"
31,ESFP-A,Entertainer,"[63, 35, 32, 46, 58]"
32,ESFP-A,Entertainer,"[61, 29, 25, 46, 64]"
33,ESFP-A,Entertainer,"[54, 29, 28, 49, 56]"
34,ESFJ-A,Consul,"[63, 28, 28, 51, 57]"
35,ESFP-A,Entertainer,"[54, 34, 33, 40, 61]"
36,ESFP-A,Entertainer,"[61, 28, 28, 33, 69]"
37,ESFP-A,Entertainer,"[60, 38, 22, 49, 64]"
38,ESFP-A,Entertainer,"[65, 35, 35, 49, 71]"
39,ESFP-A,Entertainer,"[58, 31, 33, 42, 57]"
40,ESFJ-A,Consul,"[61, 32, 28, 51, 64]"
41,ESFP-A,Entertainer,"[63, 28, 31, 43, 61]"
42,ESFP-A,Entertainer,"[61, 25, 33, 44, 61]"
43,ESFJ-A,Consul,"[60, 32, 24, 51, 63]"
44,ESFP-A,Entertainer,"[57, 34, 33, 37, 71]"
45,ESFP-A,Entertainer,"[60, 31, 33, 42, 68]"
46,ESFP-A,Entertainer,"[58, 28, 31, 46, 60]"
47,ESFP-A,Entertainer,"[53, 22, 35, 42, 68]"
48,ESFP-A,Entertainer,"[61, 35, 32, 40, 64]"
49,ESFP-A,Entertainer,"[64, 32, 29, 39, 63]"
50,ESFP-A,Entertainer,"[65, 34, 37, 37, 68]"
