Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[3, 48, 71, 40, 69]"
2,ISTP-A,Virtuoso,"[4, 42, 69, 32, 65]"
3,ISTP-A,Virtuoso,"[0, 41, 72, 36, 64]"
4,ISTP-A,Virtuoso,"[1, 47, 65, 36, 68]"
5,ISTP-A,Virtuoso,"[4, 47, 72, 35, 67]"
6,INTP-A,Logician,"[6, 54, 75, 35, 63]"
7,ISTP-A,Virtuoso,"[1, 46, 71, 35, 67]"
8,ISTP-A,Virtuoso,"[7, 45, 69, 35, 65]"
9,INTP-A,Logician,"[1, 52, 68, 28, 61]"
10,ISTP-A,Virtuoso,"[3, 46, 74, 36, 68]"
11,ISTP-A,Virtuoso,"[0, 45, 74, 35, 65]"
12,ISTP-A,Virtuoso,"[0, 48, 71, 42, 69]"
13,ISTP-A,Virtuoso,"[4, 47, 74, 28, 69]"
14,ISTP-A,Virtuoso,"[6, 43, 76, 44, 67]"
15,ISTP-A,Virtuoso,"[3, 45, 71, 37, 67]"
16,ISTP-A,Virtuoso,"[6, 42, 71, 31, 56]"
17,ISTP-A,Virtuoso,"[0, 42, 69, 24, 65]"
18,INTP-A,Logician,"[6, 53, 68, 42, 67]"
19,INTP-A,Logician,"[4, 52, 68, 29, 65]"
20,ISTP-A,Virtuoso,"[6, 47, 68, 32, 64]"
21,ISTP-A,Virtuoso,"[10, 46, 74, 36, 63]"
22,ISTP-A,Virtuoso,"[6, 39, 72, 29, 71]"
23,ISTP-A,Virtuoso,"[0, 42, 76, 26, 69]"
24,ISTP-A,Virtuoso,"[1, 46, 71, 36, 63]"
25,ISTP-A,Virtuoso,"[3, 45, 69, 36, 65]"
26,INTP-A,Logician,"[3, 51, 67, 33, 65]"
27,ISTP-A,Virtuoso,"[1, 46, 69, 39, 63]"
28,ISTP-A,Virtuoso,"[0, 46, 72, 43, 64]"
29,ISTP-A,Virtuoso,"[8, 47, 69, 36, 71]"
30,ISTP-A,Virtuoso,"[8, 42, 71, 40, 65]"
31,ISTP-A,Virtuoso,"[11, 47, 76, 39, 65]"
32,ISTP-A,Virtuoso,"[7, 46, 68, 36, 72]"
33,ISTP-A,Virtuoso,"[4, 45, 76, 40, 71]"
34,INTP-A,Logician,"[7, 52, 71, 33, 68]"
35,ISTP-A,Virtuoso,"[3, 45, 71, 33, 63]"
36,ISTP-A,Virtuoso,"[1, 48, 67, 29, 69]"
37,ISTP-A,Virtuoso,"[0, 45, 74, 42, 67]"
38,INTP-A,Logician,"[7, 53, 72, 39, 63]"
39,ISTP-A,Virtuoso,"[6, 47, 74, 40, 64]"
40,ISTP-A,Virtuoso,"[4, 43, 72, 46, 65]"
41,ISTP-A,Virtuoso,"[0, 47, 74, 36, 67]"
42,ISTP-A,Virtuoso,"[3, 45, 72, 44, 68]"
