Cycle,Code,Role,Values
1,ENFJ-A,Protagonist,"[69, 57, 28, 54, 60]"
2,ENFJ-A,Protagonist,"[69, 52, 33, 64, 60]"
3,ENFJ-A,Protagonist,"[69, 60, 35, 58, 64]"
4,ENFJ-A,Protagonist,"[69, 57, 31, 68, 68]"
5,ESFJ-A,Consul,"[67, 39, 40, 60, 71]"
6,ESFJ-A,Consul,"[68, 47, 29, 65, 56]"
7,ESFJ-A,Consul,"[69, 48, 35, 58, 58]"
8,ENFJ-A,Protagonist,"[65, 52, 36, 65, 68]"
9,ENFJ-A,Protagonist,"[63, 61, 28, 60, 67]"
10,ENFJ-A,Protagonist,"[68, 57, 29, 68, 61]"
11,ENFJ-A,Protagonist,"[68, 59, 36, 60, 68]"
12,ESFJ-A,Consul,"[58, 47, 36, 58, 54]"
13,ENFJ-A,Protagonist,"[67, 57, 39, 67, 68]"
14,ENFJ-A,Protagonist,"[61, 57, 37, 54, 63]"
15,ENFJ-A,Protagonist,"[72, 53, 28, 64, 61]"
16,ENFJ-A,Protagonist,"[74, 56, 29, 65, 71]"
17,ENFJ-A,Protagonist,"[60, 64, 31, 67, 57]"
18,ENFP-A,Campaigner,"[60, 61, 35, 49, 67]"
19,ENFJ-A,Protagonist,"[74, 53, 36, 65, 72]"
20,ENFJ-A,Protagonist,"[69, 63, 35, 57, 60]"
21,ENFJ-A,Protagonist,"[71, 54, 33, 67, 65]"
22,ENFJ-A,Protagonist,"[68, 53, 35, 58, 57]"
23,ENFJ-A,Protagonist,"[69, 61, 44, 64, 58]"
24,ENFJ-A,Protagonist,"[69, 53, 32, 53, 63]"
25,ENFJ-A,Protagonist,"[68, 53, 32, 61, 79]"
26,ENFJ-A,Protagonist,"[65, 63, 31, 64, 64]"
27,ENFJ-A,Protagonist,"[74, 60, 39, 57, 65]"
28,ENFJ-A,Protagonist,"[75, 54, 25, 58, 58]"
29,ENFJ-A,Protagonist,"[65, 57, 35, 64, 71]"
30,ENFJ-A,Protagonist,"[67, 56, 42, 61, 58]"
31,ENFJ-A,Protagonist,"[75, 51, 36, 65, 71]"
32,ENFJ-A,Protagonist,"[65, 54, 39, 64, 69]"
33,ENFJ-A,Protagonist,"[69, 53, 29, 56, 68]"
34,ESFJ-A,Consul,"[69, 48, 39, 64, 74]"
35,ENFJ-A,Protagonist,"[72, 59, 39, 51, 61]"
36,ENFJ-A,Protagonist,"[72, 56, 36, 64, 57]"
37,ENFJ-A,Protagonist,"[69, 63, 33, 58, 72]"
38,ENFJ-A,Protagonist,"[72, 57, 32, 60, 72]"
39,ENFJ-A,Protagonist,"[69, 56, 25, 74, 64]"
40,ENFJ-A,Protagonist,"[65, 56, 31, 64, 64]"
41,ENFJ-A,Protagonist,"[68, 54, 29, 58, 57]"
42,ENFJ-T,Protagonist,"[72, 56, 28, 68, 49]"
43,ENFJ-A,Protagonist,"[64, 52, 42, 56, 71]"
44,ENFJ-A,Protagonist,"[72, 60, 37, 54, 53]"
45,ENFJ-A,Protagonist,"[65, 53, 32, 63, 61]"
46,ENFJ-A,Protagonist,"[68, 59, 39, 58, 63]"
47,ENFJ-A,Protagonist,"[64, 52, 39, 58, 67]"
48,ENFJ-A,Protagonist,"[67, 53, 31, 58, 63]"
49,ENFJ-A,Protagonist,"[67, 54, 36, 72, 65]"
50,ENFJ-A,Protagonist,"[72, 57, 35, 56, 67]"
51,ENFJ-A,Protagonist,"[67, 66, 33, 60, 54]"
52,ENFJ-A,Protagonist,"[71, 60, 42, 58, 64]"
53,ENFJ-A,Protagonist,"[68, 51, 32, 56, 69]"
54,ENFJ-A,Protagonist,"[67, 57, 35, 63, 56]"
