Cycle,Code,Role,Values
1,ESFP-A,Entertainer,"[72, 45, 42, 29, 68]"
2,ESFP-A,Entertainer,"[67, 38, 33, 39, 69]"
3,ESFP-A,Entertainer,"[63, 36, 37, 35, 71]"
4,ESFP-A,Entertainer,"[76, 31, 49, 31, 71]"
5,ESFP-A,Entertainer,"[68, 41, 39, 28, 63]"
6,ESFP-A,Entertainer,"[67, 35, 32, 35, 68]"
7,ESFP-A,Entertainer,"[64, 42, 35, 35, 76]"
8,ESFP-A,Entertainer,"[67, 43, 36, 29, 53]"
9,ESFP-A,Entertainer,"[68, 48, 35, 26, 76]"
10,ESFP-A,Entertainer,"[64, 47, 43, 26, 71]"
11,ESFP-A,Entertainer,"[61, 39, 37, 26, 67]"
12,ESFP-A,Entertainer,"[71, 41, 46, 33, 76]"
13,ESFP-A,Entertainer,"[69, 48, 42, 35, 65]"
14,ESFP-A,Entertainer,"[65, 42, 42, 36, 65]"
15,ESFP-A,Entertainer,"[65, 43, 40, 28, 67]"
16,ESFP-A,Entertainer,"[67, 48, 47, 31, 68]"
17,ESFP-A,Entertainer,"[67, 43, 40, 35, 60]"
18,ESTP-A,Entrepreneur,"[64, 45, 51, 33, 68]"
19,ESFP-A,Entertainer,"[65, 41, 35, 43, 63]"
20,ESFP-A,Entertainer,"[67, 39, 39, 29, 71]"
21,ESFP-A,Entertainer,"[67, 41, 49, 31, 71]"
22,ESFP-A,Entertainer,"[69, 32, 40, 31, 69]"
23,ESFP-A,Entertainer,"[67, 38, 49, 25, 64]"
24,ESFP-A,Entertainer,"[65, 46, 40, 29, 56]"
25,ESTP-A,Entrepreneur,"[58, 45, 54, 26, 65]"
26,ESFP-A,Entertainer,"[68, 35, 49, 32, 76]"
27,ESFP-A,Entertainer,"[69, 45, 49, 39, 68]"
28,ESFP-A,Entertainer,"[60, 47, 39, 40, 68]"
29,ESFP-A,Entertainer,"[67, 39, 32, 29, 60]"
30,ESFP-A,Entertainer,"[68, 39, 43, 39, 68]"
31,ESFP-A,Entertainer,"[57, 42, 44, 32, 63]"
32,ESFP-A,Entertainer,"[67, 48, 42, 33, 71]"
33,ESFP-A,Entertainer,"[65, 32, 47, 19, 71]"
34,ESFP-A,Entertainer,"[72, 46, 43, 43, 75]"
35,ESFP-A,Entertainer,"[68, 41, 36, 39, 71]"
36,ESFP-A,Entertainer,"[61, 38, 43, 35, 64]"
37,ESFP-A,Entertainer,"[64, 42, 44, 35, 74]"
38,ESFP-A,Entertainer,"[67, 38, 47, 29, 76]"
39,ESFP-A,Entertainer,"[64, 45, 35, 24, 64]"
40,ESFP-A,Entertainer,"[57, 31, 31, 33, 64]"
41,ESFP-A,Entertainer,"[69, 36, 42, 33, 72]"
42,ESTP-A,Entrepreneur,"[69, 38, 51, 35, 64]"
43,ESFP-A,Entertainer,"[67, 39, 35, 31, 78]"
44,ESFP-A,Entertainer,"[67, 35, 42, 35, 71]"
45,ESFP-A,Entertainer,"[71, 41, 29, 39, 75]"
46,ESFP-A,Entertainer,"[63, 28, 40, 43, 67]"
47,ESFP-A,Entertainer,"[68, 39, 29, 31, 64]"
48,ESFP-A,Entertainer,"[68, 41, 35, 35, 65]"
49,ESFP-A,Entertainer,"[65, 38, 37, 33, 74]"
50,ESFP-A,Entertainer,"[64, 32, 35, 29, 61]"
51,ESFP-A,Entertainer,"[68, 48, 42, 32, 69]"
52,ESFP-A,Entertainer,"[69, 36, 42, 37, 67]"
53,ESFP-A,Entertainer,"[67, 41, 43, 31, 65]"
54,ESFP-A,Entertainer,"[76, 34, 36, 29, 67]"
55,ESFP-A,Entertainer,"[69, 41, 49, 37, 71]"
56,ESFP-A,Entertainer,"[68, 47, 37, 32, 78]"
57,ESFP-A,Entertainer,"[67, 31, 43, 29, 69]"
58,ESFP-A,Entertainer,"[64, 39, 36, 26, 75]"
59,ESFP-A,Entertainer,"[64, 32, 33, 24, 65]"
60,ESFP-A,Entertainer,"[67, 46, 36, 36, 78]"
61,ESFP-A,Entertainer,"[68, 43, 37, 37, 72]"
62,ESFP-A,Entertainer,"[65, 41, 42, 19, 61]"
63,ESFP-A,Entertainer,"[61, 39, 42, 26, 69]"
64,ESFP-A,Entertainer,"[67, 46, 39, 31, 74]"
65,ESFP-A,Entertainer,"[67, 46, 33, 39, 68]"
66,ESFP-A,Entertainer,"[72, 43, 36, 35, 72]"
67,ESFP-A,Entertainer,"[65, 36, 42, 36, 64]"
68,ESFP-A,Entertainer,"[68, 39, 47, 39, 63]"
69,ESFP-A,Entertainer,"[64, 38, 42, 19, 71]"
70,ESFP-A,Entertainer,"[74, 36, 49, 22, 60]"
71,ESFP-A,Entertainer,"[67, 38, 39, 28, 78]"
72,ESFP-A,Entertainer,"[67, 46, 33, 29, 65]"
73,ESFP-A,Entertainer,"[67, 41, 28, 39, 67]"
74,ESFP-A,Entertainer,"[64, 38, 43, 29, 69]"
75,ESFP-A,Entertainer,"[71, 38, 40, 26, 74]"
76,ESFP-A,Entertainer,"[67, 41, 44, 35, 67]"
77,ESFP-A,Entertainer,"[68, 32, 35, 37, 61]"
78,ESFP-A,Entertainer,"[64, 47, 33, 33, 72]"
79,ESFP-A,Entertainer,"[58, 36, 39, 32, 72]"
80,ESFP-A,Entertainer,"[68, 46, 43, 26, 76]"
81,ESFP-A,Entertainer,"[64, 42, 44, 37, 68]"
82,ESFP-A,Entertainer,"[64, 48, 37, 22, 61]"
83,ESFP-A,Entertainer,"[69, 38, 46, 44, 64]"
84,ESFP-A,Entertainer,"[64, 48, 49, 31, 64]"
85,ESFP-A,Entertainer,"[68, 42, 43, 36, 65]"
86,ESFP-A,Entertainer,"[72, 46, 32, 37, 74]"
87,ESFP-A,Entertainer,"[72, 41, 37, 29, 75]"
88,ESFP-A,Entertainer,"[71, 36, 37, 42, 69]"
89,ESFP-A,Entertainer,"[67, 38, 37, 26, 75]"
90,ESFP-A,Entertainer,"[63, 48, 35, 39, 67]"
91,ENFP-A,Campaigner,"[65, 51, 39, 24, 75]"
92,ESFP-A,Entertainer,"[67, 38, 42, 26, 67]"
93,ESFP-A,Entertainer,"[74, 43, 35, 33, 81]"
94,ESFP-A,Entertainer,"[67, 38, 31, 32, 69]"
95,ESFP-A,Entertainer,"[69, 36, 32, 26, 76]"
96,ESFP-A,Entertainer,"[68, 41, 40, 37, 67]"
97,ESFP-A,Entertainer,"[72, 43, 40, 29, 76]"
98,ESFP-A,Entertainer,"[64, 42, 49, 39, 67]"
99,ESFP-A,Entertainer,"[69, 41, 36, 36, 74]"
100,ESFP-A,Entertainer,"[61, 47, 35, 22, 72]"
