Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[61, 32, 79, 39, 82]"
2,ESTP-A,Entrepreneur,"[58, 17, 82, 32, 76]"
3,ESTP-A,Entrepreneur,"[63, 34, 86, 39, 81]"
4,ESTP-A,Entrepreneur,"[61, 36, 79, 42, 75]"
5,ESTP-A,Entrepreneur,"[61, 29, 85, 28, 69]"
6,ESTP-A,Entrepreneur,"[67, 17, 82, 43, 75]"
7,ESTP-A,Entrepreneur,"[63, 28, 72, 35, 85]"
8,ESTP-A,Entrepreneur,"[57, 28, 78, 46, 85]"
9,ESTP-A,Entrepreneur,"[65, 34, 76, 32, 72]"
10,ESTP-A,Entrepreneur,"[63, 31, 81, 44, 86]"
11,ESTP-A,Entrepreneur,"[65, 28, 82, 46, 76]"
12,ESTP-A,Entrepreneur,"[65, 34, 76, 43, 76]"
13,ESTP-A,Entrepreneur,"[56, 32, 75, 33, 78]"
14,ESTP-A,Entrepreneur,"[65, 21, 71, 32, 81]"
15,ESTP-A,Entrepreneur,"[64, 39, 79, 36, 88]"
16,ESTP-A,Entrepreneur,"[56, 31, 78, 29, 89]"
17,ESTP-A,Entrepreneur,"[63, 29, 75, 28, 85]"
18,ESTP-A,Entrepreneur,"[61, 36, 81, 35, 89]"
19,ESTP-A,Entrepreneur,"[58, 31, 71, 37, 81]"
20,ESTP-A,Entrepreneur,"[65, 31, 82, 44, 74]"
21,ESTP-A,Entrepreneur,"[64, 34, 81, 37, 83]"
22,ESTP-A,Entrepreneur,"[67, 31, 75, 33, 79]"
23,ESTP-A,Entrepreneur,"[68, 29, 88, 44, 68]"
24,ESTP-A,Entrepreneur,"[67, 31, 88, 39, 83]"
25,ESTP-A,Entrepreneur,"[69, 20, 82, 47, 82]"
26,ESTP-A,Entrepreneur,"[61, 34, 86, 40, 83]"
27,ESTP-A,Entrepreneur,"[61, 38, 86, 39, 90]"
28,ESTP-A,Entrepreneur,"[57, 29, 75, 35, 71]"
29,ESTP-A,Entrepreneur,"[68, 32, 78, 35, 85]"
30,ESTP-A,Entrepreneur,"[65, 29, 81, 35, 83]"
31,ESTP-A,Entrepreneur,"[64, 42, 76, 36, 75]"
32,ESTP-A,Entrepreneur,"[60, 25, 86, 32, 71]"
33,ESTP-A,Entrepreneur,"[57, 20, 82, 32, 78]"
34,ESTP-A,Entrepreneur,"[72, 39, 76, 44, 78]"
35,ESTP-A,Entrepreneur,"[61, 29, 75, 31, 78]"
36,ESTP-A,Entrepreneur,"[65, 31, 81, 39, 76]"
37,ESTP-A,Entrepreneur,"[63, 27, 75, 42, 72]"
38,ESTP-A,Entrepreneur,"[68, 31, 78, 36, 72]"
39,ESTP-A,Entrepreneur,"[56, 31, 76, 32, 71]"
40,ESTP-A,Entrepreneur,"[64, 38, 75, 40, 90]"
41,ESTP-A,Entrepreneur,"[61, 21, 78, 36, 78]"
42,ESTP-A,Entrepreneur,"[68, 36, 72, 40, 68]"
43,ESTP-A,Entrepreneur,"[63, 38, 89, 35, 76]"
44,ESTP-A,Entrepreneur,"[58, 29, 81, 46, 78]"
45,ESTP-A,Entrepreneur,"[68, 28, 78, 26, 86]"
46,ESTP-A,Entrepreneur,"[65, 22, 75, 36, 69]"
47,ESTP-A,Entrepreneur,"[65, 35, 85, 31, 82]"
48,ESTP-A,Entrepreneur,"[63, 31, 76, 40, 76]"
49,ESTP-A,Entrepreneur,"[63, 29, 74, 40, 78]"
50,ESTP-A,Entrepreneur,"[61, 31, 79, 47, 75]"
51,ESTP-A,Entrepreneur,"[71, 28, 78, 35, 83]"
52,ESTP-A,Entrepreneur,"[61, 29, 81, 46, 71]"
53,ESTP-A,Entrepreneur,"[69, 32, 78, 35, 74]"
54,ESTP-A,Entrepreneur,"[68, 27, 85, 29, 81]"
55,ESTP-A,Entrepreneur,"[67, 29, 78, 46, 81]"
56,ESTP-A,Entrepreneur,"[58, 34, 74, 35, 76]"
57,ESTP-A,Entrepreneur,"[63, 25, 83, 40, 82]"
58,ESTP-A,Entrepreneur,"[67, 36, 88, 42, 81]"
59,ESTP-A,Entrepreneur,"[69, 29, 74, 31, 75]"
60,ESTP-A,Entrepreneur,"[61, 24, 78, 42, 72]"
61,ESTP-A,Entrepreneur,"[61, 24, 69, 32, 67]"
62,ESTP-A,Entrepreneur,"[60, 36, 79, 40, 78]"
63,ESTP-A,Entrepreneur,"[61, 31, 89, 44, 76]"
64,ESTP-A,Entrepreneur,"[64, 34, 82, 37, 74]"
65,ESTP-A,Entrepreneur,"[72, 20, 75, 36, 74]"
66,ESTP-A,Entrepreneur,"[60, 29, 78, 32, 79]"
67,ESTP-A,Entrepreneur,"[65, 24, 82, 32, 75]"
68,ESTP-A,Entrepreneur,"[67, 25, 88, 37, 72]"
69,ESTP-A,Entrepreneur,"[67, 24, 81, 28, 71]"
70,ESTP-A,Entrepreneur,"[63, 29, 86, 39, 74]"
71,ESTP-A,Entrepreneur,"[57, 39, 78, 42, 79]"
72,ESTP-A,Entrepreneur,"[69, 35, 67, 40, 79]"
73,ESTP-A,Entrepreneur,"[63, 25, 86, 40, 79]"
74,ESTP-A,Entrepreneur,"[64, 29, 78, 42, 78]"
75,ESTP-A,Entrepreneur,"[69, 32, 83, 37, 75]"
76,ESTP-A,Entrepreneur,"[63, 28, 76, 37, 69]"
77,ESTP-A,Entrepreneur,"[60, 29, 75, 37, 81]"
78,ESTP-A,Entrepreneur,"[61, 29, 74, 37, 74]"
79,ESTP-A,Entrepreneur,"[68, 29, 82, 47, 76]"
80,ESTP-A,Entrepreneur,"[67, 25, 85, 33, 81]"
81,ESTP-A,Entrepreneur,"[65, 25, 68, 31, 74]"
82,ESTP-A,Entrepreneur,"[71, 39, 82, 26, 78]"
83,ESTP-A,Entrepreneur,"[67, 21, 79, 36, 88]"
84,ESTP-A,Entrepreneur,"[69, 17, 74, 44, 74]"
85,ESTP-A,Entrepreneur,"[68, 20, 75, 37, 78]"
86,ESTP-A,Entrepreneur,"[65, 32, 67, 39, 81]"
87,ESTP-A,Entrepreneur,"[63, 25, 81, 46, 86]"
88,ESTP-A,Entrepreneur,"[67, 25, 86, 42, 75]"
89,ESTP-A,Entrepreneur,"[63, 29, 79, 39, 75]"
90,ESTP-A,Entrepreneur,"[63, 27, 81, 33, 81]"
91,ESTP-A,Entrepreneur,"[71, 28, 75, 37, 79]"
92,ESTP-A,Entrepreneur,"[64, 31, 75, 42, 86]"
93,ESTP-A,Entrepreneur,"[63, 35, 78, 36, 75]"
94,ESTP-A,Entrepreneur,"[69, 27, 81, 39, 76]"
95,ESTP-A,Entrepreneur,"[65, 18, 83, 42, 79]"
96,ESTJ-A,Executive,"[63, 32, 76, 51, 75]"
97,ESTP-A,Entrepreneur,"[67, 38, 81, 35, 71]"
98,ESTP-A,Entrepreneur,"[67, 34, 76, 35, 76]"
99,ESTP-A,Entrepreneur,"[67, 29, 72, 37, 88]"
100,ESTP-A,Entrepreneur,"[60, 32, 85, 36, 78]"
