Cycle,Code,Role,Values
1,ESFP-A,Entertainer,"[74, 43, 47, 40, 74]"
2,ESTP-A,Entrepreneur,"[72, 39, 53, 18, 63]"
3,ENFP-A,Campaigner,"[71, 52, 37, 35, 71]"
4,ESFP-A,Entertainer,"[76, 36, 43, 33, 65]"
5,ESFP-A,Entertainer,"[75, 45, 40, 37, 65]"
6,ESFP-A,Entertainer,"[79, 39, 49, 46, 75]"
7,ESFP-A,Entertainer,"[69, 41, 35, 32, 72]"
8,ESFJ-A,Consul,"[71, 31, 40, 53, 71]"
9,ESFP-A,Entertainer,"[63, 31, 47, 42, 72]"
10,ESTP-A,Entrepreneur,"[71, 29, 56, 33, 61]"
11,ESFP-A,Entertainer,"[76, 38, 49, 43, 69]"
12,ESTP-A,Entrepreneur,"[78, 34, 54, 24, 60]"
13,ESFP-A,Entertainer,"[72, 38, 35, 35, 69]"
14,ESFP-A,Entertainer,"[76, 35, 40, 44, 67]"
15,ESTP-A,Entrepreneur,"[72, 34, 56, 26, 67]"
16,ESFP-A,Entertainer,"[67, 31, 43, 26, 72]"
17,ESFP-A,Entertainer,"[78, 36, 46, 39, 67]"
18,ESFP-A,Entertainer,"[64, 34, 42, 36, 71]"
19,ESFP-A,Entertainer,"[74, 42, 47, 40, 60]"
20,ESFP-A,Entertainer,"[75, 43, 42, 39, 67]"
21,ESFP-A,Entertainer,"[72, 35, 47, 44, 63]"
22,ESFP-A,Entertainer,"[72, 39, 47, 29, 68]"
23,ESTP-A,Entrepreneur,"[79, 43, 53, 37, 63]"
24,ESFP-A,Entertainer,"[81, 36, 37, 29, 75]"
25,ESFP-A,Entertainer,"[64, 43, 44, 42, 65]"
26,ESTP-A,Entrepreneur,"[71, 43, 54, 40, 60]"
27,ESTP-A,Entrepreneur,"[81, 42, 57, 25, 76]"
28,ESFP-A,Entertainer,"[76, 38, 44, 35, 75]"
29,ESTP-A,Entrepreneur,"[71, 47, 53, 28, 67]"
30,ESTP-A,Entrepreneur,"[76, 36, 56, 39, 57]"
31,ESFP-A,Entertainer,"[75, 46, 46, 42, 69]"
32,ESFP-A,Entertainer,"[71, 28, 47, 24, 69]"
33,ESFP-A,Entertainer,"[72, 36, 44, 25, 68]"
34,ESFP-A,Entertainer,"[71, 38, 46, 49, 71]"
35,ESTP-A,Entrepreneur,"[74, 36, 58, 22, 68]"
