Cycle,Code,Role,Values
1,INFJ-A,Advocate,"[6, 53, 24, 64, 63]"
2,INFJ-A,Advocate,"[4, 56, 22, 64, 67]"
3,INFJ-A,Advocate,"[8, 57, 22, 63, 63]"
4,INFJ-A,Advocate,"[12, 54, 26, 54, 72]"
5,INFJ-A,Advocate,"[8, 52, 28, 56, 56]"
6,INFJ-A,Advocate,"[0, 61, 25, 57, 60]"
7,INFJ-A,Advocate,"[3, 60, 22, 57, 58]"
8,INFJ-A,Advocate,"[0, 61, 32, 64, 57]"
9,INFJ-A,Advocate,"[6, 56, 28, 60, 75]"
10,INFJ-A,Advocate,"[4, 64, 33, 67, 63]"
11,INFJ-A,Advocate,"[7, 59, 29, 61, 56]"
12,ISFJ-A,Defender,"[6, 43, 32, 68, 63]"
13,INFJ-A,Advocate,"[6, 53, 31, 63, 63]"
14,INFJ-A,Advocate,"[12, 53, 35, 58, 57]"
15,INFJ-A,Advocate,"[8, 68, 28, 64, 56]"
16,INFJ-A,Advocate,"[3, 51, 31, 58, 63]"
17,INFJ-A,Advocate,"[11, 56, 36, 63, 57]"
18,INFJ-A,Advocate,"[7, 56, 26, 64, 60]"
19,INFJ-A,Advocate,"[11, 59, 26, 61, 57]"
20,INFJ-A,Advocate,"[7, 60, 32, 57, 54]"
21,INFJ-A,Advocate,"[7, 52, 32, 57, 61]"
22,INFJ-A,Advocate,"[6, 61, 32, 53, 60]"
23,INFJ-A,Advocate,"[11, 63, 32, 56, 58]"
24,INFJ-A,Advocate,"[10, 59, 35, 54, 53]"
25,INFJ-A,Advocate,"[11, 54, 36, 58, 56]"
26,INFJ-A,Advocate,"[7, 57, 35, 72, 58]"
27,INFJ-A,Advocate,"[4, 54, 32, 63, 61]"
28,INFJ-A,Advocate,"[6, 59, 28, 65, 58]"
29,INFJ-A,Advocate,"[6, 63, 28, 63, 58]"
30,INFJ-A,Advocate,"[11, 56, 31, 57, 58]"
31,INFJ-A,Advocate,"[11, 61, 31, 67, 60]"
32,INFJ-A,Advocate,"[3, 66, 32, 65, 64]"
33,INFJ-A,Advocate,"[10, 59, 25, 60, 60]"
34,INFJ-A,Advocate,"[1, 52, 31, 61, 53]"
35,INFJ-A,Advocate,"[7, 52, 25, 61, 65]"
36,INFJ-A,Advocate,"[7, 60, 35, 63, 60]"
37,INFJ-A,Advocate,"[8, 53, 25, 60, 61]"
38,INFJ-A,Advocate,"[12, 54, 29, 65, 63]"
39,INFJ-T,Advocate,"[0, 56, 28, 56, 49]"
40,INFJ-A,Advocate,"[15, 60, 31, 57, 57]"
41,INFJ-A,Advocate,"[4, 54, 31, 67, 68]"
42,INFJ-A,Advocate,"[4, 52, 29, 65, 56]"
43,INFJ-A,Advocate,"[4, 59, 29, 64, 65]"
44,INFJ-A,Advocate,"[7, 54, 29, 67, 53]"
45,INFJ-A,Advocate,"[6, 63, 28, 61, 57]"
46,INFJ-A,Advocate,"[12, 59, 29, 60, 60]"
47,INFJ-A,Advocate,"[14, 59, 31, 61, 54]"
48,INFJ-A,Advocate,"[4, 63, 24, 72, 63]"
49,INFJ-A,Advocate,"[7, 51, 32, 67, 56]"
50,INFJ-A,Advocate,"[12, 59, 29, 61, 54]"
51,INFJ-A,Advocate,"[8, 68, 25, 63, 57]"
52,INFJ-A,Advocate,"[7, 64, 26, 71, 56]"
53,INFJ-A,Advocate,"[7, 51, 32, 63, 63]"
54,INFJ-T,Advocate,"[3, 64, 29, 63, 49]"
55,INFJ-A,Advocate,"[14, 60, 25, 69, 57]"
56,INFJ-A,Advocate,"[10, 57, 26, 58, 68]"
57,INFJ-A,Advocate,"[4, 57, 29, 63, 61]"
58,ISFJ-A,Defender,"[7, 45, 35, 56, 65]"
59,INFJ-A,Advocate,"[4, 60, 25, 61, 63]"
60,INFJ-A,Advocate,"[1, 59, 31, 64, 51]"
61,INFJ-A,Advocate,"[12, 61, 31, 64, 65]"
62,INFJ-A,Advocate,"[10, 60, 26, 60, 56]"
63,ISFJ-A,Defender,"[11, 48, 25, 60, 63]"
64,INFJ-A,Advocate,"[4, 53, 31, 65, 65]"
65,ISFJ-A,Defender,"[4, 46, 33, 57, 53]"
66,ISFJ-A,Defender,"[6, 48, 32, 69, 61]"
67,INFJ-A,Advocate,"[8, 60, 22, 63, 63]"
68,INFJ-A,Advocate,"[8, 74, 29, 61, 56]"
69,INFJ-A,Advocate,"[6, 53, 32, 61, 57]"
70,INFJ-A,Advocate,"[6, 56, 37, 60, 54]"
71,INFJ-A,Advocate,"[6, 61, 32, 51, 63]"
72,INFJ-A,Advocate,"[14, 53, 35, 67, 61]"
73,INFJ-A,Advocate,"[0, 61, 35, 64, 60]"
74,INFJ-A,Advocate,"[4, 51, 28, 58, 64]"
75,INFJ-A,Advocate,"[11, 64, 33, 64, 58]"
76,INFJ-A,Advocate,"[7, 60, 32, 61, 60]"
77,ISFJ-A,Defender,"[6, 47, 29, 51, 60]"
78,INFJ-A,Advocate,"[8, 56, 31, 60, 54]"
79,INFJ-A,Advocate,"[4, 53, 29, 65, 63]"
80,INFJ-A,Advocate,"[8, 57, 35, 65, 56]"
81,INFP-A,Mediator,"[6, 59, 22, 47, 57]"
82,INFJ-T,Advocate,"[7, 60, 33, 57, 49]"
83,INFJ-A,Advocate,"[6, 51, 26, 58, 57]"
84,INFJ-A,Advocate,"[3, 61, 31, 64, 64]"
85,INFJ-A,Advocate,"[8, 56, 24, 61, 64]"
86,INFJ-T,Advocate,"[10, 60, 25, 63, 44]"
87,INFJ-A,Advocate,"[1, 56, 31, 65, 53]"
88,INFJ-A,Advocate,"[0, 56, 29, 56, 71]"
