Cycle,Code,Role,Values
1,INTP-A,Logician,"[4, 61, 82, 25, 76]"
2,INTP-A,Logician,"[6, 63, 83, 24, 67]"
3,INTP-A,Logician,"[3, 64, 78, 33, 68]"
4,INTP-A,Logician,"[7, 61, 82, 29, 68]"
5,INTP-A,Logician,"[1, 53, 76, 28, 67]"
6,INTP-A,Logician,"[11, 60, 85, 24, 76]"
7,INTP-A,Logician,"[3, 57, 76, 25, 82]"
8,INTP-A,Logician,"[6, 54, 79, 31, 69]"
9,INTP-A,Logician,"[3, 64, 79, 33, 74]"
10,INTP-A,Logician,"[4, 52, 88, 31, 75]"
11,INTP-A,Logician,"[3, 51, 83, 28, 76]"
12,INTP-A,Logician,"[3, 54, 82, 25, 71]"
13,INTP-A,Logician,"[10, 54, 81, 31, 72]"
14,INTP-A,Logician,"[3, 52, 88, 28, 71]"
15,INTP-A,Logician,"[10, 53, 78, 35, 69]"
16,INTP-A,Logician,"[3, 57, 93, 26, 63]"
17,INTP-A,Logician,"[7, 64, 82, 21, 68]"
18,INTP-A,Logician,"[4, 59, 75, 35, 75]"
19,INTP-A,Logician,"[4, 64, 83, 26, 69]"
20,INTP-A,Logician,"[0, 54, 85, 26, 72]"
21,INTP-A,Logician,"[8, 66, 94, 37, 72]"
22,INTP-A,Logician,"[3, 53, 83, 21, 81]"
23,INTP-A,Logician,"[7, 56, 78, 28, 74]"
24,INTP-A,Logician,"[11, 60, 78, 25, 76]"
25,ISTP-A,Virtuoso,"[7, 48, 92, 22, 69]"
26,INTP-A,Logician,"[10, 57, 78, 33, 68]"
27,INTP-A,Logician,"[0, 56, 82, 28, 75]"
28,INTP-A,Logician,"[7, 63, 89, 31, 78]"
29,INTP-A,Logician,"[6, 57, 79, 31, 65]"
30,INTP-A,Logician,"[6, 54, 85, 29, 67]"
31,INTP-A,Logician,"[7, 57, 90, 35, 74]"
32,INTP-A,Logician,"[4, 54, 83, 25, 67]"
33,ISTP-A,Virtuoso,"[4, 47, 82, 17, 72]"
34,INTP-A,Logician,"[1, 60, 83, 29, 65]"
35,INTP-A,Logician,"[3, 52, 85, 32, 64]"
36,INTP-A,Logician,"[11, 63, 85, 26, 71]"
37,INTP-A,Logician,"[8, 53, 89, 26, 67]"
38,INTP-A,Logician,"[1, 61, 81, 29, 72]"
39,INTP-A,Logician,"[7, 63, 81, 31, 74]"
40,INTP-A,Logician,"[6, 56, 82, 33, 81]"
41,INTP-A,Logician,"[0, 56, 83, 31, 72]"
42,INTP-A,Logician,"[1, 53, 75, 26, 72]"
43,INTP-A,Logician,"[6, 56, 81, 29, 78]"
44,INTP-A,Logician,"[4, 59, 78, 33, 71]"
45,INTP-A,Logician,"[4, 53, 79, 37, 68]"
46,INTP-A,Logician,"[8, 52, 71, 22, 72]"
47,ISTP-A,Virtuoso,"[4, 46, 76, 26, 81]"
48,INTP-A,Logician,"[3, 59, 94, 19, 69]"
49,INTP-A,Logician,"[3, 59, 82, 26, 69]"
50,INTP-A,Logician,"[7, 52, 79, 29, 67]"
51,INTP-A,Logician,"[6, 61, 92, 29, 82]"
52,INTP-A,Logician,"[7, 60, 79, 31, 68]"
53,ISTP-A,Virtuoso,"[4, 47, 93, 32, 71]"
54,INTP-A,Logician,"[6, 53, 81, 19, 75]"
55,INTP-A,Logician,"[7, 57, 78, 40, 79]"
56,INTP-A,Logician,"[12, 60, 81, 31, 69]"
57,ISTP-A,Virtuoso,"[1, 47, 78, 29, 85]"
58,INTP-A,Logician,"[0, 59, 82, 19, 74]"
59,INTP-A,Logician,"[6, 63, 88, 31, 75]"
60,ISTP-A,Virtuoso,"[6, 47, 76, 29, 74]"
61,INTP-A,Logician,"[3, 54, 83, 33, 81]"
62,INTP-A,Logician,"[3, 60, 88, 31, 69]"
63,INTP-A,Logician,"[1, 56, 76, 24, 75]"
64,INTP-A,Logician,"[7, 60, 90, 33, 71]"
65,INTP-A,Logician,"[6, 53, 82, 25, 71]"
66,INTP-A,Logician,"[4, 59, 75, 24, 75]"
67,INTP-A,Logician,"[1, 51, 78, 28, 63]"
68,INTP-A,Logician,"[3, 56, 86, 32, 68]"
69,INTP-A,Logician,"[0, 52, 88, 26, 71]"
70,INTP-A,Logician,"[0, 59, 76, 37, 79]"
71,INTP-A,Logician,"[7, 56, 78, 24, 75]"
72,INTP-A,Logician,"[3, 57, 85, 22, 67]"
73,INTP-A,Logician,"[7, 59, 85, 22, 74]"
74,INTP-A,Logician,"[0, 54, 82, 24, 64]"
75,INTP-A,Logician,"[3, 56, 92, 29, 69]"
76,INTP-A,Logician,"[0, 61, 89, 26, 74]"
77,INTP-A,Logician,"[3, 51, 75, 36, 72]"
78,INTP-A,Logician,"[1, 51, 88, 31, 69]"
79,INTP-A,Logician,"[7, 56, 83, 37, 72]"
80,ISTP-A,Virtuoso,"[0, 48, 76, 28, 72]"
81,INTP-A,Logician,"[0, 63, 92, 28, 72]"
82,INTP-A,Logician,"[6, 56, 82, 31, 68]"
83,INTP-A,Logician,"[4, 54, 82, 19, 68]"
