Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[11, 34, 81, 49, 82]"
2,ISTP-A,Virtuoso,"[8, 34, 78, 49, 81]"
3,ISTP-A,Virtuoso,"[11, 43, 75, 36, 81]"
4,ISTP-A,Virtuoso,"[6, 39, 72, 49, 76]"
5,ISTP-A,Virtuoso,"[4, 32, 79, 47, 71]"
6,ISTJ-A,Logistician,"[6, 48, 81, 57, 78]"
7,ISTP-A,Virtuoso,"[10, 35, 82, 49, 82]"
8,ISTP-A,Virtuoso,"[1, 29, 93, 49, 82]"
9,ISTP-A,Virtuoso,"[3, 31, 82, 46, 74]"
10,ISTJ-A,Logistician,"[8, 42, 92, 54, 74]"
11,ISTJ-A,Logistician,"[6, 31, 78, 54, 86]"
12,ISTJ-A,Logistician,"[8, 43, 75, 58, 69]"
13,ISTJ-A,Logistician,"[8, 38, 83, 60, 81]"
14,ISTP-A,Virtuoso,"[1, 36, 75, 47, 68]"
15,ISTP-A,Virtuoso,"[1, 41, 79, 49, 83]"
16,ISTJ-A,Logistician,"[7, 32, 79, 54, 72]"
17,ISTP-A,Virtuoso,"[3, 29, 83, 46, 83]"
18,ISTP-A,Virtuoso,"[0, 36, 85, 44, 82]"
19,ISTJ-A,Logistician,"[1, 38, 82, 57, 75]"
20,ISTJ-A,Logistician,"[11, 31, 79, 51, 68]"
21,ISTJ-A,Logistician,"[3, 32, 75, 56, 81]"
22,ISTJ-A,Logistician,"[0, 31, 88, 51, 78]"
23,ISTP-A,Virtuoso,"[4, 35, 81, 49, 81]"
24,ISTP-A,Virtuoso,"[6, 39, 81, 43, 67]"
25,ISTP-A,Virtuoso,"[8, 38, 83, 46, 83]"
26,ISTP-A,Virtuoso,"[6, 35, 78, 46, 79]"
27,ISTJ-A,Logistician,"[3, 39, 85, 54, 76]"
28,ISTP-A,Virtuoso,"[0, 34, 82, 43, 81]"
29,ISTP-A,Virtuoso,"[10, 39, 81, 44, 74]"
30,ISTP-A,Virtuoso,"[4, 38, 75, 44, 81]"
31,ISTJ-A,Logistician,"[7, 29, 72, 51, 79]"
32,ISTP-A,Virtuoso,"[12, 46, 78, 49, 85]"
33,ISTP-A,Virtuoso,"[4, 34, 82, 46, 78]"
34,ISTJ-A,Logistician,"[4, 45, 75, 53, 82]"
35,ISTJ-A,Logistician,"[8, 32, 78, 56, 78]"
36,ISTP-A,Virtuoso,"[7, 34, 74, 42, 81]"
37,ISTP-A,Virtuoso,"[7, 31, 78, 42, 81]"
38,ISTP-A,Virtuoso,"[8, 31, 74, 47, 83]"
39,ISTJ-A,Logistician,"[7, 45, 81, 58, 74]"
40,ISTP-A,Virtuoso,"[3, 46, 75, 42, 78]"
41,ISTJ-A,Logistician,"[7, 32, 86, 53, 83]"
42,ISTP-A,Virtuoso,"[6, 34, 68, 47, 79]"
43,ISTP-A,Virtuoso,"[0, 28, 85, 42, 74]"
44,ISTP-A,Virtuoso,"[4, 35, 83, 49, 79]"
45,ISTP-A,Virtuoso,"[8, 41, 68, 44, 68]"
46,ISTP-A,Virtuoso,"[6, 35, 81, 46, 79]"
47,ISTJ-A,Logistician,"[0, 34, 82, 54, 79]"
48,ISTP-A,Virtuoso,"[10, 29, 71, 44, 81]"
49,ISTJ-A,Logistician,"[10, 38, 83, 51, 85]"
50,ISTP-A,Virtuoso,"[7, 28, 89, 49, 81]"
51,ISTP-A,Virtuoso,"[0, 39, 85, 47, 81]"
52,ISTP-A,Virtuoso,"[10, 35, 72, 49, 86]"
53,ISTP-A,Virtuoso,"[12, 29, 69, 47, 86]"
54,ISTJ-A,Logistician,"[1, 39, 81, 51, 86]"
55,ISTJ-A,Logistician,"[0, 36, 76, 53, 79]"
56,ISTP-A,Virtuoso,"[11, 38, 74, 39, 83]"
57,ISTJ-A,Logistician,"[1, 31, 78, 53, 82]"
58,ISTP-A,Virtuoso,"[7, 32, 85, 49, 86]"
59,ISTJ-A,Logistician,"[11, 29, 86, 54, 78]"
60,ISTJ-A,Logistician,"[4, 45, 76, 53, 71]"
61,ISTP-A,Virtuoso,"[8, 39, 78, 49, 82]"
62,ISTP-A,Virtuoso,"[7, 34, 79, 46, 85]"
63,ISTP-A,Virtuoso,"[7, 45, 78, 47, 81]"
64,ISTP-A,Virtuoso,"[0, 34, 79, 43, 78]"
65,ISTP-A,Virtuoso,"[14, 34, 85, 43, 83]"
66,ISTJ-A,Logistician,"[8, 38, 79, 51, 82]"
67,ISTJ-A,Logistician,"[8, 31, 78, 56, 76]"
68,ISTP-A,Virtuoso,"[3, 42, 82, 44, 82]"
69,ISTP-A,Virtuoso,"[8, 31, 83, 49, 78]"
70,ISTJ-A,Logistician,"[11, 38, 76, 57, 71]"
71,ISTJ-A,Logistician,"[8, 29, 81, 53, 76]"
72,ISTP-A,Virtuoso,"[4, 32, 81, 47, 71]"
73,ISTP-A,Virtuoso,"[3, 31, 81, 47, 71]"
74,ISTP-A,Virtuoso,"[3, 29, 86, 49, 74]"
75,ISTJ-A,Logistician,"[6, 34, 81, 53, 88]"
76,ISTJ-A,Logistician,"[0, 39, 83, 54, 79]"
77,ISTP-A,Virtuoso,"[6, 43, 86, 46, 75]"
78,ISTP-A,Virtuoso,"[12, 29, 78, 44, 72]"
79,ISTJ-A,Logistician,"[0, 35, 75, 58, 81]"
80,ISTP-A,Virtuoso,"[1, 41, 75, 47, 81]"
81,ISTJ-A,Logistician,"[1, 35, 86, 56, 76]"
82,ISTJ-A,Logistician,"[4, 36, 69, 54, 75]"
83,ISTP-A,Virtuoso,"[3, 42, 71, 42, 81]"
84,ISTJ-A,Logistician,"[10, 36, 79, 51, 81]"
