Cycle,Code,Role,Values
1,ESTJ-A,Executive,"[67, 0, 86, 68, 85]"
2,ESTJ-A,Executive,"[74, 3, 85, 64, 76]"
3,ESTJ-A,Executive,"[68, 0, 85, 69, 75]"
4,ESTJ-A,Executive,"[71, 2, 79, 69, 72]"
5,ESTJ-A,Executive,"[68, 0, 89, 60, 72]"
6,ESTJ-A,Executive,"[69, 0, 82, 65, 71]"
7,ESTJ-A,Executive,"[68, 4, 83, 61, 76]"
8,ESTJ-A,Executive,"[72, 4, 76, 64, 79]"
9,ESTJ-A,Executive,"[67, 6, 81, 71, 79]"
10,ESTJ-A,Executive,"[61, 2, 85, 71, 71]"
11,ESTJ-A,Executive,"[75, 9, 86, 65, 78]"
12,ESTJ-A,Executive,"[69, 0, 85, 63, 75]"
13,ESTJ-A,Executive,"[71, 0, 86, 69, 78]"
14,ESTJ-A,Executive,"[67, 3, 81, 69, 78]"
15,ESTJ-A,Executive,"[63, 0, 85, 60, 74]"
16,ESTJ-A,Executive,"[63, 0, 76, 69, 76]"
17,ESTJ-A,Executive,"[68, 0, 90, 63, 74]"
18,ESTJ-A,Executive,"[67, 2, 79, 69, 88]"
19,ESTJ-A,Executive,"[67, 3, 88, 63, 75]"
20,ESTJ-A,Executive,"[72, 0, 78, 65, 79]"
21,ESTJ-A,Executive,"[68, 4, 83, 67, 68]"
22,ESTJ-A,Executive,"[68, 4, 89, 71, 79]"
23,ESTJ-A,Executive,"[68, 16, 79, 69, 65]"
24,ESTJ-A,Executive,"[57, 0, 85, 68, 81]"
25,ESTJ-A,Executive,"[58, 3, 75, 72, 78]"
26,ESTJ-A,Executive,"[63, 0, 82, 74, 72]"
27,ESTJ-A,Executive,"[75, 2, 82, 63, 78]"
28,ESTJ-A,Executive,"[72, 0, 76, 63, 69]"
29,ESTJ-A,Executive,"[76, 0, 83, 61, 75]"
30,ESTJ-A,Executive,"[61, 9, 81, 71, 74]"
31,ESTJ-A,Executive,"[72, 4, 82, 68, 75]"
32,ESTJ-A,Executive,"[57, 0, 88, 71, 79]"
33,ESTJ-A,Executive,"[74, 0, 88, 61, 79]"
34,ESTJ-A,Executive,"[68, 4, 85, 60, 75]"
35,ESTJ-A,Executive,"[72, 0, 79, 67, 69]"
36,ESTJ-A,Executive,"[67, 4, 86, 63, 74]"
37,ESTJ-A,Executive,"[67, 2, 79, 74, 79]"
38,ESTJ-A,Executive,"[72, 7, 85, 65, 76]"
39,ESTJ-A,Executive,"[69, 4, 82, 69, 83]"
40,ESTJ-A,Executive,"[63, 4, 78, 68, 75]"
41,ESTJ-A,Executive,"[58, 6, 81, 67, 78]"
42,ESTJ-A,Executive,"[67, 6, 74, 75, 76]"
43,ESTJ-A,Executive,"[71, 6, 82, 67, 81]"
44,ESTJ-A,Executive,"[72, 2, 81, 58, 92]"
45,ESTJ-A,Executive,"[65, 0, 82, 60, 74]"
46,ESTJ-A,Executive,"[67, 6, 78, 68, 76]"
47,ESTJ-A,Executive,"[67, 0, 88, 71, 82]"
48,ESTJ-A,Executive,"[61, 0, 85, 58, 76]"
49,ESTJ-A,Executive,"[60, 4, 75, 60, 79]"
50,ESTJ-A,Executive,"[68, 2, 85, 68, 72]"
51,ESTJ-A,Executive,"[68, 2, 79, 67, 76]"
52,ESTJ-A,Executive,"[68, 0, 82, 64, 74]"
53,ESTJ-A,Executive,"[68, 0, 82, 60, 74]"
54,ESTJ-A,Executive,"[74, 3, 88, 74, 71]"
55,ESTJ-A,Executive,"[61, 4, 76, 61, 79]"
56,ESTJ-A,Executive,"[72, 4, 83, 69, 74]"
57,ESTJ-A,Executive,"[68, 2, 81, 67, 81]"
58,ESTJ-A,Executive,"[68, 3, 81, 72, 74]"
59,ESTJ-A,Executive,"[63, 3, 86, 64, 74]"
60,ESTJ-A,Executive,"[72, 2, 83, 72, 68]"
61,ESTJ-A,Executive,"[61, 0, 82, 68, 74]"
62,ESTJ-A,Executive,"[63, 0, 82, 61, 79]"
63,ESTJ-A,Executive,"[65, 0, 83, 64, 78]"
64,ESTJ-A,Executive,"[58, 3, 81, 69, 76]"
65,ESTJ-A,Executive,"[68, 0, 82, 75, 82]"
66,ESTJ-A,Executive,"[60, 7, 86, 72, 76]"
67,ESTJ-A,Executive,"[63, 0, 82, 63, 71]"
68,ESTJ-A,Executive,"[65, 3, 72, 74, 79]"
69,ESTJ-A,Executive,"[74, 2, 78, 74, 68]"
70,ESTJ-A,Executive,"[60, 0, 72, 63, 86]"
71,ESTJ-A,Executive,"[68, 9, 82, 65, 81]"
72,ESTJ-A,Executive,"[67, 2, 85, 63, 78]"
73,ESTJ-A,Executive,"[69, 3, 85, 67, 79]"
74,ESTJ-A,Executive,"[72, 2, 89, 72, 75]"
75,ESTJ-A,Executive,"[72, 0, 86, 72, 74]"
76,ESTJ-A,Executive,"[68, 3, 81, 61, 75]"
77,ESTJ-A,Executive,"[65, 0, 79, 64, 85]"
78,ESTJ-A,Executive,"[58, 0, 81, 71, 74]"
79,ESTJ-A,Executive,"[75, 7, 89, 71, 78]"
80,ESTJ-A,Executive,"[64, 0, 90, 75, 71]"
81,ESTJ-A,Executive,"[64, 0, 76, 64, 76]"
82,ESTJ-A,Executive,"[68, 3, 88, 67, 69]"
83,ESTJ-A,Executive,"[71, 0, 86, 64, 76]"
84,ESTJ-A,Executive,"[61, 0, 82, 67, 82]"
85,ESTJ-A,Executive,"[63, 0, 88, 71, 76]"
86,ESTJ-A,Executive,"[68, 2, 79, 68, 75]"
87,ESTJ-A,Executive,"[75, 0, 83, 75, 75]"
88,ESTJ-A,Executive,"[69, 2, 78, 74, 72]"
89,ESTJ-A,Executive,"[57, 2, 89, 65, 68]"
90,ESTJ-A,Executive,"[63, 0, 74, 64, 79]"
91,ESTJ-A,Executive,"[63, 0, 81, 67, 71]"
92,ESTJ-A,Executive,"[68, 6, 85, 72, 79]"
93,ESTJ-A,Executive,"[65, 9, 85, 67, 75]"
94,ESTJ-A,Executive,"[63, 0, 82, 65, 81]"
95,ESTJ-A,Executive,"[67, 2, 89, 69, 78]"
