Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[83, 22, 51, 18, 72]"
2,ESFP-A,Entertainer,"[83, 34, 49, 28, 68]"
3,ESFP-A,Entertainer,"[85, 38, 42, 29, 71]"
4,ESFP-A,Entertainer,"[76, 39, 46, 17, 68]"
5,ESTP-A,Entrepreneur,"[83, 25, 53, 17, 67]"
6,ESFP-A,Entertainer,"[86, 31, 43, 22, 68]"
7,ESFP-A,Entertainer,"[85, 21, 44, 21, 69]"
8,ESTP-A,Entrepreneur,"[85, 21, 53, 14, 63]"
9,ESFP-A,Entertainer,"[83, 28, 49, 12, 67]"
10,ESTP-A,Entrepreneur,"[85, 34, 53, 15, 74]"
11,ESFP-A,Entertainer,"[76, 31, 43, 24, 72]"
12,ESFP-A,Entertainer,"[83, 32, 49, 21, 65]"
13,ESFP-A,Entertainer,"[85, 24, 46, 15, 75]"
14,ESFP-A,Entertainer,"[85, 36, 47, 12, 68]"
15,ESFP-A,Entertainer,"[83, 41, 47, 32, 65]"
16,ESTP-A,Entrepreneur,"[85, 36, 56, 28, 69]"
17,ESFP-A,Entertainer,"[75, 17, 46, 14, 69]"
18,ESFP-A,Entertainer,"[79, 45, 46, 17, 74]"
19,ESFP-A,Entertainer,"[85, 31, 49, 28, 71]"
20,ESFP-A,Entertainer,"[82, 36, 49, 17, 71]"
21,ESTP-A,Entrepreneur,"[85, 18, 54, 18, 72]"
22,ESFP-A,Entertainer,"[83, 36, 44, 19, 75]"
23,ESFP-A,Entertainer,"[83, 47, 43, 28, 65]"
24,ESFP-A,Entertainer,"[85, 29, 49, 18, 75]"
25,ESFP-A,Entertainer,"[82, 17, 49, 18, 69]"
26,ESFP-A,Entertainer,"[83, 27, 49, 12, 71]"
27,ESFP-A,Entertainer,"[82, 29, 49, 14, 74]"
28,ESFP-A,Entertainer,"[88, 27, 44, 22, 71]"
29,ESFP-A,Entertainer,"[83, 22, 47, 18, 74]"
30,ESFP-A,Entertainer,"[83, 17, 46, 21, 65]"
31,ESFP-A,Entertainer,"[75, 41, 47, 21, 71]"
32,ESTP-A,Entrepreneur,"[85, 36, 54, 14, 65]"
33,ESTP-A,Entrepreneur,"[82, 46, 53, 15, 68]"
34,ESTP-A,Entrepreneur,"[83, 24, 51, 22, 65]"
35,ESFP-A,Entertainer,"[82, 29, 49, 28, 75]"
36,ESFP-A,Entertainer,"[86, 35, 49, 25, 71]"
37,ESFP-A,Entertainer,"[85, 31, 42, 17, 75]"
38,ESFP-A,Entertainer,"[76, 31, 49, 22, 69]"
39,ESFP-A,Entertainer,"[82, 35, 46, 21, 58]"
40,ESTP-A,Entrepreneur,"[86, 35, 53, 21, 71]"
41,ESFP-A,Entertainer,"[86, 22, 47, 18, 72]"
42,ESFP-A,Entertainer,"[85, 35, 46, 11, 67]"
43,ESFP-A,Entertainer,"[86, 31, 47, 21, 68]"
44,ESTP-A,Entrepreneur,"[83, 24, 54, 10, 69]"
45,ESFP-A,Entertainer,"[85, 22, 49, 22, 67]"
46,ESFP-A,Entertainer,"[83, 21, 46, 10, 75]"
47,ESFP-A,Entertainer,"[83, 21, 49, 15, 68]"
48,ESFP-A,Entertainer,"[83, 34, 47, 22, 71]"
49,ESTP-A,Entrepreneur,"[85, 36, 58, 18, 68]"
50,ESFP-A,Entertainer,"[85, 36, 49, 26, 63]"
51,ESTP-A,Entrepreneur,"[86, 34, 54, 26, 64]"
52,ESFP-A,Entertainer,"[83, 31, 46, 6, 72]"
53,ESFP-A,Entertainer,"[83, 31, 49, 21, 67]"
54,ESFP-A,Entertainer,"[83, 25, 46, 17, 63]"
55,ESFP-A,Entertainer,"[82, 41, 49, 14, 65]"
56,ESFP-A,Entertainer,"[85, 28, 46, 22, 65]"
57,ESFP-A,Entertainer,"[85, 25, 46, 18, 64]"
58,ESFP-A,Entertainer,"[86, 46, 49, 18, 69]"
59,ESFP-A,Entertainer,"[83, 35, 46, 33, 69]"
60,ESTP-A,Entrepreneur,"[75, 42, 53, 24, 75]"
61,ESFP-A,Entertainer,"[83, 36, 49, 26, 68]"
62,ESFP-A,Entertainer,"[79, 29, 40, 17, 71]"
63,ESFP-A,Entertainer,"[82, 28, 46, 17, 69]"
64,ESTP-A,Entrepreneur,"[83, 22, 51, 6, 74]"
65,ENFP-A,Campaigner,"[85, 57, 47, 15, 67]"
66,ESTP-A,Entrepreneur,"[82, 25, 53, 12, 67]"
67,ESFP-A,Entertainer,"[86, 25, 46, 22, 74]"
68,ESTP-A,Entrepreneur,"[85, 27, 53, 17, 72]"
69,ESFP-A,Entertainer,"[78, 25, 49, 17, 74]"
70,ESFP-A,Entertainer,"[85, 32, 43, 25, 72]"
71,ESFP-A,Entertainer,"[85, 29, 49, 25, 74]"
72,ESFP-A,Entertainer,"[83, 32, 49, 22, 68]"
73,ESTP-A,Entrepreneur,"[85, 32, 51, 21, 75]"
74,ESTP-A,Entrepreneur,"[83, 32, 53, 17, 69]"
75,ESFP-A,Entertainer,"[83, 21, 49, 18, 69]"
76,ESTP-A,Entrepreneur,"[83, 42, 53, 19, 64]"
77,ESTP-A,Entrepreneur,"[83, 27, 51, 18, 76]"
78,ESFP-A,Entertainer,"[82, 42, 47, 19, 65]"
79,ESFP-A,Entertainer,"[85, 34, 49, 18, 69]"
80,ESFP-A,Entertainer,"[85, 46, 49, 12, 61]"
81,ESTP-A,Entrepreneur,"[85, 28, 51, 18, 60]"
82,ESTP-A,Entrepreneur,"[85, 24, 56, 19, 63]"
83,ESFP-A,Entertainer,"[85, 28, 49, 10, 76]"
84,ESFP-A,Entertainer,"[83, 22, 44, 25, 65]"
85,ESFP-A,Entertainer,"[86, 27, 49, 12, 64]"
86,ESFP-A,Entertainer,"[85, 31, 49, 18, 72]"
87,ESFP-A,Entertainer,"[83, 39, 47, 18, 64]"
88,ESFP-A,Entertainer,"[76, 36, 49, 25, 67]"
89,ESFP-A,Entertainer,"[76, 27, 49, 14, 68]"
90,ESFP-A,Entertainer,"[83, 42, 49, 12, 69]"
91,ESFP-A,Entertainer,"[85, 27, 49, 32, 68]"
92,ESFP-A,Entertainer,"[85, 28, 46, 15, 76]"
93,ESFP-A,Entertainer,"[85, 32, 49, 24, 72]"
94,ESFP-A,Entertainer,"[83, 32, 49, 18, 72]"
95,ESTP-A,Entrepreneur,"[82, 47, 60, 24, 63]"
96,ESTP-A,Entrepreneur,"[83, 25, 54, 22, 68]"
97,ESFP-A,Entertainer,"[86, 27, 47, 31, 74]"
98,ESFP-A,Entertainer,"[83, 17, 43, 12, 75]"
99,ESFP-A,Entertainer,"[86, 34, 46, 18, 61]"
100,ESFP-A,Entertainer,"[86, 29, 44, 12, 74]"
