Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[46, 36, 28, 18, 54]"
2,ISFP-A,Adventurer,"[43, 36, 24, 22, 51]"
3,ISFP-A,Adventurer,"[46, 39, 31, 25, 61]"
4,ISFP-A,Adventurer,"[46, 41, 29, 32, 57]"
5,ESFP-A,Entertainer,"[51, 34, 28, 24, 54]"
6,ISFP-A,Adventurer,"[42, 48, 26, 18, 61]"
7,ESFP-A,Entertainer,"[53, 36, 28, 28, 53]"
8,ISFP-A,Adventurer,"[44, 42, 25, 22, 53]"
9,ISFP-A,Adventurer,"[43, 42, 24, 33, 58]"
10,ISFP-A,Adventurer,"[39, 39, 29, 25, 54]"
11,ISFP-A,Adventurer,"[43, 41, 33, 19, 54]"
12,ISFP-A,Adventurer,"[35, 39, 29, 26, 56]"
13,ISFP-A,Adventurer,"[42, 31, 26, 15, 56]"
14,ISFP-A,Adventurer,"[42, 28, 25, 17, 56]"
15,ISFP-A,Adventurer,"[49, 45, 25, 14, 51]"
16,ISFP-A,Adventurer,"[40, 43, 26, 24, 56]"
17,ISFP-A,Adventurer,"[46, 36, 24, 26, 57]"
18,ISFP-A,Adventurer,"[49, 39, 33, 33, 56]"
19,ISFP-A,Adventurer,"[46, 36, 28, 17, 57]"
20,ISFP-T,Adventurer,"[43, 38, 28, 18, 49]"
21,ISFP-T,Adventurer,"[42, 42, 29, 29, 49]"
22,ISFP-T,Adventurer,"[49, 47, 26, 25, 49]"
23,ISFP-T,Adventurer,"[44, 39, 25, 14, 49]"
24,ISFP-T,Adventurer,"[47, 45, 29, 25, 44]"
25,INFP-A,Mediator,"[47, 51, 33, 32, 53]"
26,ISFP-A,Adventurer,"[42, 47, 28, 29, 57]"
27,ISFP-A,Adventurer,"[42, 42, 31, 22, 57]"
28,ISFP-A,Adventurer,"[42, 36, 31, 21, 57]"
29,ISFP-A,Adventurer,"[37, 43, 29, 36, 56]"
30,INFP-A,Mediator,"[43, 51, 32, 29, 56]"
31,ISFP-A,Adventurer,"[44, 43, 26, 18, 67]"
32,INFP-A,Mediator,"[44, 54, 25, 32, 51]"
33,ESFP-A,Entertainer,"[51, 34, 29, 26, 60]"
34,ISFP-A,Adventurer,"[46, 46, 25, 28, 57]"
35,ISFP-T,Adventurer,"[43, 41, 31, 29, 49]"
36,ISFP-A,Adventurer,"[46, 45, 25, 21, 53]"
37,ISFP-T,Adventurer,"[46, 38, 31, 28, 47]"
38,ISFP-A,Adventurer,"[46, 45, 28, 21, 56]"
39,ISFP-A,Adventurer,"[39, 42, 28, 25, 61]"
40,ISFP-A,Adventurer,"[46, 31, 28, 17, 58]"
41,ISFP-A,Adventurer,"[42, 35, 26, 29, 56]"
42,ISFP-A,Adventurer,"[44, 46, 31, 24, 54]"
43,ISFP-A,Adventurer,"[49, 41, 29, 31, 64]"
44,ISFP-A,Adventurer,"[42, 39, 32, 22, 57]"
45,ISFP-A,Adventurer,"[46, 41, 26, 29, 56]"
46,ISFP-A,Adventurer,"[43, 41, 26, 22, 64]"
47,ISFP-A,Adventurer,"[40, 36, 32, 32, 57]"
48,ISFP-A,Adventurer,"[42, 32, 28, 25, 60]"
49,ISFP-A,Adventurer,"[42, 45, 26, 24, 53]"
50,ISFP-A,Adventurer,"[47, 38, 32, 17, 51]"
51,INFP-A,Mediator,"[49, 51, 33, 24, 56]"
52,ISFP-A,Adventurer,"[40, 41, 35, 26, 51]"
53,ISFP-T,Adventurer,"[39, 46, 28, 10, 49]"
54,ISFP-A,Adventurer,"[49, 45, 25, 25, 54]"
55,ISFP-T,Adventurer,"[43, 34, 26, 29, 49]"
56,ISFP-A,Adventurer,"[42, 36, 28, 22, 58]"
57,ISFP-A,Adventurer,"[46, 42, 25, 26, 53]"
58,ISFP-A,Adventurer,"[43, 34, 25, 25, 57]"
59,ISFP-A,Adventurer,"[46, 47, 26, 19, 54]"
60,ISFP-A,Adventurer,"[40, 41, 29, 26, 53]"
61,ISFP-A,Adventurer,"[39, 32, 29, 28, 53]"
62,ISFP-A,Adventurer,"[43, 48, 26, 22, 60]"
63,ISFP-A,Adventurer,"[43, 31, 25, 22, 57]"
64,ISFP-T,Adventurer,"[49, 41, 24, 14, 49]"
65,ISFP-A,Adventurer,"[46, 38, 31, 26, 58]"
66,ISFP-A,Adventurer,"[39, 34, 26, 26, 56]"
67,ISFP-A,Adventurer,"[49, 36, 29, 33, 51]"
68,ISFP-T,Adventurer,"[46, 39, 29, 24, 49]"
69,ISFP-A,Adventurer,"[42, 39, 28, 35, 60]"
70,ISFP-A,Adventurer,"[42, 46, 29, 26, 53]"
71,ISFP-A,Adventurer,"[43, 43, 26, 26, 57]"
72,ISFP-T,Adventurer,"[47, 38, 28, 25, 49]"
73,ISFP-A,Adventurer,"[47, 48, 31, 36, 51]"
74,ISFP-A,Adventurer,"[43, 35, 26, 35, 56]"
75,ISFP-T,Adventurer,"[44, 41, 28, 31, 49]"
76,ESFP-T,Entertainer,"[51, 42, 26, 18, 49]"
77,ISFP-A,Adventurer,"[49, 48, 25, 24, 56]"
78,ISFP-A,Adventurer,"[36, 42, 25, 31, 61]"
79,ISFP-A,Adventurer,"[39, 35, 24, 26, 58]"
80,ISFP-A,Adventurer,"[43, 34, 31, 21, 57]"
81,ISFP-T,Adventurer,"[43, 43, 28, 29, 49]"
82,ISFP-A,Adventurer,"[37, 48, 35, 24, 61]"
83,ISFP-A,Adventurer,"[46, 41, 29, 17, 57]"
84,ISFP-A,Adventurer,"[43, 36, 25, 26, 54]"
85,ISFP-A,Adventurer,"[47, 43, 29, 25, 56]"
86,ISFP-A,Adventurer,"[39, 36, 28, 26, 57]"
87,ISFP-A,Adventurer,"[43, 41, 25, 18, 60]"
88,ISFP-A,Adventurer,"[49, 29, 26, 25, 63]"
89,INFP-A,Mediator,"[47, 51, 31, 24, 63]"
