Cycle,Code,Role,Values
1,INFP-A,Mediator,"[0, 54, 32, 10, 51]"
2,INFP-T,Mediator,"[3, 54, 31, 12, 44]"
3,ISFP-T,Adventurer,"[6, 48, 28, 15, 49]"
4,INFP-T,Mediator,"[3, 53, 32, 10, 47]"
5,INFP-A,Mediator,"[4, 56, 33, 11, 51]"
6,INFP-A,Mediator,"[0, 60, 31, 8, 53]"
7,INFP-A,Mediator,"[4, 54, 37, 7, 56]"
8,INFP-A,Mediator,"[4, 51, 31, 14, 57]"
9,INFP-A,Mediator,"[3, 57, 28, 11, 56]"
10,INFP-A,Mediator,"[10, 56, 29, 10, 56]"
11,INFP-T,Mediator,"[7, 51, 29, 8, 44]"
12,INFP-T,Mediator,"[7, 51, 26, 10, 47]"
13,INFP-A,Mediator,"[6, 57, 28, 3, 56]"
14,INFP-A,Mediator,"[0, 61, 29, 8, 53]"
15,INFP-T,Mediator,"[1, 52, 31, 7, 49]"
16,INFP-A,Mediator,"[1, 56, 28, 6, 53]"
17,INFP-A,Mediator,"[0, 52, 32, 12, 57]"
18,INFP-A,Mediator,"[3, 53, 29, 4, 56]"
19,INFP-T,Mediator,"[3, 60, 29, 10, 42]"
20,INFP-A,Mediator,"[0, 53, 28, 12, 54]"
21,ISFP-A,Adventurer,"[3, 47, 31, 8, 54]"
22,INFP-A,Mediator,"[3, 57, 32, 12, 53]"
23,INFP-A,Mediator,"[1, 53, 37, 8, 61]"
24,INFP-A,Mediator,"[3, 60, 33, 15, 60]"
25,INFP-T,Mediator,"[3, 56, 28, 3, 46]"
26,INFP-A,Mediator,"[0, 59, 32, 8, 68]"
27,INFP-T,Mediator,"[0, 64, 32, 12, 49]"
28,INFP-A,Mediator,"[0, 51, 32, 7, 57]"
29,INFP-A,Mediator,"[0, 63, 28, 4, 54]"
30,INFP-A,Mediator,"[8, 57, 28, 7, 58]"
31,INFP-T,Mediator,"[0, 60, 32, 1, 47]"
32,INFP-A,Mediator,"[0, 52, 26, 11, 61]"
33,INFP-T,Mediator,"[1, 59, 29, 6, 44]"
