Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[37, 43, 60, 12, 60]"
2,ISTP-A,Virtuoso,"[35, 41, 53, 14, 76]"
3,ISTP-A,Virtuoso,"[37, 36, 69, 18, 67]"
4,ISTP-A,Virtuoso,"[32, 38, 58, 15, 53]"
5,ISTP-A,Virtuoso,"[33, 36, 54, 17, 67]"
6,ISTP-A,Virtuoso,"[35, 41, 67, 8, 72]"
7,ISTP-A,Virtuoso,"[36, 41, 68, 14, 67]"
8,ISTP-A,Virtuoso,"[35, 38, 51, 17, 65]"
9,ISFP-A,Adventurer,"[42, 41, 49, 19, 67]"
10,ISTP-A,Virtuoso,"[29, 38, 68, 11, 67]"
11,ISTP-A,Virtuoso,"[42, 32, 51, 10, 69]"
12,ISTP-A,Virtuoso,"[28, 36, 58, 10, 68]"
13,ISTP-A,Virtuoso,"[35, 42, 61, 18, 72]"
14,ISTP-A,Virtuoso,"[39, 38, 60, 7, 71]"
15,ISTP-A,Virtuoso,"[35, 38, 67, 12, 64]"
16,ISTP-A,Virtuoso,"[37, 45, 58, 7, 68]"
17,ISTP-A,Virtuoso,"[32, 38, 61, 12, 74]"
18,ISTP-A,Virtuoso,"[26, 41, 74, 18, 67]"
19,ISTP-A,Virtuoso,"[26, 39, 58, 11, 69]"
20,ISTP-A,Virtuoso,"[35, 43, 60, 11, 67]"
21,ISTP-A,Virtuoso,"[31, 41, 67, 10, 74]"
22,INTP-A,Logician,"[28, 51, 65, 12, 74]"
23,ISTP-A,Virtuoso,"[26, 38, 60, 14, 69]"
24,ISTP-A,Virtuoso,"[33, 36, 56, 11, 71]"
25,ISTP-A,Virtuoso,"[36, 46, 51, 11, 81]"
26,ISTP-A,Virtuoso,"[35, 36, 57, 11, 69]"
27,ISTP-A,Virtuoso,"[33, 42, 72, 12, 64]"
28,ISTP-A,Virtuoso,"[32, 35, 61, 10, 75]"
29,ISTP-A,Virtuoso,"[40, 38, 67, 14, 78]"
30,ISTP-A,Virtuoso,"[31, 35, 65, 10, 54]"
31,ISTP-A,Virtuoso,"[36, 45, 57, 12, 65]"
32,ISTP-A,Virtuoso,"[36, 38, 68, 10, 56]"
33,ISTP-A,Virtuoso,"[31, 41, 71, 11, 64]"
34,ISTP-A,Virtuoso,"[33, 39, 63, 18, 68]"
35,ISTP-A,Virtuoso,"[35, 36, 61, 10, 67]"
36,ISTP-A,Virtuoso,"[35, 34, 63, 14, 74]"
37,ISTP-A,Virtuoso,"[32, 31, 61, 17, 71]"
38,ISTP-A,Virtuoso,"[31, 34, 53, 12, 74]"
39,ISTP-A,Virtuoso,"[40, 36, 63, 21, 74]"
40,ISTP-A,Virtuoso,"[31, 42, 68, 10, 67]"
41,ISTP-A,Virtuoso,"[35, 42, 64, 15, 60]"
42,ISTP-A,Virtuoso,"[32, 39, 61, 7, 57]"
43,ISTP-A,Virtuoso,"[32, 32, 69, 14, 67]"
44,ISTP-A,Virtuoso,"[35, 43, 69, 8, 68]"
45,ISTP-A,Virtuoso,"[29, 41, 67, 15, 72]"
46,ISTP-A,Virtuoso,"[26, 39, 64, 10, 65]"
47,ISTP-A,Virtuoso,"[32, 36, 54, 14, 71]"
48,ISTP-A,Virtuoso,"[31, 38, 63, 15, 64]"
49,ISTP-A,Virtuoso,"[36, 39, 68, 8, 60]"
50,ISTP-A,Virtuoso,"[26, 45, 63, 12, 78]"
51,ISTP-A,Virtuoso,"[37, 41, 60, 17, 56]"
52,ISTP-A,Virtuoso,"[24, 38, 60, 12, 71]"
53,ISTP-A,Virtuoso,"[40, 43, 68, 17, 65]"
54,ISTP-A,Virtuoso,"[35, 39, 63, 11, 76]"
55,ISTP-A,Virtuoso,"[29, 36, 64, 14, 79]"
56,ISTP-A,Virtuoso,"[36, 39, 69, 12, 68]"
57,ISTP-A,Virtuoso,"[28, 41, 58, 7, 65]"
58,ISTP-A,Virtuoso,"[37, 47, 64, 15, 67]"
59,ISTP-A,Virtuoso,"[40, 38, 57, 12, 63]"
60,ISTP-A,Virtuoso,"[28, 36, 51, 7, 69]"
61,ISTP-A,Virtuoso,"[29, 38, 64, 11, 72]"
62,ISTP-A,Virtuoso,"[29, 34, 65, 12, 68]"
63,ISTP-A,Virtuoso,"[35, 41, 64, 18, 68]"
64,ISTP-A,Virtuoso,"[31, 38, 61, 14, 67]"
65,ISTP-A,Virtuoso,"[33, 38, 61, 18, 60]"
66,ISTP-A,Virtuoso,"[33, 41, 57, 12, 65]"
67,ISTP-A,Virtuoso,"[35, 45, 67, 11, 72]"
68,ISTP-A,Virtuoso,"[33, 35, 54, 11, 79]"
69,ISTP-A,Virtuoso,"[36, 42, 56, 10, 75]"
70,ISTP-A,Virtuoso,"[35, 41, 61, 11, 68]"
71,ISTP-A,Virtuoso,"[37, 43, 56, 11, 75]"
72,ISTP-A,Virtuoso,"[28, 47, 54, 7, 67]"
73,ISTP-A,Virtuoso,"[33, 38, 65, 17, 60]"
74,ISTP-A,Virtuoso,"[33, 36, 64, 15, 60]"
75,ISTP-A,Virtuoso,"[33, 31, 65, 19, 69]"
76,ISTP-A,Virtuoso,"[29, 39, 57, 11, 68]"
77,ISTP-A,Virtuoso,"[36, 45, 60, 15, 74]"
78,ISTP-A,Virtuoso,"[28, 45, 69, 11, 60]"
79,ISTP-A,Virtuoso,"[31, 42, 65, 12, 69]"
80,ISTP-A,Virtuoso,"[36, 45, 61, 11, 65]"
81,ISTP-A,Virtuoso,"[39, 35, 60, 12, 72]"
82,ISTP-A,Virtuoso,"[25, 45, 68, 17, 63]"
83,ISTP-A,Virtuoso,"[35, 48, 51, 18, 68]"
84,ISTP-A,Virtuoso,"[35, 36, 53, 14, 78]"
85,ISTP-A,Virtuoso,"[37, 48, 60, 7, 69]"
86,ISTP-A,Virtuoso,"[36, 42, 58, 7, 71]"
87,ISTP-A,Virtuoso,"[28, 36, 58, 15, 68]"
88,ISFP-A,Adventurer,"[29, 35, 49, 12, 65]"
89,ISTP-A,Virtuoso,"[32, 38, 72, 11, 67]"
90,ISTP-A,Virtuoso,"[37, 35, 54, 12, 76]"
91,ISTP-A,Virtuoso,"[31, 36, 53, 8, 65]"
92,ISTP-A,Virtuoso,"[29, 39, 54, 12, 68]"
93,ISTP-A,Virtuoso,"[39, 41, 58, 11, 63]"
94,ISTP-A,Virtuoso,"[37, 45, 56, 7, 61]"
95,ISTP-A,Virtuoso,"[42, 41, 56, 17, 71]"
96,ISTP-A,Virtuoso,"[29, 45, 58, 10, 78]"
97,ISTP-A,Virtuoso,"[40, 42, 54, 12, 63]"
98,ISTP-A,Virtuoso,"[32, 38, 64, 11, 71]"
99,ISTP-A,Virtuoso,"[33, 45, 61, 12, 60]"
100,ISFP-A,Adventurer,"[36, 36, 47, 10, 78]"
