Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[7, 6, 86, 63, 82]"
2,ISTJ-A,Logistician,"[6, 10, 89, 54, 75]"
3,ISTJ-A,Logistician,"[7, 11, 92, 61, 90]"
4,ISTJ-A,Logistician,"[4, 14, 97, 57, 85]"
5,ISTJ-A,Logistician,"[15, 6, 89, 64, 83]"
6,ISTJ-A,Logistician,"[11, 4, 89, 65, 79]"
7,ISTJ-A,Logistician,"[10, 11, 93, 63, 82]"
8,ISTJ-A,Logistician,"[17, 16, 92, 61, 76]"
9,ISTJ-A,Logistician,"[6, 21, 93, 57, 82]"
10,ISTJ-A,Logistician,"[4, 14, 90, 65, 81]"
11,ISTJ-A,Logistician,"[8, 20, 92, 57, 79]"
12,ISTJ-A,Logistician,"[14, 0, 92, 57, 81]"
13,ISTJ-A,Logistician,"[11, 11, 86, 63, 89]"
14,ISTJ-A,Logistician,"[18, 17, 90, 67, 76]"
15,ISTJ-A,Logistician,"[7, 9, 92, 63, 85]"
16,ISTJ-A,Logistician,"[11, 7, 93, 60, 81]"
17,ISTJ-A,Logistician,"[12, 17, 88, 65, 79]"
18,ISTJ-A,Logistician,"[8, 16, 92, 65, 82]"
19,ISTJ-A,Logistician,"[15, 10, 93, 68, 79]"
20,ISTJ-A,Logistician,"[3, 13, 89, 61, 75]"
21,ISTJ-A,Logistician,"[22, 18, 97, 63, 85]"
22,ISTJ-A,Logistician,"[14, 17, 96, 69, 78]"
23,ISTJ-A,Logistician,"[10, 11, 94, 63, 85]"
24,ISTJ-A,Logistician,"[7, 13, 90, 67, 75]"
25,ISTJ-A,Logistician,"[8, 16, 92, 60, 78]"
26,ISTJ-A,Logistician,"[7, 18, 93, 68, 86]"
27,ISTJ-A,Logistician,"[14, 6, 93, 60, 85]"
28,ISTJ-A,Logistician,"[14, 16, 89, 58, 78]"
29,ISTJ-A,Logistician,"[14, 16, 94, 58, 71]"
30,ISTJ-A,Logistician,"[18, 4, 89, 65, 81]"
31,ISTJ-A,Logistician,"[10, 9, 85, 64, 85]"
32,ISTJ-A,Logistician,"[6, 14, 93, 58, 76]"
33,ISTJ-A,Logistician,"[11, 0, 92, 63, 76]"
34,ISTJ-A,Logistician,"[6, 18, 90, 60, 78]"
35,ISTJ-A,Logistician,"[6, 7, 89, 60, 75]"
36,ISTJ-A,Logistician,"[7, 7, 92, 60, 76]"
37,ISTJ-A,Logistician,"[17, 3, 88, 57, 79]"
38,ISTJ-A,Logistician,"[15, 9, 96, 57, 81]"
39,ISTJ-A,Logistician,"[4, 16, 89, 65, 81]"
40,ISTJ-A,Logistician,"[11, 7, 94, 63, 75]"
41,ISTJ-A,Logistician,"[11, 9, 85, 65, 86]"
42,ISTJ-A,Logistician,"[17, 18, 93, 57, 79]"
43,ISTJ-A,Logistician,"[14, 22, 86, 64, 79]"
44,ISTJ-A,Logistician,"[15, 17, 93, 58, 82]"
45,ISTJ-A,Logistician,"[11, 3, 86, 63, 78]"
46,ISTJ-A,Logistician,"[17, 3, 92, 68, 86]"
47,ISTJ-A,Logistician,"[22, 10, 88, 57, 76]"
48,ISTJ-A,Logistician,"[17, 14, 93, 64, 78]"
49,ISTJ-A,Logistician,"[10, 17, 96, 67, 79]"
50,ISTJ-A,Logistician,"[10, 16, 93, 60, 86]"
51,ISTJ-A,Logistician,"[15, 24, 99, 60, 78]"
52,ISTJ-A,Logistician,"[17, 20, 99, 63, 76]"
53,ISTJ-A,Logistician,"[10, 6, 93, 67, 76]"
54,ISTJ-A,Logistician,"[10, 14, 93, 67, 78]"
55,ISTJ-A,Logistician,"[11, 14, 89, 68, 83]"
56,ISTJ-A,Logistician,"[12, 0, 93, 58, 79]"
57,ISTJ-A,Logistician,"[8, 6, 93, 67, 82]"
58,ISTJ-A,Logistician,"[11, 11, 96, 61, 79]"
59,ISTJ-A,Logistician,"[11, 11, 92, 64, 74]"
60,ISTJ-A,Logistician,"[14, 14, 85, 60, 81]"
61,ISTJ-A,Logistician,"[14, 6, 92, 65, 81]"
62,ISTJ-A,Logistician,"[15, 16, 90, 57, 79]"
63,ISTJ-A,Logistician,"[7, 14, 99, 61, 83]"
64,ISTJ-A,Logistician,"[22, 16, 97, 57, 78]"
65,ISTJ-A,Logistician,"[14, 9, 93, 60, 78]"
66,ISTJ-A,Logistician,"[17, 7, 97, 67, 86]"
67,ISTJ-A,Logistician,"[15, 10, 86, 60, 82]"
68,ISTJ-A,Logistician,"[14, 3, 94, 67, 74]"
69,ISTJ-A,Logistician,"[12, 6, 90, 69, 75]"
70,ISTJ-A,Logistician,"[10, 22, 90, 67, 79]"
71,ISTJ-A,Logistician,"[11, 13, 93, 58, 76]"
72,ISTJ-A,Logistician,"[10, 9, 89, 64, 85]"
73,ISTJ-A,Logistician,"[8, 20, 90, 64, 79]"
74,ISTJ-A,Logistician,"[4, 10, 90, 53, 75]"
75,ISTJ-A,Logistician,"[12, 20, 86, 58, 75]"
76,ISTJ-A,Logistician,"[10, 4, 89, 57, 81]"
77,ISTJ-A,Logistician,"[12, 14, 86, 65, 83]"
78,ISTJ-A,Logistician,"[18, 7, 97, 61, 81]"
79,ISTJ-A,Logistician,"[14, 16, 92, 67, 88]"
80,ISTJ-A,Logistician,"[10, 11, 90, 69, 72]"
81,ISTJ-A,Logistician,"[11, 10, 94, 67, 74]"
82,ISTJ-A,Logistician,"[19, 18, 89, 67, 79]"
83,ISTJ-A,Logistician,"[19, 17, 90, 61, 79]"
84,ISTJ-A,Logistician,"[8, 11, 86, 64, 76]"
85,ISTJ-A,Logistician,"[12, 10, 94, 65, 81]"
86,ISTJ-A,Logistician,"[15, 13, 93, 58, 78]"
87,ISTJ-A,Logistician,"[0, 13, 88, 56, 82]"
88,ISTJ-A,Logistician,"[8, 9, 89, 58, 88]"
89,ISTJ-A,Logistician,"[24, 11, 96, 60, 78]"
90,ISTJ-A,Logistician,"[17, 14, 97, 57, 81]"
91,ISTJ-A,Logistician,"[8, 18, 96, 58, 86]"
92,ISTJ-A,Logistician,"[14, 17, 93, 61, 81]"
93,ISTJ-A,Logistician,"[17, 20, 94, 58, 78]"
94,ISTJ-A,Logistician,"[10, 17, 92, 67, 78]"
95,ISTJ-A,Logistician,"[17, 10, 90, 63, 72]"
96,ISTJ-A,Logistician,"[11, 13, 86, 61, 85]"
97,ISTJ-A,Logistician,"[10, 18, 90, 60, 71]"
98,ISTJ-A,Logistician,"[11, 11, 94, 64, 83]"
99,ISTJ-A,Logistician,"[18, 9, 93, 65, 86]"
100,ISTJ-A,Logistician,"[14, 14, 88, 67, 82]"
