Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[33, 28, 81, 56, 74]"
2,ISTJ-A,Logistician,"[21, 31, 81, 56, 68]"
3,ISTJ-A,Logistician,"[29, 29, 85, 56, 81]"
4,ISTJ-A,Logistician,"[26, 25, 75, 53, 69]"
5,ISTJ-A,Logistician,"[25, 28, 81, 53, 69]"
6,ISTJ-A,Logistician,"[32, 28, 82, 56, 86]"
7,ISTJ-A,Logistician,"[22, 25, 78, 61, 75]"
8,ISTJ-A,Logistician,"[33, 31, 82, 56, 72]"
9,ISTP-A,Virtuoso,"[22, 28, 75, 49, 78]"
10,ISTJ-A,Logistician,"[22, 25, 94, 61, 78]"
11,ISTP-A,Virtuoso,"[17, 31, 89, 49, 76]"
12,ISTJ-A,Logistician,"[17, 28, 89, 61, 78]"
13,ISTP-A,Virtuoso,"[22, 29, 89, 42, 75]"
14,ISTP-A,Virtuoso,"[24, 31, 83, 49, 76]"
15,ISTJ-A,Logistician,"[39, 22, 86, 56, 78]"
16,ISTJ-A,Logistician,"[26, 31, 86, 53, 69]"
17,ISTJ-A,Logistician,"[22, 25, 74, 56, 69]"
18,ISTJ-A,Logistician,"[14, 27, 89, 61, 81]"
19,ISTJ-A,Logistician,"[25, 25, 83, 53, 78]"
20,ISTP-A,Virtuoso,"[31, 28, 78, 49, 75]"
21,ISTP-A,Virtuoso,"[26, 22, 89, 47, 78]"
22,ISTP-A,Virtuoso,"[28, 25, 72, 49, 81]"
23,ISTP-A,Virtuoso,"[22, 32, 75, 49, 76]"
24,ISTJ-A,Logistician,"[11, 25, 74, 56, 78]"
25,ISTP-A,Virtuoso,"[25, 28, 86, 47, 72]"
26,ISTJ-A,Logistician,"[22, 28, 72, 53, 81]"
27,ISTJ-A,Logistician,"[28, 25, 89, 56, 74]"
28,ISTJ-A,Logistician,"[19, 28, 83, 53, 75]"
29,ISTJ-A,Logistician,"[36, 29, 78, 61, 75]"
30,ISTJ-A,Logistician,"[22, 25, 76, 56, 75]"
31,ISTJ-A,Logistician,"[22, 25, 75, 53, 74]"
32,ISTJ-A,Logistician,"[17, 28, 78, 56, 79]"
33,ISTJ-A,Logistician,"[19, 25, 92, 56, 75]"
34,ISTP-A,Virtuoso,"[21, 31, 75, 49, 69]"
35,ISTJ-A,Logistician,"[18, 25, 90, 56, 78]"
36,ISTJ-A,Logistician,"[17, 25, 78, 61, 76]"
37,ISTJ-A,Logistician,"[31, 31, 81, 53, 69]"
