Cycle,Code,Role,Values
1,ESTJ-A,Executive,"[67, 42, 86, 63, 76]"
2,ESTJ-A,Executive,"[60, 41, 82, 64, 74]"
3,ENTJ-A,Commander,"[57, 54, 89, 67, 78]"
4,ESTJ-A,Executive,"[60, 38, 86, 68, 78]"
5,ESTJ-A,Executive,"[64, 47, 89, 72, 72]"
6,ESTJ-A,Executive,"[64, 46, 89, 61, 75]"
7,ENTJ-A,Commander,"[67, 54, 81, 67, 74]"
8,ESTJ-A,Executive,"[64, 42, 86, 65, 74]"
9,ESTJ-A,Executive,"[57, 46, 83, 61, 78]"
10,ESTJ-A,Executive,"[65, 41, 79, 68, 81]"
11,ESTJ-A,Executive,"[61, 47, 88, 60, 75]"
12,ENTJ-A,Commander,"[64, 57, 85, 65, 72]"
13,ESTJ-A,Executive,"[61, 46, 82, 68, 72]"
14,ENTJ-A,Commander,"[58, 53, 83, 58, 76]"
15,ENTJ-A,Commander,"[67, 59, 89, 64, 72]"
16,ESTJ-A,Executive,"[67, 46, 83, 69, 78]"
17,ESTJ-A,Executive,"[71, 45, 88, 67, 75]"
18,ENTJ-A,Commander,"[67, 52, 88, 68, 76]"
19,ESTJ-A,Executive,"[61, 46, 85, 71, 81]"
20,ESTJ-A,Executive,"[68, 29, 85, 65, 74]"
21,ESTJ-A,Executive,"[68, 47, 81, 64, 69]"
22,ENTJ-A,Commander,"[71, 52, 89, 69, 83]"
23,ENTJ-A,Commander,"[68, 53, 83, 74, 75]"
24,ENTJ-A,Commander,"[60, 52, 76, 65, 79]"
25,ESTJ-A,Executive,"[58, 47, 96, 71, 67]"
26,ESTJ-A,Executive,"[65, 43, 86, 54, 81]"
27,ESTJ-A,Executive,"[60, 47, 85, 69, 75]"
28,ESTJ-A,Executive,"[58, 45, 93, 65, 68]"
29,ESTJ-A,Executive,"[65, 47, 83, 63, 75]"
30,ESTJ-A,Executive,"[56, 35, 81, 69, 74]"
31,ESTJ-A,Executive,"[64, 48, 83, 60, 72]"
32,ESTJ-A,Executive,"[67, 36, 88, 65, 67]"
33,ENTJ-A,Commander,"[72, 56, 89, 58, 76]"
34,ESTJ-A,Executive,"[61, 43, 89, 67, 81]"
35,ESTJ-A,Executive,"[56, 47, 81, 68, 72]"
36,ESTJ-A,Executive,"[63, 43, 82, 65, 74]"
37,ESTJ-A,Executive,"[56, 34, 90, 63, 74]"
38,ESTJ-A,Executive,"[65, 34, 82, 65, 78]"
39,ESTJ-A,Executive,"[64, 48, 89, 65, 82]"
40,ESTJ-A,Executive,"[71, 46, 89, 64, 76]"
41,ESTJ-A,Executive,"[68, 46, 81, 51, 72]"
42,ESTJ-A,Executive,"[60, 39, 85, 58, 75]"
43,ESTJ-A,Executive,"[65, 47, 76, 64, 72]"
44,ESTJ-A,Executive,"[74, 45, 92, 67, 65]"
45,ESTJ-A,Executive,"[60, 42, 89, 65, 78]"
46,ENTJ-A,Commander,"[63, 56, 81, 60, 69]"
47,ENTJ-A,Commander,"[61, 52, 79, 72, 81]"
48,ENTJ-A,Commander,"[67, 54, 86, 60, 65]"
49,ENTJ-A,Commander,"[68, 53, 85, 57, 72]"
50,ENTJ-A,Commander,"[71, 59, 78, 64, 78]"
51,ENTJ-A,Commander,"[64, 51, 81, 67, 71]"
