Cycle,Code,Role,Values
1,INFJ-T,Advocate,"[6, 64, 37, 63, 49]"
2,INFJ-A,Advocate,"[0, 52, 37, 58, 51]"
3,INFJ-T,Advocate,"[7, 54, 37, 60, 49]"
4,INFJ-T,Advocate,"[0, 53, 33, 60, 46]"
5,INFJ-A,Advocate,"[3, 60, 29, 72, 53]"
6,INFJ-A,Advocate,"[0, 52, 31, 61, 54]"
7,ISFJ-T,Defender,"[1, 41, 35, 57, 49]"
8,ISFP-T,Adventurer,"[6, 47, 35, 49, 49]"
9,INFJ-T,Advocate,"[6, 51, 35, 65, 42]"
10,ISFJ-T,Defender,"[3, 47, 33, 60, 46]"
11,INFJ-A,Advocate,"[0, 53, 32, 51, 53]"
12,ISFJ-T,Defender,"[17, 46, 33, 57, 49]"
13,INFJ-A,Advocate,"[7, 51, 40, 54, 56]"
14,ISFJ-A,Defender,"[6, 48, 37, 64, 57]"
15,INFP-T,Mediator,"[10, 52, 33, 47, 49]"
16,INFJ-A,Advocate,"[0, 54, 36, 54, 53]"
17,INFJ-A,Advocate,"[4, 52, 37, 64, 63]"
18,ISFJ-A,Defender,"[7, 48, 32, 54, 51]"
19,INFJ-T,Advocate,"[1, 53, 39, 64, 44]"
20,ISFJ-T,Defender,"[3, 48, 35, 56, 46]"
21,ISFJ-A,Defender,"[0, 42, 36, 53, 56]"
22,INFJ-T,Advocate,"[0, 56, 33, 60, 49]"
23,INFJ-T,Advocate,"[4, 53, 35, 65, 49]"
24,ISFJ-A,Defender,"[3, 48, 37, 56, 53]"
25,INFJ-A,Advocate,"[0, 56, 36, 63, 51]"
26,INFJ-A,Advocate,"[7, 51, 32, 56, 51]"
27,INFJ-T,Advocate,"[8, 56, 35, 63, 44]"
28,INFJ-T,Advocate,"[10, 51, 32, 64, 49]"
29,ISFJ-A,Defender,"[7, 46, 36, 60, 61]"
30,INFJ-T,Advocate,"[4, 52, 35, 58, 43]"
31,INFJ-T,Advocate,"[1, 59, 32, 57, 47]"
32,INFJ-A,Advocate,"[7, 56, 35, 63, 54]"
33,ISFJ-A,Defender,"[4, 48, 31, 72, 56]"
34,ISFJ-A,Defender,"[1, 42, 31, 58, 51]"
35,INFJ-A,Advocate,"[6, 53, 37, 63, 51]"
36,INFP-T,Mediator,"[0, 56, 39, 49, 49]"
37,INFJ-T,Advocate,"[3, 56, 36, 65, 49]"
38,INFP-A,Mediator,"[3, 54, 37, 46, 56]"
