Cycle,Code,Role,Values
1,ISFJ-A,Defender,"[0, 7, 36, 71, 63]"
2,ISFJ-A,Defender,"[0, 11, 35, 69, 63]"
3,ISFJ-A,Defender,"[3, 14, 33, 74, 61]"
4,ISFJ-A,Defender,"[0, 11, 40, 65, 54]"
5,ISFJ-A,Defender,"[0, 10, 37, 76, 60]"
6,ISFJ-A,Defender,"[1, 18, 36, 68, 58]"
7,ISFJ-A,Defender,"[0, 13, 36, 71, 60]"
8,ISFJ-A,Defender,"[6, 22, 36, 67, 51]"
9,ISFJ-A,Defender,"[1, 7, 40, 69, 56]"
10,ISFJ-A,Defender,"[0, 22, 35, 71, 51]"
11,ISFJ-A,Defender,"[0, 20, 37, 65, 57]"
12,ISFJ-A,Defender,"[0, 16, 39, 65, 65]"
13,ISFJ-A,Defender,"[1, 20, 43, 69, 63]"
14,ISFJ-A,Defender,"[1, 11, 40, 71, 60]"
15,ISFJ-A,Defender,"[0, 13, 37, 71, 63]"
16,ISFJ-A,Defender,"[0, 16, 31, 69, 61]"
17,ISFJ-A,Defender,"[0, 22, 44, 63, 54]"
18,ISFJ-A,Defender,"[6, 16, 42, 69, 54]"
19,ISFJ-A,Defender,"[0, 16, 37, 65, 63]"
20,ISFJ-A,Defender,"[0, 14, 32, 65, 54]"
21,ISFJ-A,Defender,"[1, 28, 36, 69, 69]"
22,ISFJ-A,Defender,"[0, 18, 42, 68, 53]"
23,ISFJ-A,Defender,"[0, 21, 39, 74, 60]"
24,ISFJ-A,Defender,"[0, 16, 32, 71, 61]"
25,ISFJ-A,Defender,"[1, 9, 39, 67, 60]"
26,ISFJ-A,Defender,"[0, 14, 31, 75, 68]"
27,ISFJ-A,Defender,"[3, 22, 46, 69, 63]"
28,ISFJ-A,Defender,"[0, 16, 36, 75, 60]"
29,ISFJ-A,Defender,"[0, 11, 43, 74, 58]"
30,ISFJ-A,Defender,"[0, 20, 40, 67, 64]"
31,ISFJ-A,Defender,"[3, 11, 36, 75, 56]"
32,ISFJ-A,Defender,"[4, 17, 37, 78, 57]"
33,ISFJ-A,Defender,"[0, 21, 35, 75, 61]"
34,ISFJ-A,Defender,"[1, 10, 42, 74, 61]"
35,ISFJ-A,Defender,"[0, 18, 40, 74, 63]"
36,ISFJ-A,Defender,"[0, 16, 43, 74, 53]"
37,ISFJ-A,Defender,"[0, 14, 44, 63, 64]"
38,ISFJ-A,Defender,"[6, 11, 37, 74, 61]"
39,ISFJ-A,Defender,"[0, 20, 35, 69, 64]"
40,ISFJ-A,Defender,"[0, 17, 37, 67, 58]"
41,ISFJ-A,Defender,"[0, 14, 36, 57, 63]"
42,ISFJ-A,Defender,"[0, 18, 33, 68, 64]"
43,ISFJ-A,Defender,"[0, 18, 37, 68, 69]"
44,ISFJ-A,Defender,"[0, 22, 33, 75, 63]"
45,ISFJ-A,Defender,"[0, 16, 42, 68, 58]"
46,ISFJ-A,Defender,"[0, 18, 33, 67, 64]"
47,ISFJ-A,Defender,"[6, 17, 37, 71, 68]"
48,ISFJ-A,Defender,"[1, 21, 43, 71, 57]"
49,ISFJ-A,Defender,"[0, 7, 43, 76, 58]"
50,ISFJ-A,Defender,"[0, 21, 37, 69, 54]"
51,ISFJ-A,Defender,"[0, 14, 37, 65, 68]"
52,ISFJ-A,Defender,"[0, 13, 40, 68, 65]"
53,ISFJ-A,Defender,"[0, 17, 37, 72, 60]"
54,ISFJ-A,Defender,"[0, 11, 37, 64, 60]"
55,ISFJ-A,Defender,"[0, 11, 43, 75, 61]"
56,ISFJ-A,Defender,"[0, 20, 39, 71, 67]"
57,ISFJ-A,Defender,"[6, 16, 40, 69, 63]"
58,ISFJ-A,Defender,"[0, 17, 42, 69, 65]"
59,ISFJ-A,Defender,"[0, 10, 40, 71, 64]"
60,ISFJ-A,Defender,"[1, 6, 31, 63, 65]"
61,ISFJ-A,Defender,"[0, 11, 33, 64, 56]"
62,ISFJ-A,Defender,"[0, 11, 42, 68, 61]"
63,ISFJ-A,Defender,"[0, 11, 36, 65, 60]"
64,ISFJ-A,Defender,"[3, 4, 40, 68, 58]"
65,ISFJ-A,Defender,"[0, 16, 36, 76, 61]"
66,ISFJ-A,Defender,"[0, 14, 37, 74, 63]"
67,ISFJ-A,Defender,"[4, 20, 40, 69, 57]"
68,ISFJ-A,Defender,"[0, 11, 37, 71, 58]"
69,ISFJ-A,Defender,"[7, 9, 37, 71, 64]"
70,ISFJ-A,Defender,"[0, 13, 33, 67, 57]"
71,ISFJ-A,Defender,"[0, 18, 39, 65, 51]"
72,ISFJ-A,Defender,"[1, 16, 40, 65, 63]"
73,ISFJ-A,Defender,"[0, 7, 33, 75, 65]"
74,ISFJ-A,Defender,"[1, 10, 33, 71, 54]"
75,ISFJ-A,Defender,"[0, 16, 42, 71, 71]"
76,ISFJ-A,Defender,"[6, 11, 40, 74, 64]"
