Cycle,Code,Role,Values
1,ESTJ-A,Executive,"[56, 35, 75, 61, 65]"
2,ESTJ-A,Executive,"[57, 38, 71, 57, 67]"
3,ESTJ-A,Executive,"[57, 22, 72, 61, 61]"
4,ESTJ-A,Executive,"[58, 28, 75, 61, 72]"
5,ESTJ-A,Executive,"[63, 31, 75, 71, 65]"
6,ESTP-A,Entrepreneur,"[53, 31, 71, 49, 67]"
7,ESTJ-A,Executive,"[57, 31, 72, 58, 61]"
8,ESTJ-A,Executive,"[54, 31, 74, 60, 60]"
9,ESTJ-A,Executive,"[68, 35, 74, 71, 60]"
10,ESTJ-A,Executive,"[65, 34, 72, 57, 65]"
11,ESTJ-A,Executive,"[60, 39, 74, 61, 61]"
12,ESTJ-A,Executive,"[60, 28, 75, 63, 63]"
13,ESTJ-A,Executive,"[58, 35, 76, 61, 61]"
14,ESTJ-A,Executive,"[58, 32, 71, 56, 58]"
15,ESTJ-A,Executive,"[61, 36, 72, 57, 65]"
16,ESTJ-A,Executive,"[60, 36, 76, 61, 65]"
17,ESTJ-A,Executive,"[61, 35, 74, 58, 61]"
18,ESTJ-A,Executive,"[54, 38, 67, 63, 61]"
19,ESTJ-A,Executive,"[54, 28, 68, 68, 69]"
20,ESTJ-A,Executive,"[57, 35, 76, 63, 58]"
21,ESTJ-A,Executive,"[63, 35, 72, 60, 64]"
22,ESTJ-A,Executive,"[53, 39, 78, 64, 69]"
23,ESTJ-A,Executive,"[60, 31, 74, 63, 64]"
24,ESTJ-A,Executive,"[58, 24, 74, 63, 65]"
25,ESTJ-A,Executive,"[53, 36, 76, 69, 71]"
26,ESTJ-A,Executive,"[56, 29, 81, 63, 67]"
27,ESTJ-A,Executive,"[57, 35, 72, 60, 64]"
28,ESTJ-A,Executive,"[60, 32, 74, 57, 72]"
29,ESTJ-A,Executive,"[56, 32, 74, 53, 64]"
30,ESTJ-A,Executive,"[63, 35, 72, 63, 63]"
31,ESTJ-A,Executive,"[60, 27, 69, 57, 60]"
32,ESTJ-A,Executive,"[61, 34, 76, 56, 64]"
33,ESTJ-A,Executive,"[56, 34, 79, 57, 67]"
34,ESTJ-A,Executive,"[57, 28, 74, 65, 63]"
35,ESTJ-A,Executive,"[61, 36, 81, 58, 65]"
