Cycle,Code,Role,Values
1,INFJ-A,Advocate,"[10, 51, 25, 64, 58]"
2,ISFJ-A,Defender,"[4, 45, 28, 63, 56]"
3,INFJ-A,Advocate,"[8, 51, 32, 58, 58]"
4,ISFJ-A,Defender,"[1, 42, 29, 56, 56]"
5,ISFJ-A,Defender,"[1, 43, 29, 68, 63]"
6,ISFJ-A,Defender,"[7, 43, 21, 61, 60]"
7,INFJ-A,Advocate,"[6, 52, 19, 51, 61]"
8,INFJ-A,Advocate,"[0, 52, 28, 58, 58]"
9,ISFJ-A,Defender,"[4, 43, 24, 65, 63]"
10,ISFJ-A,Defender,"[3, 42, 25, 64, 60]"
11,INFJ-A,Advocate,"[7, 52, 32, 61, 64]"
12,ISFJ-A,Defender,"[4, 46, 26, 64, 64]"
13,ISFJ-A,Defender,"[1, 39, 24, 57, 58]"
14,ISFJ-A,Defender,"[11, 47, 26, 54, 61]"
15,ISFJ-A,Defender,"[14, 43, 29, 63, 67]"
16,ISFJ-A,Defender,"[12, 45, 25, 63, 64]"
17,ISFJ-A,Defender,"[6, 46, 29, 56, 58]"
18,ISFJ-A,Defender,"[7, 47, 29, 65, 60]"
19,ISFJ-A,Defender,"[6, 45, 29, 69, 54]"
20,INFJ-A,Advocate,"[8, 51, 32, 65, 65]"
21,ISFJ-A,Defender,"[10, 45, 22, 60, 57]"
22,INFJ-A,Advocate,"[3, 54, 25, 63, 68]"
23,ISFJ-A,Defender,"[0, 43, 29, 67, 57]"
24,ISFJ-A,Defender,"[8, 46, 24, 57, 61]"
25,ISFJ-A,Defender,"[8, 45, 29, 53, 51]"
26,ISFJ-T,Defender,"[11, 48, 24, 53, 47]"
27,ISFJ-A,Defender,"[10, 41, 22, 61, 54]"
28,ISFJ-A,Defender,"[6, 43, 25, 57, 54]"
29,ISFJ-A,Defender,"[1, 46, 26, 61, 57]"
30,ISFJ-A,Defender,"[8, 46, 31, 64, 51]"
31,ISFJ-A,Defender,"[1, 43, 28, 60, 68]"
32,ISFJ-A,Defender,"[6, 41, 28, 57, 60]"
33,ISFJ-A,Defender,"[4, 47, 24, 63, 58]"
34,ISFP-T,Adventurer,"[8, 48, 32, 49, 49]"
35,ISFJ-A,Defender,"[6, 41, 28, 63, 54]"
36,ISFJ-A,Defender,"[8, 42, 22, 64, 60]"
37,ISFJ-A,Defender,"[6, 47, 26, 65, 58]"
38,ISFJ-A,Defender,"[12, 45, 26, 53, 54]"
39,ISFJ-A,Defender,"[4, 46, 29, 63, 61]"
40,INFJ-A,Advocate,"[11, 52, 25, 67, 53]"
41,ISFJ-T,Defender,"[4, 41, 28, 61, 47]"
42,INFP-A,Mediator,"[8, 51, 31, 49, 53]"
43,INFJ-A,Advocate,"[8, 52, 28, 64, 63]"
44,INFJ-A,Advocate,"[7, 57, 24, 71, 64]"
45,ISFJ-A,Defender,"[14, 47, 22, 71, 56]"
46,ISFJ-A,Defender,"[11, 46, 26, 54, 53]"
47,INFJ-A,Advocate,"[12, 52, 28, 51, 51]"
48,ISFJ-A,Defender,"[10, 41, 28, 65, 53]"
49,INFJ-A,Advocate,"[4, 54, 19, 63, 53]"
50,ISFJ-A,Defender,"[7, 45, 28, 68, 68]"
51,ISFJ-T,Defender,"[6, 43, 21, 58, 46]"
52,ISFJ-A,Defender,"[6, 45, 26, 58, 60]"
53,ISFJ-A,Defender,"[4, 45, 29, 63, 61]"
54,ISFJ-A,Defender,"[4, 46, 18, 61, 57]"
55,ISFJ-A,Defender,"[6, 45, 26, 61, 69]"
56,ISFJ-T,Defender,"[6, 46, 24, 61, 49]"
57,ISFJ-A,Defender,"[7, 46, 26, 56, 56]"
58,ISFJ-A,Defender,"[3, 43, 22, 58, 61]"
59,ISFJ-A,Defender,"[0, 41, 28, 67, 51]"
