Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[6, 48, 74, 60, 71]"
2,ISTJ-A,Logistician,"[3, 42, 71, 61, 64]"
3,ISTJ-A,Logistician,"[1, 43, 76, 63, 74]"
4,ISTJ-A,Logistician,"[6, 41, 75, 64, 65]"
5,ISTJ-A,Logistician,"[0, 42, 72, 64, 65]"
6,ISTJ-A,Logistician,"[4, 48, 71, 61, 65]"
7,ISTJ-A,Logistician,"[1, 43, 74, 71, 56]"
8,ISTJ-A,Logistician,"[3, 42, 75, 65, 67]"
9,ISTJ-A,Logistician,"[1, 45, 76, 65, 64]"
10,ISTJ-A,Logistician,"[4, 48, 74, 60, 67]"
11,ISTJ-A,Logistician,"[3, 48, 75, 58, 68]"
12,ISTJ-A,Logistician,"[8, 43, 75, 56, 65]"
13,ISTJ-A,Logistician,"[0, 43, 75, 69, 67]"
14,ISTJ-A,Logistician,"[6, 48, 75, 60, 60]"
15,ISTJ-A,Logistician,"[1, 41, 75, 65, 65]"
16,INTJ-A,Architect,"[6, 51, 71, 64, 65]"
17,ISTJ-A,Logistician,"[4, 43, 71, 64, 64]"
18,ISTJ-A,Logistician,"[0, 47, 72, 65, 65]"
19,ISTJ-A,Logistician,"[6, 42, 72, 65, 64]"
20,ISTJ-A,Logistician,"[8, 43, 74, 61, 58]"
21,ISTJ-A,Logistician,"[1, 43, 75, 60, 65]"
22,ISTJ-A,Logistician,"[8, 41, 72, 67, 68]"
23,ISTJ-A,Logistician,"[6, 38, 74, 68, 74]"
24,ISTJ-A,Logistician,"[0, 39, 71, 65, 65]"
25,ISTJ-A,Logistician,"[11, 34, 71, 68, 68]"
26,ISTJ-A,Logistician,"[6, 45, 71, 57, 71]"
27,ISTJ-A,Logistician,"[7, 42, 71, 72, 64]"
28,ISTJ-A,Logistician,"[8, 46, 74, 56, 69]"
29,ISTJ-A,Logistician,"[6, 41, 67, 71, 68]"
30,ISTJ-A,Logistician,"[6, 36, 71, 53, 60]"
31,ISTJ-A,Logistician,"[11, 47, 74, 53, 61]"
32,ISTJ-A,Logistician,"[1, 46, 76, 61, 71]"
33,ISTJ-A,Logistician,"[6, 38, 74, 63, 72]"
34,ISTJ-A,Logistician,"[1, 46, 71, 69, 65]"
35,ISTJ-A,Logistician,"[6, 41, 72, 56, 63]"
36,ISTJ-A,Logistician,"[7, 46, 76, 67, 67]"
37,ISTJ-A,Logistician,"[1, 41, 75, 58, 65]"
38,ISTJ-A,Logistician,"[3, 43, 76, 61, 71]"
39,ISTJ-A,Logistician,"[0, 36, 76, 57, 67]"
40,ISTJ-A,Logistician,"[0, 46, 74, 64, 67]"
41,ISTJ-A,Logistician,"[6, 45, 69, 64, 57]"
42,ISTJ-A,Logistician,"[0, 42, 72, 60, 65]"
43,ISTJ-A,Logistician,"[1, 45, 75, 64, 69]"
44,ISTJ-A,Logistician,"[0, 35, 76, 68, 69]"
45,ISTJ-A,Logistician,"[3, 46, 75, 64, 64]"
46,ISTJ-A,Logistician,"[1, 41, 76, 63, 64]"
47,ISTJ-A,Logistician,"[1, 43, 72, 64, 67]"
48,ISTJ-A,Logistician,"[3, 43, 71, 63, 63]"
49,ISTJ-A,Logistician,"[6, 42, 71, 60, 65]"
50,ISTJ-A,Logistician,"[4, 43, 74, 68, 74]"
51,ISTJ-A,Logistician,"[10, 42, 72, 67, 69]"
52,ISTJ-A,Logistician,"[0, 43, 72, 69, 63]"
53,INTJ-A,Architect,"[1, 51, 71, 63, 65]"
