Cycle,Code,Role,Values
1,ESFJ-A,Consul,"[64, 41, 37, 57, 65]"
2,ESFJ-A,Consul,"[64, 43, 40, 63, 63]"
3,ESFJ-A,Consul,"[57, 45, 39, 57, 65]"
4,ESFJ-A,Consul,"[63, 47, 39, 56, 65]"
5,ESFJ-A,Consul,"[60, 46, 37, 54, 63]"
6,ENFJ-A,Protagonist,"[56, 51, 36, 56, 72]"
7,ESFJ-A,Consul,"[58, 36, 37, 57, 65]"
8,ESFP-A,Entertainer,"[61, 35, 37, 47, 63]"
9,ESFJ-A,Consul,"[65, 42, 40, 57, 61]"
10,ESFJ-A,Consul,"[61, 32, 33, 56, 68]"
11,ESFJ-A,Consul,"[61, 38, 37, 56, 64]"
12,ESFJ-A,Consul,"[57, 31, 39, 53, 67]"
13,ESFJ-A,Consul,"[58, 36, 40, 53, 71]"
14,ESFJ-A,Consul,"[64, 34, 37, 54, 67]"
15,ESFJ-A,Consul,"[54, 36, 39, 58, 67]"
16,ESFJ-A,Consul,"[63, 46, 36, 51, 67]"
17,ESFP-A,Entertainer,"[61, 36, 40, 46, 60]"
18,ESFJ-A,Consul,"[53, 43, 39, 57, 68]"
19,ESFJ-A,Consul,"[61, 46, 42, 51, 58]"
20,ESFJ-A,Consul,"[58, 41, 42, 54, 64]"
21,ESFJ-A,Consul,"[60, 32, 36, 56, 61]"
22,ESFJ-A,Consul,"[64, 43, 37, 51, 64]"
23,ESFJ-A,Consul,"[60, 46, 36, 57, 61]"
24,ESFJ-A,Consul,"[58, 42, 42, 56, 69]"
25,ESFJ-A,Consul,"[58, 42, 36, 56, 65]"
26,ESFJ-A,Consul,"[53, 41, 36, 56, 64]"
27,ESFJ-A,Consul,"[68, 41, 40, 56, 67]"
28,ESFJ-A,Consul,"[64, 43, 36, 58, 61]"
29,ESFP-A,Entertainer,"[60, 36, 36, 49, 65]"
30,ESFJ-A,Consul,"[63, 47, 36, 51, 65]"
31,ESFP-A,Entertainer,"[67, 39, 43, 49, 58]"
32,ESFJ-A,Consul,"[61, 41, 39, 56, 64]"
33,ESFJ-A,Consul,"[64, 39, 36, 51, 64]"
34,ESFJ-A,Consul,"[63, 36, 42, 51, 68]"
35,ESFJ-A,Consul,"[64, 46, 32, 58, 61]"
36,ESFJ-A,Consul,"[57, 34, 39, 51, 65]"
37,ESFJ-A,Consul,"[61, 41, 39, 58, 60]"
38,ESFJ-A,Consul,"[57, 36, 39, 61, 60]"
39,ESFJ-A,Consul,"[58, 46, 39, 51, 67]"
40,ESFJ-A,Consul,"[61, 48, 39, 57, 65]"
41,ESFJ-A,Consul,"[56, 36, 39, 54, 61]"
42,ESFJ-A,Consul,"[63, 38, 36, 57, 63]"
43,ESFP-A,Entertainer,"[56, 46, 40, 49, 57]"
