Cycle,Code,Role,Values
1,ESFP-A,Entertainer,"[75, 39, 37, 15, 64]"
2,ESFP-A,Entertainer,"[78, 43, 42, 12, 68]"
3,ESFP-A,Entertainer,"[78, 41, 37, 14, 72]"
4,ESFP-A,Entertainer,"[75, 34, 39, 12, 71]"
5,ESFP-A,Entertainer,"[71, 42, 37, 14, 71]"
6,ESFP-A,Entertainer,"[76, 39, 37, 15, 71]"
7,ESFP-A,Entertainer,"[72, 36, 36, 14, 72]"
8,ESFP-A,Entertainer,"[74, 41, 37, 11, 76]"
9,ESFP-A,Entertainer,"[79, 36, 39, 11, 68]"
10,ESFP-A,Entertainer,"[72, 39, 31, 15, 69]"
11,ESFP-A,Entertainer,"[79, 36, 36, 14, 67]"
12,ESFP-A,Entertainer,"[74, 34, 35, 11, 69]"
13,ESFP-A,Entertainer,"[78, 35, 42, 15, 69]"
14,ESFP-A,Entertainer,"[75, 36, 40, 11, 69]"
15,ESFP-A,Entertainer,"[75, 34, 36, 15, 68]"
16,ESFP-A,Entertainer,"[72, 38, 36, 17, 68]"
17,ESFP-A,Entertainer,"[71, 39, 40, 14, 72]"
18,ESFP-A,Entertainer,"[67, 41, 35, 12, 67]"
19,ESFP-A,Entertainer,"[75, 41, 37, 18, 67]"
20,ESFP-A,Entertainer,"[71, 39, 42, 17, 72]"
21,ESFP-A,Entertainer,"[68, 39, 40, 14, 71]"
22,ESFP-A,Entertainer,"[75, 43, 37, 12, 68]"
23,ESFP-A,Entertainer,"[69, 39, 36, 15, 69]"
24,ESFP-A,Entertainer,"[69, 31, 37, 17, 71]"
25,ESFP-A,Entertainer,"[65, 41, 40, 17, 75]"
26,ESFP-A,Entertainer,"[65, 38, 42, 12, 68]"
27,ESFP-A,Entertainer,"[67, 38, 43, 17, 74]"
28,ESFP-A,Entertainer,"[78, 43, 37, 14, 69]"
29,ESFP-A,Entertainer,"[72, 36, 39, 11, 65]"
30,ESFP-A,Entertainer,"[72, 36, 40, 14, 69]"
31,ESFP-A,Entertainer,"[71, 38, 37, 11, 67]"
32,ESFP-A,Entertainer,"[76, 39, 35, 11, 69]"
33,ESFP-A,Entertainer,"[74, 34, 39, 12, 71]"
34,ESFP-A,Entertainer,"[75, 45, 42, 14, 67]"
35,ESFP-A,Entertainer,"[76, 38, 36, 15, 68]"
36,ESFP-A,Entertainer,"[71, 39, 36, 14, 71]"
37,ESFP-A,Entertainer,"[76, 42, 36, 12, 71]"
38,ESFP-A,Entertainer,"[75, 38, 37, 15, 72]"
39,ESFP-A,Entertainer,"[64, 42, 35, 15, 71]"
40,ESFP-A,Entertainer,"[74, 43, 39, 14, 67]"
41,ESFP-A,Entertainer,"[71, 36, 37, 12, 63]"
42,ESFP-A,Entertainer,"[67, 39, 39, 15, 71]"
43,ESFP-A,Entertainer,"[72, 43, 40, 18, 71]"
44,ESFP-A,Entertainer,"[72, 42, 36, 17, 68]"
45,ESFP-A,Entertainer,"[68, 41, 37, 14, 68]"
46,ESFP-A,Entertainer,"[75, 39, 37, 12, 74]"
47,ESFP-A,Entertainer,"[74, 38, 43, 17, 69]"
48,ESFP-A,Entertainer,"[75, 42, 39, 15, 69]"
49,ESFP-A,Entertainer,"[69, 38, 37, 12, 67]"
50,ESFP-A,Entertainer,"[74, 36, 39, 11, 67]"
51,ESFP-A,Entertainer,"[76, 42, 40, 17, 64]"
52,ESFP-A,Entertainer,"[65, 39, 37, 14, 67]"
53,ESFP-A,Entertainer,"[76, 39, 37, 11, 71]"
54,ESFP-A,Entertainer,"[78, 43, 36, 17, 69]"
55,ESFP-A,Entertainer,"[78, 31, 44, 15, 67]"
56,ESFP-A,Entertainer,"[76, 39, 32, 8, 69]"
57,ESFP-A,Entertainer,"[76, 38, 37, 11, 69]"
58,ESFP-A,Entertainer,"[72, 41, 36, 14, 68]"
59,ESFP-A,Entertainer,"[76, 42, 37, 17, 69]"
60,ESFP-A,Entertainer,"[67, 38, 35, 15, 67]"
61,ESFP-A,Entertainer,"[74, 38, 39, 11, 69]"
62,ESFP-A,Entertainer,"[71, 43, 35, 12, 68]"
63,ESFP-A,Entertainer,"[71, 42, 40, 17, 69]"
64,ESFP-A,Entertainer,"[72, 45, 37, 14, 67]"
65,ESFP-A,Entertainer,"[75, 42, 42, 12, 68]"
66,ESFP-A,Entertainer,"[74, 39, 40, 14, 69]"
67,ESFP-A,Entertainer,"[78, 35, 42, 15, 69]"
68,ESFP-A,Entertainer,"[68, 42, 42, 14, 71]"
69,ESFP-A,Entertainer,"[75, 35, 39, 17, 65]"
70,ESFP-A,Entertainer,"[71, 45, 37, 14, 69]"
71,ESFP-A,Entertainer,"[76, 39, 35, 11, 74]"
72,ESFP-A,Entertainer,"[71, 34, 35, 10, 65]"
73,ESFP-A,Entertainer,"[71, 43, 37, 15, 74]"
74,ESFP-A,Entertainer,"[65, 45, 39, 12, 68]"
75,ESFP-A,Entertainer,"[75, 46, 37, 15, 74]"
76,ESFP-A,Entertainer,"[67, 43, 37, 15, 72]"
77,ESFP-A,Entertainer,"[74, 34, 37, 17, 69]"
78,ESFP-A,Entertainer,"[71, 36, 39, 10, 68]"
79,ESFP-A,Entertainer,"[74, 35, 36, 15, 67]"
80,ESFP-A,Entertainer,"[76, 41, 39, 12, 69]"
81,ESFP-A,Entertainer,"[78, 38, 37, 14, 72]"
82,ESFP-A,Entertainer,"[64, 36, 42, 15, 68]"
83,ESFP-A,Entertainer,"[69, 35, 36, 15, 71]"
84,ESFP-A,Entertainer,"[71, 43, 33, 14, 74]"
85,ESFP-A,Entertainer,"[75, 32, 37, 12, 72]"
86,ESFP-A,Entertainer,"[74, 36, 40, 15, 67]"
87,ESFP-A,Entertainer,"[76, 39, 42, 14, 72]"
88,ESFP-A,Entertainer,"[71, 38, 43, 15, 71]"
89,ESFP-A,Entertainer,"[72, 45, 37, 15, 67]"
90,ESFP-A,Entertainer,"[75, 38, 46, 15, 68]"
91,ESFP-A,Entertainer,"[75, 38, 37, 15, 71]"
92,ESFP-A,Entertainer,"[72, 42, 33, 11, 71]"
93,ESFP-A,Entertainer,"[68, 34, 36, 14, 75]"
94,ESFP-A,Entertainer,"[78, 41, 35, 11, 75]"
95,ESFP-A,Entertainer,"[72, 45, 36, 14, 64]"
96,ESFP-A,Entertainer,"[75, 39, 37, 14, 72]"
97,ESFP-A,Entertainer,"[75, 43, 40, 14, 65]"
98,ESFP-A,Entertainer,"[75, 36, 36, 14, 72]"
99,ESFP-A,Entertainer,"[74, 38, 37, 17, 68]"
100,ESFP-A,Entertainer,"[79, 48, 39, 12, 68]"
