Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[71, 48, 81, 21, 82]"
2,ENTP-A,Debater,"[63, 60, 83, 18, 75]"
3,ESTP-A,Entrepreneur,"[69, 43, 81, 15, 78]"
4,ESTP-A,Entrepreneur,"[72, 46, 83, 17, 75]"
5,ENTP-A,Debater,"[69, 57, 85, 19, 69]"
6,ENTP-A,Debater,"[71, 56, 83, 14, 72]"
7,ESTP-A,Entrepreneur,"[71, 47, 81, 15, 78]"
8,ESTP-A,Entrepreneur,"[71, 48, 86, 18, 76]"
9,ESTP-A,Entrepreneur,"[68, 47, 79, 17, 74]"
10,ENTP-A,Debater,"[68, 51, 82, 19, 75]"
11,ESTP-A,Entrepreneur,"[69, 42, 81, 19, 72]"
12,ENTP-A,Debater,"[74, 52, 86, 18, 72]"
13,ENTP-A,Debater,"[75, 57, 82, 22, 76]"
14,ESTP-A,Entrepreneur,"[71, 47, 81, 19, 74]"
15,ESTP-A,Entrepreneur,"[72, 46, 82, 15, 71]"
16,ENTP-A,Debater,"[74, 52, 83, 18, 72]"
17,ENTP-A,Debater,"[71, 56, 83, 17, 79]"
18,ENTP-A,Debater,"[69, 60, 81, 17, 78]"
19,ESTP-A,Entrepreneur,"[74, 46, 88, 17, 74]"
20,ENTP-A,Debater,"[69, 51, 85, 22, 72]"
21,ENTP-A,Debater,"[71, 52, 82, 17, 78]"
22,ENTP-A,Debater,"[71, 53, 81, 21, 75]"
23,ENTP-A,Debater,"[76, 53, 83, 17, 74]"
24,ENTP-A,Debater,"[72, 54, 86, 21, 69]"
25,ENTP-A,Debater,"[68, 52, 89, 15, 75]"
26,ENTP-A,Debater,"[67, 51, 83, 19, 72]"
27,ESTP-A,Entrepreneur,"[71, 46, 79, 18, 75]"
28,ENTP-A,Debater,"[71, 53, 85, 14, 69]"
29,ENTP-A,Debater,"[71, 52, 85, 19, 82]"
30,ENTP-A,Debater,"[74, 56, 82, 17, 72]"
31,ENTP-A,Debater,"[65, 51, 82, 17, 69]"
32,ESTP-A,Entrepreneur,"[74, 43, 85, 21, 79]"
33,ESTP-A,Entrepreneur,"[74, 45, 81, 21, 76]"
34,ENTP-A,Debater,"[75, 53, 82, 14, 71]"
35,ESTP-A,Entrepreneur,"[72, 48, 86, 18, 74]"
36,ESTP-A,Entrepreneur,"[76, 46, 83, 15, 75]"
37,ESTP-A,Entrepreneur,"[72, 48, 81, 12, 68]"
38,ESTP-A,Entrepreneur,"[72, 48, 83, 17, 75]"
39,ESTP-A,Entrepreneur,"[68, 48, 82, 24, 72]"
40,ENTP-A,Debater,"[74, 51, 81, 21, 76]"
41,ESTP-A,Entrepreneur,"[67, 47, 83, 19, 74]"
42,ENTP-A,Debater,"[68, 51, 82, 18, 69]"
43,ENTP-A,Debater,"[69, 51, 82, 22, 74]"
44,ENTP-A,Debater,"[72, 59, 82, 22, 69]"
45,ENTP-A,Debater,"[74, 52, 85, 15, 76]"
46,ENTP-A,Debater,"[72, 51, 82, 15, 82]"
47,ENTP-A,Debater,"[68, 56, 85, 19, 72]"
48,ESTP-A,Entrepreneur,"[69, 47, 86, 18, 76]"
49,ENTP-A,Debater,"[68, 51, 81, 15, 74]"
50,ENTP-A,Debater,"[74, 54, 83, 21, 72]"
51,ENTP-A,Debater,"[68, 51, 83, 18, 78]"
52,ENTP-A,Debater,"[72, 53, 76, 17, 75]"
53,ENTP-A,Debater,"[69, 51, 83, 17, 69]"
54,ENTP-A,Debater,"[72, 51, 83, 14, 74]"
55,ESTP-A,Entrepreneur,"[69, 45, 88, 15, 72]"
56,ESTP-A,Entrepreneur,"[71, 45, 81, 14, 74]"
57,ENTP-A,Debater,"[69, 59, 82, 17, 75]"
58,ESTP-A,Entrepreneur,"[71, 47, 83, 14, 74]"
59,ENTP-A,Debater,"[68, 53, 85, 17, 72]"
60,ENTP-A,Debater,"[74, 54, 83, 14, 72]"
61,ENTP-A,Debater,"[75, 52, 81, 22, 76]"
62,ESTP-A,Entrepreneur,"[72, 48, 78, 18, 75]"
63,ENTP-A,Debater,"[68, 53, 83, 15, 75]"
64,ESTP-A,Entrepreneur,"[71, 48, 85, 21, 81]"
65,ESTP-A,Entrepreneur,"[72, 48, 85, 21, 69]"
66,ENTP-A,Debater,"[69, 51, 86, 18, 74]"
67,ESTP-A,Entrepreneur,"[65, 45, 85, 22, 74]"
68,ESTP-A,Entrepreneur,"[72, 46, 85, 21, 78]"
69,ENTP-A,Debater,"[75, 54, 83, 14, 76]"
70,ENTP-A,Debater,"[68, 57, 82, 18, 76]"
71,ESTP-A,Entrepreneur,"[65, 46, 81, 21, 72]"
72,ESTP-A,Entrepreneur,"[72, 48, 83, 17, 71]"
73,ENTP-A,Debater,"[75, 53, 88, 12, 72]"
74,ESTP-A,Entrepreneur,"[75, 48, 82, 15, 72]"
75,ENTP-A,Debater,"[71, 52, 82, 17, 79]"
76,ESTP-A,Entrepreneur,"[74, 46, 79, 22, 78]"
77,ENTP-A,Debater,"[69, 56, 82, 17, 75]"
78,ESTP-A,Entrepreneur,"[72, 46, 82, 18, 78]"
79,ENTP-A,Debater,"[71, 54, 86, 18, 69]"
80,ESTP-A,Entrepreneur,"[72, 46, 82, 18, 75]"
81,ENTP-A,Debater,"[71, 51, 81, 12, 68]"
82,ESTP-A,Entrepreneur,"[71, 47, 86, 21, 76]"
83,ESTP-A,Entrepreneur,"[71, 45, 83, 19, 74]"
84,ESTP-A,Entrepreneur,"[72, 47, 83, 15, 74]"
85,ENTP-A,Debater,"[71, 57, 86, 18, 76]"
86,ESTP-A,Entrepreneur,"[67, 46, 85, 14, 74]"
87,ESTP-A,Entrepreneur,"[71, 46, 75, 12, 74]"
88,ENTP-A,Debater,"[74, 56, 85, 17, 75]"
89,ESTP-A,Entrepreneur,"[69, 46, 82, 17, 76]"
90,ESTP-A,Entrepreneur,"[69, 43, 81, 17, 76]"
91,ESTP-A,Entrepreneur,"[69, 47, 85, 19, 69]"
92,ESTP-A,Entrepreneur,"[72, 48, 82, 14, 76]"
93,ENTP-A,Debater,"[72, 53, 86, 17, 71]"
94,ESTP-A,Entrepreneur,"[71, 47, 85, 18, 81]"
95,ENTP-A,Debater,"[69, 56, 81, 19, 76]"
96,ESTP-A,Entrepreneur,"[72, 47, 83, 14, 74]"
97,ESTP-A,Entrepreneur,"[72, 42, 83, 19, 75]"
98,ENTP-A,Debater,"[69, 51, 79, 17, 76]"
99,ENTP-A,Debater,"[71, 51, 82, 15, 76]"
100,ENTP-A,Debater,"[68, 54, 82, 19, 76]"
