Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[56, 39, 81, 33, 82]"
2,ESTP-A,Entrepreneur,"[68, 38, 76, 33, 81]"
3,ESTP-A,Entrepreneur,"[68, 38, 81, 31, 81]"
4,ESTP-A,Entrepreneur,"[60, 43, 79, 33, 82]"
5,ESTP-A,Entrepreneur,"[69, 36, 85, 40, 75]"
6,ESTP-A,Entrepreneur,"[64, 35, 79, 36, 81]"
7,ESTP-A,Entrepreneur,"[65, 42, 74, 32, 79]"
8,ESTP-A,Entrepreneur,"[68, 35, 83, 33, 79]"
9,ESTP-A,Entrepreneur,"[64, 32, 79, 35, 75]"
10,ESTP-A,Entrepreneur,"[68, 38, 79, 35, 75]"
11,ESTP-A,Entrepreneur,"[64, 32, 75, 37, 78]"
12,ESTP-A,Entrepreneur,"[71, 41, 81, 35, 79]"
13,ESTP-A,Entrepreneur,"[61, 27, 81, 37, 76]"
14,ESTP-A,Entrepreneur,"[61, 34, 82, 36, 82]"
15,ESTP-A,Entrepreneur,"[68, 31, 78, 32, 76]"
16,ESTP-A,Entrepreneur,"[64, 32, 79, 33, 79]"
17,ESTP-A,Entrepreneur,"[67, 42, 76, 35, 83]"
18,ESTP-A,Entrepreneur,"[69, 29, 75, 33, 81]"
19,ESTP-A,Entrepreneur,"[60, 36, 85, 28, 81]"
20,ESTP-A,Entrepreneur,"[63, 35, 72, 36, 79]"
21,ESTP-A,Entrepreneur,"[57, 35, 76, 36, 78]"
22,ESTP-A,Entrepreneur,"[72, 43, 82, 33, 85]"
23,ESTP-A,Entrepreneur,"[67, 31, 76, 35, 76]"
24,ESTP-A,Entrepreneur,"[68, 34, 82, 40, 78]"
25,ESTP-A,Entrepreneur,"[69, 34, 81, 36, 81]"
26,ESTP-A,Entrepreneur,"[63, 41, 79, 37, 82]"
27,ESTP-A,Entrepreneur,"[74, 32, 81, 35, 81]"
28,ESTP-A,Entrepreneur,"[68, 35, 82, 36, 81]"
29,ESTP-A,Entrepreneur,"[64, 38, 78, 36, 79]"
30,ESTP-A,Entrepreneur,"[65, 28, 74, 35, 83]"
31,ESTP-A,Entrepreneur,"[65, 31, 76, 33, 76]"
32,ESTP-A,Entrepreneur,"[71, 34, 78, 37, 82]"
33,ESTP-A,Entrepreneur,"[63, 34, 79, 33, 76]"
34,ESTP-A,Entrepreneur,"[69, 36, 78, 36, 86]"
35,ESTP-A,Entrepreneur,"[71, 38, 85, 36, 78]"
36,ESTP-A,Entrepreneur,"[72, 29, 78, 35, 82]"
37,ESTP-A,Entrepreneur,"[69, 42, 76, 33, 75]"
38,ESTP-A,Entrepreneur,"[64, 34, 81, 42, 75]"
39,ESTP-A,Entrepreneur,"[63, 34, 83, 37, 78]"
40,ESTP-A,Entrepreneur,"[64, 38, 81, 35, 78]"
41,ESTP-A,Entrepreneur,"[67, 28, 75, 33, 82]"
42,ESTP-A,Entrepreneur,"[69, 35, 82, 33, 79]"
43,ESTP-A,Entrepreneur,"[68, 32, 83, 40, 79]"
44,ESTP-A,Entrepreneur,"[69, 32, 79, 36, 78]"
45,ESTP-A,Entrepreneur,"[65, 32, 82, 36, 82]"
46,ESTP-A,Entrepreneur,"[76, 34, 82, 31, 76]"
47,ESTP-A,Entrepreneur,"[63, 32, 79, 40, 79]"
48,ESTP-A,Entrepreneur,"[64, 38, 85, 39, 79]"
49,ESTP-A,Entrepreneur,"[69, 41, 82, 32, 85]"
50,ESTP-A,Entrepreneur,"[71, 43, 81, 36, 78]"
51,ESTP-A,Entrepreneur,"[72, 31, 83, 37, 78]"
52,ESTP-A,Entrepreneur,"[69, 34, 81, 31, 81]"
53,ESTP-A,Entrepreneur,"[65, 41, 81, 33, 79]"
54,ESTP-A,Entrepreneur,"[60, 28, 83, 39, 81]"
55,ESTP-A,Entrepreneur,"[67, 38, 81, 35, 82]"
56,ESTP-A,Entrepreneur,"[65, 31, 78, 37, 75]"
57,ESTP-A,Entrepreneur,"[68, 42, 79, 35, 82]"
58,ESTP-A,Entrepreneur,"[65, 35, 74, 39, 74]"
59,ESTP-A,Entrepreneur,"[72, 34, 76, 37, 79]"
60,ESTP-A,Entrepreneur,"[69, 31, 81, 36, 82]"
61,ESTP-A,Entrepreneur,"[68, 31, 83, 35, 78]"
62,ESTP-A,Entrepreneur,"[69, 31, 79, 31, 82]"
63,ESTP-A,Entrepreneur,"[67, 39, 83, 36, 79]"
64,ESTP-A,Entrepreneur,"[64, 43, 81, 39, 78]"
65,ESTP-A,Entrepreneur,"[63, 38, 81, 43, 74]"
