Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[46, 46, 37, 28, 68]"
2,ISFP-A,Adventurer,"[42, 39, 29, 31, 71]"
3,ISFP-A,Adventurer,"[40, 38, 37, 28, 64]"
4,ISFP-A,Adventurer,"[46, 35, 36, 31, 71]"
5,ISFP-A,Adventurer,"[47, 36, 36, 31, 61]"
6,ISFP-A,Adventurer,"[43, 35, 39, 29, 61]"
7,ISFP-A,Adventurer,"[46, 38, 33, 31, 67]"
8,ISFP-A,Adventurer,"[39, 38, 37, 29, 58]"
9,ESFP-A,Entertainer,"[51, 31, 36, 26, 60]"
10,ISFP-A,Adventurer,"[43, 38, 42, 31, 68]"
11,ISFP-A,Adventurer,"[47, 36, 36, 29, 60]"
12,ISFP-A,Adventurer,"[47, 41, 35, 29, 69]"
13,ISFP-A,Adventurer,"[44, 36, 37, 28, 63]"
14,ESFP-A,Entertainer,"[51, 36, 36, 26, 68]"
15,ISFP-A,Adventurer,"[40, 34, 37, 28, 71]"
16,ISFP-A,Adventurer,"[46, 39, 35, 28, 63]"
17,ISFP-A,Adventurer,"[44, 35, 32, 35, 68]"
18,ISFP-A,Adventurer,"[42, 42, 35, 29, 64]"
19,ISFP-A,Adventurer,"[37, 42, 32, 31, 65]"
20,ISFP-A,Adventurer,"[42, 32, 37, 31, 68]"
21,ISFP-A,Adventurer,"[49, 42, 35, 28, 68]"
22,ISFP-A,Adventurer,"[43, 31, 36, 29, 60]"
23,ISFP-A,Adventurer,"[43, 38, 33, 29, 60]"
24,ISFP-A,Adventurer,"[46, 29, 37, 32, 63]"
25,ISFP-A,Adventurer,"[46, 36, 37, 31, 64]"
26,ISFP-A,Adventurer,"[47, 34, 31, 32, 65]"
27,ISFP-A,Adventurer,"[39, 36, 33, 33, 68]"
28,ISFP-A,Adventurer,"[43, 41, 33, 28, 68]"
29,ISFP-A,Adventurer,"[46, 27, 33, 28, 63]"
30,ISFP-A,Adventurer,"[36, 43, 35, 28, 71]"
31,ISFP-A,Adventurer,"[40, 41, 33, 32, 61]"
32,ISFP-A,Adventurer,"[40, 39, 40, 29, 65]"
33,ISFP-A,Adventurer,"[39, 38, 36, 31, 67]"
34,ISFP-A,Adventurer,"[46, 41, 31, 31, 69]"
35,ISFP-A,Adventurer,"[42, 39, 36, 25, 60]"
36,ISFP-A,Adventurer,"[44, 42, 35, 29, 72]"
37,ISFP-A,Adventurer,"[42, 38, 32, 33, 63]"
38,ISFP-A,Adventurer,"[43, 38, 35, 28, 68]"
39,ESFP-A,Entertainer,"[54, 45, 33, 29, 63]"
40,ISFP-A,Adventurer,"[43, 43, 35, 28, 67]"
41,ISFP-A,Adventurer,"[40, 35, 36, 28, 67]"
42,ISFP-A,Adventurer,"[42, 39, 36, 29, 65]"
43,ISFP-A,Adventurer,"[43, 43, 33, 33, 68]"
44,ISFP-A,Adventurer,"[42, 35, 39, 29, 56]"
45,ISFP-A,Adventurer,"[44, 47, 33, 33, 64]"
46,ISFP-A,Adventurer,"[46, 36, 35, 28, 64]"
47,ISFP-A,Adventurer,"[44, 32, 35, 29, 72]"
48,ISFP-A,Adventurer,"[46, 39, 39, 29, 64]"
49,ESFP-A,Entertainer,"[51, 32, 35, 32, 64]"
50,ISFP-A,Adventurer,"[44, 36, 31, 32, 69]"
51,ISFP-A,Adventurer,"[44, 35, 36, 28, 63]"
52,ISFP-A,Adventurer,"[42, 42, 31, 29, 65]"
53,ISFP-A,Adventurer,"[40, 38, 33, 35, 63]"
54,ISFP-A,Adventurer,"[39, 41, 33, 26, 72]"
55,ISFP-A,Adventurer,"[46, 36, 35, 31, 64]"
56,ISFP-A,Adventurer,"[47, 39, 37, 32, 67]"
57,ISFP-A,Adventurer,"[49, 31, 35, 28, 67]"
58,ISFP-A,Adventurer,"[44, 29, 36, 29, 69]"
59,ISFP-A,Adventurer,"[46, 46, 37, 31, 68]"
60,ISFP-A,Adventurer,"[47, 36, 35, 28, 63]"
61,ISFP-A,Adventurer,"[39, 41, 35, 24, 65]"
62,ISFP-A,Adventurer,"[39, 34, 39, 31, 68]"
63,ISFP-A,Adventurer,"[46, 32, 36, 31, 65]"
64,ISFP-A,Adventurer,"[40, 43, 35, 29, 68]"
65,ISFP-A,Adventurer,"[42, 41, 37, 28, 64]"
66,ISFP-A,Adventurer,"[44, 38, 42, 29, 71]"
67,ISFP-A,Adventurer,"[47, 46, 35, 26, 69]"
68,ISFP-A,Adventurer,"[46, 31, 36, 32, 67]"
69,ISFP-A,Adventurer,"[46, 35, 35, 29, 65]"
70,ISFP-A,Adventurer,"[47, 35, 33, 28, 65]"
71,ISFP-A,Adventurer,"[42, 38, 40, 33, 71]"
72,ISFP-A,Adventurer,"[37, 28, 31, 29, 65]"
73,ISFP-A,Adventurer,"[46, 42, 33, 29, 65]"
74,ISFP-A,Adventurer,"[43, 41, 35, 29, 69]"
75,ISFP-A,Adventurer,"[44, 31, 37, 29, 64]"
76,ISFP-A,Adventurer,"[44, 34, 36, 28, 64]"
77,ISFP-A,Adventurer,"[36, 34, 40, 33, 67]"
78,ISFP-A,Adventurer,"[42, 32, 36, 32, 61]"
79,ISFP-A,Adventurer,"[46, 38, 35, 29, 71]"
80,ISFP-A,Adventurer,"[44, 38, 39, 32, 69]"
81,ISFP-A,Adventurer,"[47, 34, 32, 32, 61]"
82,ISFP-A,Adventurer,"[44, 39, 32, 26, 57]"
83,ISFP-A,Adventurer,"[42, 35, 37, 29, 64]"
84,ISFP-A,Adventurer,"[39, 31, 39, 35, 63]"
85,ISFP-A,Adventurer,"[46, 42, 39, 26, 67]"
86,ISFP-A,Adventurer,"[44, 35, 39, 31, 65]"
87,ISFP-A,Adventurer,"[42, 36, 37, 28, 56]"
88,ISFP-A,Adventurer,"[47, 31, 35, 32, 64]"
89,ISFP-A,Adventurer,"[44, 32, 28, 29, 60]"
90,ISFP-A,Adventurer,"[42, 38, 37, 25, 65]"
91,ISFP-A,Adventurer,"[43, 38, 39, 29, 75]"
92,ISFP-A,Adventurer,"[46, 43, 33, 31, 67]"
93,ISFP-A,Adventurer,"[42, 35, 35, 31, 65]"
94,ISFP-A,Adventurer,"[49, 39, 37, 28, 60]"
95,ISFP-A,Adventurer,"[47, 34, 40, 33, 67]"
96,ISFP-A,Adventurer,"[46, 41, 37, 32, 69]"
97,ISFP-A,Adventurer,"[43, 39, 37, 32, 68]"
98,ISFP-A,Adventurer,"[43, 42, 35, 25, 72]"
99,ISFP-A,Adventurer,"[47, 38, 36, 33, 63]"
100,ISFP-A,Adventurer,"[43, 43, 36, 29, 65]"
