Cycle,Code,Role,Values
1,ISFJ-A,Defender,"[19, 46, 40, 58, 58]"
2,ISFJ-A,Defender,"[22, 43, 36, 57, 61]"
3,ISFJ-A,Defender,"[24, 34, 35, 58, 56]"
4,ISFJ-A,Defender,"[18, 42, 32, 57, 51]"
5,ISFJ-A,Defender,"[17, 39, 33, 54, 64]"
6,ISFJ-A,Defender,"[21, 46, 31, 63, 54]"
7,ISFJ-A,Defender,"[18, 43, 37, 54, 63]"
8,ISFJ-A,Defender,"[19, 45, 36, 54, 58]"
9,ISFJ-A,Defender,"[14, 36, 36, 53, 58]"
10,ISFJ-A,Defender,"[17, 39, 33, 53, 58]"
11,ISFJ-A,Defender,"[17, 43, 36, 60, 58]"
12,ISFJ-A,Defender,"[18, 42, 37, 58, 63]"
13,ISFJ-A,Defender,"[21, 46, 36, 51, 53]"
14,ISFJ-A,Defender,"[14, 41, 35, 63, 63]"
15,ISFJ-A,Defender,"[18, 47, 37, 60, 54]"
16,ISFP-A,Adventurer,"[18, 45, 39, 49, 64]"
17,ISFJ-A,Defender,"[22, 42, 37, 54, 58]"
18,ISFJ-A,Defender,"[18, 42, 33, 51, 58]"
19,ISFJ-A,Defender,"[19, 36, 32, 54, 61]"
20,ISFP-A,Adventurer,"[21, 34, 31, 46, 58]"
21,ISFJ-A,Defender,"[18, 43, 33, 58, 63]"
22,ISFJ-A,Defender,"[17, 46, 29, 57, 64]"
23,ISFJ-A,Defender,"[17, 43, 37, 53, 56]"
24,ISFJ-A,Defender,"[19, 41, 33, 54, 65]"
25,ISFJ-A,Defender,"[18, 43, 37, 60, 63]"
26,ISFJ-A,Defender,"[15, 43, 35, 57, 64]"
27,ISFJ-A,Defender,"[17, 45, 35, 54, 56]"
28,ISFJ-A,Defender,"[19, 38, 36, 60, 58]"
29,ISFJ-A,Defender,"[18, 41, 40, 56, 57]"
30,ISFJ-A,Defender,"[18, 41, 33, 57, 57]"
31,ISFP-A,Adventurer,"[18, 45, 33, 49, 58]"
32,ISFJ-A,Defender,"[19, 45, 39, 53, 61]"
33,ISFP-A,Adventurer,"[18, 38, 36, 49, 60]"
34,ISFJ-A,Defender,"[18, 36, 40, 53, 63]"
35,ISFJ-A,Defender,"[18, 38, 35, 54, 61]"
36,ISFJ-A,Defender,"[21, 41, 35, 54, 57]"
37,ISFJ-A,Defender,"[18, 41, 33, 51, 64]"
38,ISFJ-A,Defender,"[19, 41, 37, 56, 63]"
39,ISFJ-A,Defender,"[18, 45, 37, 57, 64]"
40,ISFJ-A,Defender,"[17, 41, 36, 54, 58]"
41,ISFJ-A,Defender,"[21, 43, 37, 61, 63]"
42,ISFJ-A,Defender,"[12, 38, 36, 57, 56]"
43,ISFJ-A,Defender,"[15, 35, 33, 57, 56]"
44,ISFJ-A,Defender,"[12, 39, 37, 60, 56]"
45,ISFP-A,Adventurer,"[15, 45, 37, 49, 60]"
46,ISFJ-A,Defender,"[21, 41, 40, 60, 63]"
47,ISFP-A,Adventurer,"[17, 43, 31, 49, 61]"
48,ISFJ-A,Defender,"[17, 42, 37, 56, 53]"
49,ISFJ-A,Defender,"[21, 45, 33, 57, 64]"
50,ISFJ-A,Defender,"[15, 39, 37, 54, 60]"
51,ISFJ-A,Defender,"[15, 46, 36, 53, 61]"
52,ISFJ-A,Defender,"[19, 38, 28, 54, 60]"
53,ISFJ-A,Defender,"[19, 35, 37, 56, 61]"
54,ISFJ-A,Defender,"[14, 45, 36, 60, 63]"
55,ISFJ-A,Defender,"[17, 35, 33, 54, 57]"
56,ISFJ-A,Defender,"[17, 43, 37, 56, 58]"
57,ISFJ-A,Defender,"[21, 35, 36, 56, 60]"
58,ISFJ-A,Defender,"[17, 41, 35, 56, 63]"
59,ISFJ-A,Defender,"[21, 42, 33, 57, 57]"
60,ISFJ-A,Defender,"[17, 42, 31, 54, 54]"
61,ISFJ-A,Defender,"[18, 43, 33, 60, 60]"
62,ISFJ-A,Defender,"[17, 38, 37, 61, 58]"
63,ISFJ-A,Defender,"[21, 39, 32, 53, 67]"
64,ISFJ-A,Defender,"[21, 32, 40, 61, 61]"
65,ISFJ-A,Defender,"[19, 45, 37, 56, 64]"
66,ISFJ-A,Defender,"[17, 39, 35, 63, 68]"
67,ISFJ-A,Defender,"[17, 39, 35, 51, 58]"
68,ISFJ-A,Defender,"[21, 43, 37, 54, 60]"
69,ISFJ-A,Defender,"[15, 39, 39, 58, 58]"
70,ISFJ-A,Defender,"[21, 39, 37, 60, 57]"
71,ISFJ-A,Defender,"[19, 47, 36, 51, 65]"
72,ISFJ-A,Defender,"[18, 38, 36, 58, 60]"
73,ISFJ-A,Defender,"[15, 43, 35, 58, 67]"
74,ISFJ-A,Defender,"[17, 36, 35, 57, 61]"
75,ISFJ-A,Defender,"[17, 45, 33, 56, 58]"
76,ISFJ-A,Defender,"[14, 43, 39, 51, 58]"
77,ISFJ-A,Defender,"[17, 43, 35, 56, 53]"
78,ISFJ-A,Defender,"[19, 42, 39, 54, 63]"
79,ISFJ-A,Defender,"[19, 41, 35, 57, 63]"
80,ISFJ-A,Defender,"[17, 45, 36, 54, 60]"
81,ISFJ-A,Defender,"[15, 39, 36, 54, 61]"
82,ISFJ-A,Defender,"[18, 45, 35, 58, 63]"
83,ISFP-A,Adventurer,"[19, 41, 39, 49, 58]"
84,ISFJ-A,Defender,"[18, 43, 37, 54, 65]"
85,ISFP-A,Adventurer,"[18, 39, 37, 49, 61]"
86,ISFJ-A,Defender,"[21, 42, 32, 57, 57]"
87,ISFJ-A,Defender,"[19, 42, 35, 58, 60]"
88,ISFJ-A,Defender,"[18, 39, 33, 57, 57]"
89,ISFJ-A,Defender,"[11, 35, 37, 60, 60]"
90,ISFJ-A,Defender,"[17, 46, 35, 57, 58]"
91,ISFJ-A,Defender,"[17, 45, 35, 54, 56]"
92,ISFJ-A,Defender,"[17, 42, 35, 57, 60]"
