Cycle,Code,Role,Values
1,ISFJ-A,Defender,"[11, 27, 46, 71, 68]"
2,ISFJ-A,Defender,"[11, 28, 43, 69, 65]"
3,ISFJ-A,Defender,"[7, 25, 44, 68, 64]"
4,ISFJ-A,Defender,"[12, 20, 44, 67, 63]"
5,ISFJ-A,Defender,"[11, 22, 49, 69, 63]"
6,ISFJ-A,Defender,"[12, 27, 44, 67, 60]"
7,ISFJ-A,Defender,"[15, 28, 46, 71, 65]"
8,ISFJ-A,Defender,"[12, 29, 47, 64, 65]"
9,ISFJ-A,Defender,"[8, 24, 46, 64, 68]"
10,ISFJ-A,Defender,"[12, 27, 40, 68, 68]"
11,ISFJ-A,Defender,"[11, 22, 47, 74, 67]"
12,ISFJ-A,Defender,"[10, 28, 43, 74, 61]"
13,ISFJ-A,Defender,"[12, 27, 44, 68, 63]"
14,ISFJ-A,Defender,"[8, 31, 47, 74, 69]"
15,ISFJ-A,Defender,"[6, 18, 46, 67, 63]"
16,ISFJ-A,Defender,"[8, 28, 47, 64, 61]"
17,ISFJ-A,Defender,"[11, 25, 44, 71, 65]"
18,ISFJ-A,Defender,"[15, 28, 47, 68, 63]"
19,ISFJ-A,Defender,"[17, 21, 49, 69, 64]"
20,ISFJ-A,Defender,"[12, 21, 40, 65, 67]"
21,ISFJ-A,Defender,"[18, 29, 43, 68, 67]"
22,ISFJ-A,Defender,"[12, 29, 43, 64, 69]"
23,ISFJ-A,Defender,"[11, 28, 44, 68, 63]"
24,ISFJ-A,Defender,"[14, 29, 44, 68, 64]"
25,ISFJ-A,Defender,"[18, 22, 42, 74, 64]"
26,ISFJ-A,Defender,"[10, 22, 49, 71, 65]"
27,ISFJ-A,Defender,"[14, 22, 40, 71, 67]"
28,ISFJ-A,Defender,"[11, 25, 47, 68, 67]"
29,ISFJ-A,Defender,"[7, 24, 43, 71, 71]"
30,ISFJ-A,Defender,"[10, 20, 43, 69, 64]"
31,ISFJ-A,Defender,"[12, 31, 40, 71, 65]"
32,ISFJ-A,Defender,"[12, 32, 46, 63, 65]"
33,ISFJ-A,Defender,"[12, 18, 46, 64, 58]"
34,ISFJ-A,Defender,"[18, 22, 42, 71, 68]"
35,ISFJ-A,Defender,"[8, 28, 47, 65, 68]"
36,ISFJ-A,Defender,"[10, 24, 46, 71, 72]"
37,ISFJ-A,Defender,"[11, 22, 44, 69, 63]"
38,ISFJ-A,Defender,"[11, 25, 47, 69, 60]"
39,ISFJ-A,Defender,"[10, 29, 46, 64, 65]"
40,ISFJ-A,Defender,"[15, 20, 43, 68, 67]"
41,ISFJ-A,Defender,"[11, 29, 42, 71, 71]"
42,ISFJ-A,Defender,"[12, 25, 39, 72, 65]"
43,ISFJ-A,Defender,"[15, 34, 40, 67, 65]"
44,ISFJ-A,Defender,"[14, 29, 42, 69, 64]"
45,ISFJ-A,Defender,"[14, 25, 47, 69, 68]"
46,ISFJ-A,Defender,"[12, 25, 42, 68, 60]"
47,ISFJ-A,Defender,"[10, 22, 47, 67, 65]"
48,ISFJ-A,Defender,"[12, 25, 49, 67, 61]"
49,ISFJ-A,Defender,"[14, 20, 46, 68, 64]"
50,ISFJ-A,Defender,"[6, 25, 49, 71, 64]"
51,ISFJ-A,Defender,"[15, 22, 43, 68, 60]"
52,ISFJ-A,Defender,"[18, 25, 46, 69, 63]"
53,ISFJ-A,Defender,"[8, 27, 39, 74, 64]"
54,ISFJ-A,Defender,"[10, 34, 40, 72, 63]"
55,ISFJ-A,Defender,"[15, 25, 42, 65, 64]"
56,ISFJ-A,Defender,"[4, 22, 46, 65, 71]"
57,ISFJ-A,Defender,"[11, 28, 46, 68, 67]"
58,ISFJ-A,Defender,"[10, 24, 46, 64, 68]"
59,ISFJ-A,Defender,"[10, 32, 46, 71, 65]"
60,ISFJ-A,Defender,"[11, 24, 47, 71, 61]"
61,ISFJ-A,Defender,"[10, 28, 47, 71, 65]"
62,ISFJ-A,Defender,"[11, 29, 43, 69, 71]"
63,ISFJ-A,Defender,"[14, 28, 42, 69, 74]"
64,ISFJ-A,Defender,"[15, 28, 43, 75, 67]"
65,ISFJ-A,Defender,"[10, 29, 49, 72, 64]"
66,ISFJ-A,Defender,"[10, 29, 46, 69, 64]"
67,ISFJ-A,Defender,"[12, 28, 37, 67, 74]"
68,ISFJ-A,Defender,"[12, 36, 42, 67, 65]"
69,ISFJ-A,Defender,"[12, 27, 44, 69, 63]"
70,ISFJ-A,Defender,"[14, 27, 44, 69, 64]"
71,ISFJ-A,Defender,"[10, 28, 46, 69, 61]"
72,ISFJ-A,Defender,"[15, 25, 40, 67, 65]"
73,ISFJ-A,Defender,"[17, 32, 47, 68, 63]"
74,ISFJ-A,Defender,"[10, 28, 46, 74, 69]"
75,ISFJ-A,Defender,"[8, 29, 37, 71, 61]"
76,ISFJ-A,Defender,"[18, 27, 47, 69, 61]"
77,ISFJ-A,Defender,"[11, 29, 43, 63, 68]"
78,ISFJ-A,Defender,"[14, 21, 42, 67, 69]"
79,ISFJ-A,Defender,"[17, 29, 42, 67, 65]"
80,ISFJ-A,Defender,"[6, 34, 47, 71, 63]"
81,ISFJ-A,Defender,"[12, 22, 44, 64, 68]"
82,ISFJ-A,Defender,"[4, 32, 47, 72, 60]"
83,ISFJ-A,Defender,"[8, 28, 42, 67, 63]"
84,ISFJ-A,Defender,"[11, 27, 44, 72, 69]"
85,ISFJ-A,Defender,"[15, 31, 43, 69, 67]"
86,ISFJ-A,Defender,"[10, 22, 42, 69, 64]"
87,ISFJ-A,Defender,"[8, 24, 42, 67, 63]"
88,ISFJ-A,Defender,"[11, 27, 49, 65, 60]"
89,ISFJ-A,Defender,"[10, 31, 47, 68, 64]"
90,ISFJ-A,Defender,"[10, 27, 42, 72, 63]"
91,ISFJ-A,Defender,"[14, 32, 42, 68, 64]"
92,ISFJ-A,Defender,"[14, 29, 42, 68, 67]"
93,ISFJ-A,Defender,"[11, 24, 46, 68, 71]"
94,ISFJ-A,Defender,"[6, 24, 39, 75, 68]"
95,ISFJ-A,Defender,"[6, 34, 49, 67, 61]"
96,ISFJ-A,Defender,"[15, 29, 46, 71, 68]"
97,ISFJ-A,Defender,"[11, 22, 49, 67, 65]"
98,ISFJ-A,Defender,"[11, 28, 49, 68, 63]"
99,ISFJ-A,Defender,"[15, 20, 37, 65, 69]"
100,ISFJ-A,Defender,"[14, 28, 47, 72, 68]"
