Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[8, 20, 85, 69, 81]"
2,ISTJ-A,Logistician,"[12, 17, 79, 71, 69]"
3,ISTJ-A,Logistician,"[10, 21, 78, 67, 74]"
4,ISTJ-A,Logistician,"[10, 18, 75, 68, 72]"
5,ISTJ-A,Logistician,"[10, 17, 79, 71, 72]"
6,ISTJ-A,Logistician,"[11, 24, 82, 71, 76]"
7,ISTJ-A,Logistician,"[11, 20, 79, 67, 75]"
8,ISTJ-A,Logistician,"[14, 20, 81, 72, 78]"
9,ISTJ-A,Logistician,"[14, 20, 81, 72, 72]"
10,ISTJ-A,Logistician,"[14, 17, 78, 71, 75]"
11,ISTJ-A,Logistician,"[8, 14, 79, 68, 75]"
12,ISTJ-A,Logistician,"[14, 20, 82, 74, 71]"
13,ISTJ-A,Logistician,"[14, 16, 83, 69, 75]"
14,ISTJ-A,Logistician,"[11, 13, 83, 67, 74]"
15,ISTJ-A,Logistician,"[8, 18, 83, 65, 75]"
16,ISTJ-A,Logistician,"[14, 17, 78, 67, 82]"
17,ISTJ-A,Logistician,"[12, 21, 79, 67, 72]"
18,ISTJ-A,Logistician,"[15, 17, 81, 72, 76]"
19,ISTJ-A,Logistician,"[15, 17, 82, 67, 78]"
20,ISTJ-A,Logistician,"[10, 18, 79, 65, 69]"
21,ISTJ-A,Logistician,"[12, 16, 82, 69, 75]"
22,ISTJ-A,Logistician,"[7, 17, 78, 67, 76]"
23,ISTJ-A,Logistician,"[11, 20, 85, 67, 81]"
24,ISTJ-A,Logistician,"[12, 18, 78, 72, 76]"
25,ISTJ-A,Logistician,"[12, 21, 83, 69, 76]"
26,ISTJ-A,Logistician,"[15, 21, 79, 68, 72]"
27,ISTJ-A,Logistician,"[8, 14, 82, 69, 74]"
28,ISTJ-A,Logistician,"[8, 16, 81, 65, 74]"
29,ISTJ-A,Logistician,"[11, 17, 78, 75, 71]"
30,ISTJ-A,Logistician,"[12, 20, 76, 69, 75]"
31,ISTJ-A,Logistician,"[11, 16, 82, 69, 72]"
32,ISTJ-A,Logistician,"[8, 17, 78, 65, 74]"
33,ISTJ-A,Logistician,"[11, 17, 81, 72, 76]"
34,ISTJ-A,Logistician,"[8, 11, 81, 71, 75]"
35,ISTJ-A,Logistician,"[15, 20, 79, 71, 74]"
36,ISTJ-A,Logistician,"[6, 18, 79, 67, 81]"
37,ISTJ-A,Logistician,"[14, 13, 79, 71, 76]"
