Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[15, 32, 82, 46, 78]"
2,ISTP-A,Virtuoso,"[10, 36, 79, 37, 75]"
3,ISTP-A,Virtuoso,"[14, 38, 83, 47, 74]"
4,ISTP-A,Virtuoso,"[12, 39, 85, 46, 75]"
5,ISTP-A,Virtuoso,"[17, 42, 85, 39, 78]"
6,ISTP-A,Virtuoso,"[11, 34, 83, 43, 79]"
7,ISTP-A,Virtuoso,"[15, 39, 85, 42, 75]"
8,ISTP-A,Virtuoso,"[17, 42, 81, 33, 76]"
9,ISTP-A,Virtuoso,"[14, 34, 79, 42, 81]"
10,ISTP-A,Virtuoso,"[18, 35, 83, 42, 76]"
11,ISTP-A,Virtuoso,"[12, 35, 81, 42, 82]"
12,ISTP-A,Virtuoso,"[11, 38, 82, 43, 76]"
13,ISTP-A,Virtuoso,"[14, 32, 83, 47, 76]"
14,ISTP-A,Virtuoso,"[14, 38, 81, 46, 78]"
15,ISTP-A,Virtuoso,"[11, 35, 85, 42, 78]"
16,ISTP-A,Virtuoso,"[12, 36, 86, 39, 78]"
17,ISTP-A,Virtuoso,"[12, 34, 81, 39, 79]"
18,ISTP-A,Virtuoso,"[15, 34, 85, 47, 78]"
19,ISTP-A,Virtuoso,"[11, 34, 79, 43, 78]"
20,ISTP-A,Virtuoso,"[11, 31, 83, 43, 76]"
21,ISTP-A,Virtuoso,"[8, 31, 88, 42, 74]"
22,ISTP-A,Virtuoso,"[14, 35, 82, 43, 78]"
23,ISTP-A,Virtuoso,"[17, 43, 86, 42, 79]"
24,ISTP-A,Virtuoso,"[14, 35, 82, 40, 81]"
25,ISTP-A,Virtuoso,"[12, 35, 83, 42, 78]"
26,ISTP-A,Virtuoso,"[10, 34, 83, 46, 78]"
27,ISTP-A,Virtuoso,"[12, 31, 83, 39, 82]"
28,ISTP-A,Virtuoso,"[11, 36, 85, 44, 82]"
29,ISTP-A,Virtuoso,"[14, 35, 82, 39, 85]"
30,ISTP-A,Virtuoso,"[10, 38, 81, 42, 82]"
31,ISTP-A,Virtuoso,"[17, 39, 79, 44, 79]"
32,ISTP-A,Virtuoso,"[14, 31, 83, 44, 79]"
33,ISTP-A,Virtuoso,"[15, 35, 86, 47, 76]"
34,ISTP-A,Virtuoso,"[10, 42, 83, 46, 76]"
