num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,21.0,0.0,22.0,5.0,19.0,4.0,20.0,2.0,ENFJ
2.0,21.0,0.0,22.0,5.0,19.0,4.0,20.0,2.0,ENFJ
3.0,20.0,1.0,21.0,6.0,20.0,3.0,20.0,2.0,ENFJ
4.0,20.0,1.0,23.0,4.0,18.0,5.0,20.0,2.0,ENFJ
5.0,20.0,1.0,21.0,6.0,19.0,4.0,20.0,2.0,ENFJ
6.0,20.0,1.0,21.0,6.0,18.0,5.0,20.0,2.0,ENFJ
7.0,20.0,1.0,21.0,6.0,20.0,3.0,20.0,2.0,ENFJ
8.0,19.0,2.0,22.0,5.0,19.0,4.0,20.0,2.0,ENFJ
9.0,20.0,1.0,23.0,4.0,20.0,3.0,20.0,2.0,ENFJ
10.0,20.0,1.0,24.0,3.0,19.0,4.0,20.0,2.0,ENFJ
11.0,20.0,1.0,21.0,6.0,21.0,2.0,20.0,2.0,ENFJ
12.0,20.0,1.0,20.0,7.0,20.0,3.0,20.0,2.0,ENFJ
13.0,20.0,1.0,23.0,4.0,19.0,4.0,20.0,2.0,ENFJ
14.0,20.0,1.0,23.0,4.0,20.0,3.0,20.0,2.0,ENFJ
15.0,20.0,1.0,23.0,4.0,19.0,4.0,20.0,2.0,ENFJ
16.0,20.0,1.0,22.0,5.0,21.0,2.0,20.0,2.0,ENFJ
17.0,20.0,1.0,20.0,7.0,19.0,4.0,20.0,2.0,ENFJ
18.0,20.0,1.0,24.0,3.0,20.0,3.0,20.0,2.0,ENFJ
19.0,20.0,1.0,23.0,4.0,20.0,3.0,20.0,2.0,ENFJ
20.0,19.0,2.0,22.0,5.0,19.0,4.0,20.0,2.0,ENFJ
21.0,20.0,1.0,21.0,6.0,20.0,3.0,20.0,2.0,ENFJ
22.0,21.0,0.0,21.0,6.0,20.0,3.0,20.0,2.0,ENFJ
23.0,21.0,0.0,22.0,5.0,19.0,4.0,20.0,2.0,ENFJ
24.0,20.0,1.0,21.0,6.0,19.0,4.0,20.0,2.0,ENFJ
25.0,20.0,1.0,20.0,7.0,19.0,4.0,20.0,2.0,ENFJ
26.0,20.0,1.0,23.0,4.0,21.0,2.0,20.0,2.0,ENFJ
27.0,20.0,1.0,22.0,5.0,21.0,2.0,20.0,2.0,ENFJ
28.0,20.0,1.0,24.0,3.0,21.0,2.0,20.0,2.0,ENFJ
29.0,21.0,0.0,24.0,3.0,19.0,4.0,20.0,2.0,ENFJ
30.0,20.0,1.0,23.0,4.0,19.0,4.0,20.0,2.0,ENFJ
31.0,21.0,0.0,21.0,6.0,18.0,5.0,20.0,2.0,ENFJ
32.0,20.0,1.0,23.0,4.0,19.0,4.0,20.0,2.0,ENFJ
33.0,21.0,0.0,24.0,3.0,18.0,5.0,20.0,2.0,ENFJ
34.0,20.0,1.0,22.0,5.0,19.0,4.0,20.0,2.0,ENFJ
35.0,20.0,1.0,23.0,4.0,19.0,4.0,20.0,2.0,ENFJ
36.0,20.0,1.0,19.0,8.0,18.0,5.0,20.0,2.0,ENFJ
37.0,20.0,1.0,21.0,6.0,19.0,4.0,20.0,2.0,ENFJ
38.0,20.0,1.0,20.0,7.0,19.0,4.0,20.0,2.0,ENFJ
39.0,21.0,0.0,23.0,4.0,20.0,3.0,20.0,2.0,ENFJ
40.0,21.0,0.0,23.0,4.0,19.0,4.0,20.0,2.0,ENFJ
41.0,20.0,1.0,22.0,5.0,19.0,4.0,20.0,2.0,ENFJ
