num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,21.0,0.0,21.0,6.0,0.0,23.0,20.0,2.0,ENTJ
2.0,21.0,0.0,21.0,6.0,1.0,22.0,20.0,2.0,ENTJ
3.0,21.0,0.0,22.0,5.0,2.0,21.0,20.0,2.0,ENTJ
4.0,20.0,1.0,22.0,5.0,1.0,22.0,20.0,2.0,ENTJ
5.0,21.0,0.0,18.0,9.0,1.0,22.0,21.0,1.0,ENTJ
6.0,20.0,1.0,22.0,5.0,1.0,22.0,20.0,2.0,ENTJ
7.0,20.0,1.0,22.0,5.0,1.0,22.0,20.0,2.0,ENTJ
8.0,20.0,1.0,21.0,6.0,1.0,22.0,20.0,2.0,ENTJ
9.0,19.0,2.0,20.0,7.0,2.0,21.0,20.0,2.0,ENTJ
10.0,21.0,0.0,18.0,9.0,0.0,23.0,20.0,2.0,ENTJ
11.0,21.0,0.0,19.0,8.0,1.0,22.0,20.0,2.0,ENTJ
12.0,21.0,0.0,20.0,7.0,2.0,21.0,20.0,2.0,ENTJ
13.0,21.0,0.0,22.0,5.0,1.0,22.0,21.0,1.0,ENTJ
14.0,20.0,1.0,19.0,8.0,2.0,21.0,21.0,1.0,ENTJ
15.0,21.0,0.0,21.0,6.0,1.0,22.0,20.0,2.0,ENTJ
16.0,19.0,2.0,19.0,8.0,1.0,22.0,20.0,2.0,ENTJ
17.0,21.0,0.0,22.0,5.0,2.0,21.0,21.0,1.0,ENTJ
18.0,21.0,0.0,20.0,7.0,1.0,22.0,20.0,2.0,ENTJ
19.0,21.0,0.0,23.0,4.0,1.0,22.0,20.0,2.0,ENTJ
20.0,20.0,1.0,22.0,5.0,2.0,21.0,20.0,2.0,ENTJ
21.0,21.0,0.0,20.0,7.0,1.0,22.0,20.0,2.0,ENTJ
22.0,20.0,1.0,23.0,4.0,1.0,22.0,21.0,1.0,ENTJ
23.0,21.0,0.0,17.0,10.0,1.0,22.0,20.0,2.0,ENTJ
24.0,21.0,0.0,24.0,3.0,0.0,23.0,20.0,2.0,ENTJ
25.0,21.0,0.0,17.0,10.0,1.0,22.0,20.0,2.0,ENTJ
26.0,21.0,0.0,21.0,6.0,1.0,22.0,21.0,1.0,ENTJ
27.0,21.0,0.0,21.0,6.0,1.0,22.0,20.0,2.0,ENTJ
28.0,21.0,0.0,20.0,7.0,0.0,23.0,20.0,2.0,ENTJ
29.0,21.0,0.0,18.0,9.0,0.0,23.0,21.0,1.0,ENTJ
30.0,21.0,0.0,19.0,8.0,1.0,22.0,20.0,2.0,ENTJ
31.0,21.0,0.0,19.0,8.0,0.0,23.0,20.0,2.0,ENTJ
32.0,21.0,0.0,21.0,6.0,1.0,22.0,20.0,2.0,ENTJ
