num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,20.0,1.0,3.0,24.0,17.0,6.0,20.0,2.0,ESFJ
2.0,19.0,2.0,3.0,24.0,17.0,6.0,20.0,2.0,ESFJ
3.0,21.0,0.0,2.0,25.0,18.0,5.0,21.0,1.0,ESFJ
4.0,21.0,0.0,3.0,24.0,17.0,6.0,20.0,2.0,ESFJ
5.0,20.0,1.0,2.0,25.0,19.0,4.0,20.0,2.0,ESFJ
6.0,21.0,0.0,2.0,25.0,17.0,6.0,20.0,2.0,ESFJ
7.0,20.0,1.0,4.0,23.0,17.0,6.0,20.0,2.0,ESFJ
8.0,21.0,0.0,3.0,24.0,18.0,5.0,21.0,1.0,ESFJ
9.0,20.0,1.0,2.0,25.0,17.0,6.0,20.0,2.0,ESFJ
10.0,19.0,2.0,5.0,22.0,17.0,6.0,20.0,2.0,ESFJ
11.0,20.0,1.0,1.0,26.0,17.0,6.0,20.0,2.0,ESFJ
12.0,21.0,0.0,3.0,24.0,19.0,4.0,20.0,2.0,ESFJ
13.0,20.0,1.0,4.0,23.0,17.0,6.0,20.0,2.0,ESFJ
14.0,20.0,1.0,2.0,25.0,17.0,6.0,20.0,2.0,ESFJ
15.0,20.0,1.0,2.0,25.0,17.0,6.0,20.0,2.0,ESFJ
16.0,20.0,1.0,3.0,24.0,18.0,5.0,20.0,2.0,ESFJ
17.0,20.0,1.0,5.0,22.0,17.0,6.0,21.0,1.0,ESFJ
18.0,20.0,1.0,2.0,25.0,18.0,5.0,21.0,1.0,ESFJ
19.0,21.0,0.0,3.0,24.0,19.0,4.0,20.0,2.0,ESFJ
20.0,19.0,2.0,2.0,25.0,18.0,5.0,20.0,2.0,ESFJ
21.0,20.0,1.0,3.0,24.0,19.0,4.0,21.0,1.0,ESFJ
22.0,19.0,2.0,4.0,23.0,19.0,4.0,21.0,1.0,ESFJ
23.0,20.0,1.0,3.0,24.0,18.0,5.0,21.0,1.0,ESFJ
24.0,20.0,1.0,3.0,24.0,17.0,6.0,21.0,1.0,ESFJ
25.0,20.0,1.0,4.0,23.0,18.0,5.0,21.0,1.0,ESFJ
26.0,19.0,2.0,3.0,24.0,17.0,6.0,20.0,2.0,ESFJ
27.0,19.0,2.0,3.0,24.0,18.0,5.0,21.0,1.0,ESFJ
28.0,20.0,1.0,6.0,21.0,18.0,5.0,21.0,1.0,ESFJ
29.0,21.0,0.0,2.0,25.0,18.0,5.0,21.0,1.0,ESFJ
30.0,21.0,0.0,2.0,25.0,17.0,6.0,20.0,2.0,ESFJ
31.0,19.0,2.0,3.0,24.0,17.0,6.0,21.0,1.0,ESFJ
32.0,19.0,2.0,3.0,24.0,17.0,6.0,20.0,2.0,ESFJ
33.0,20.0,1.0,2.0,25.0,18.0,5.0,20.0,2.0,ESFJ
34.0,20.0,1.0,3.0,24.0,17.0,6.0,21.0,1.0,ESFJ
35.0,20.0,1.0,3.0,24.0,17.0,6.0,20.0,2.0,ESFJ
36.0,19.0,2.0,3.0,24.0,18.0,5.0,21.0,1.0,ESFJ
37.0,19.0,2.0,4.0,23.0,18.0,5.0,20.0,2.0,ESFJ
38.0,20.0,1.0,3.0,24.0,17.0,6.0,20.0,2.0,ESFJ
39.0,20.0,1.0,3.0,24.0,18.0,5.0,21.0,1.0,ESFJ
40.0,21.0,0.0,2.0,25.0,19.0,4.0,21.0,1.0,ESFJ
41.0,19.0,2.0,3.0,24.0,19.0,4.0,21.0,1.0,ESFJ
42.0,20.0,1.0,5.0,22.0,17.0,6.0,20.0,2.0,ESFJ
43.0,21.0,0.0,2.0,25.0,18.0,5.0,21.0,1.0,ESFJ
44.0,19.0,2.0,4.0,23.0,18.0,5.0,20.0,2.0,ESFJ
45.0,20.0,1.0,4.0,23.0,17.0,6.0,21.0,1.0,ESFJ
46.0,20.0,1.0,4.0,23.0,18.0,5.0,20.0,2.0,ESFJ
47.0,20.0,1.0,4.0,23.0,18.0,5.0,21.0,1.0,ESFJ
48.0,20.0,1.0,1.0,26.0,19.0,4.0,21.0,1.0,ESFJ
49.0,19.0,2.0,4.0,23.0,17.0,6.0,21.0,1.0,ESFJ
50.0,21.0,0.0,4.0,23.0,18.0,5.0,20.0,2.0,ESFJ
51.0,20.0,1.0,3.0,24.0,19.0,4.0,20.0,2.0,ESFJ
