num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,21.0,0.0,7.0,20.0,1.0,22.0,5.0,17.0,ESTP
2.0,21.0,0.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
3.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
4.0,21.0,0.0,7.0,20.0,0.0,23.0,5.0,17.0,ESTP
5.0,20.0,1.0,6.0,21.0,0.0,23.0,6.0,16.0,ESTP
6.0,21.0,0.0,7.0,20.0,1.0,22.0,6.0,16.0,ESTP
7.0,21.0,0.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
8.0,21.0,0.0,5.0,22.0,0.0,23.0,6.0,16.0,ESTP
9.0,21.0,0.0,6.0,21.0,1.0,22.0,5.0,17.0,ESTP
10.0,21.0,0.0,4.0,23.0,0.0,23.0,5.0,17.0,ESTP
11.0,20.0,1.0,3.0,24.0,0.0,23.0,5.0,17.0,ESTP
12.0,20.0,1.0,6.0,21.0,0.0,23.0,8.0,14.0,ESTP
13.0,21.0,0.0,5.0,22.0,0.0,23.0,6.0,16.0,ESTP
14.0,21.0,0.0,8.0,19.0,0.0,23.0,5.0,17.0,ESTP
15.0,21.0,0.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
16.0,21.0,0.0,8.0,19.0,0.0,23.0,5.0,17.0,ESTP
17.0,21.0,0.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
18.0,21.0,0.0,4.0,23.0,1.0,22.0,4.0,18.0,ESTP
19.0,20.0,1.0,6.0,21.0,1.0,22.0,6.0,16.0,ESTP
20.0,21.0,0.0,7.0,20.0,1.0,22.0,4.0,18.0,ESTP
21.0,20.0,1.0,6.0,21.0,1.0,22.0,6.0,16.0,ESTP
22.0,21.0,0.0,4.0,23.0,1.0,22.0,5.0,17.0,ESTP
23.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
24.0,21.0,0.0,5.0,22.0,0.0,23.0,5.0,17.0,ESTP
25.0,21.0,0.0,6.0,21.0,1.0,22.0,6.0,16.0,ESTP
26.0,20.0,1.0,3.0,24.0,1.0,22.0,5.0,17.0,ESTP
27.0,21.0,0.0,5.0,22.0,0.0,23.0,6.0,16.0,ESTP
28.0,21.0,0.0,4.0,23.0,1.0,22.0,6.0,16.0,ESTP
29.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
30.0,21.0,0.0,4.0,23.0,0.0,23.0,4.0,18.0,ESTP
31.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
32.0,20.0,1.0,7.0,20.0,1.0,22.0,4.0,18.0,ESTP
33.0,21.0,0.0,3.0,24.0,1.0,22.0,5.0,17.0,ESTP
34.0,21.0,0.0,6.0,21.0,2.0,21.0,5.0,17.0,ESTP
35.0,21.0,0.0,4.0,23.0,1.0,22.0,5.0,17.0,ESTP
36.0,20.0,1.0,7.0,20.0,0.0,23.0,5.0,17.0,ESTP
37.0,21.0,0.0,7.0,20.0,0.0,23.0,6.0,16.0,ESTP
38.0,21.0,0.0,6.0,21.0,1.0,22.0,4.0,18.0,ESTP
39.0,21.0,0.0,7.0,20.0,1.0,22.0,6.0,16.0,ESTP
40.0,20.0,1.0,5.0,22.0,0.0,23.0,6.0,16.0,ESTP
41.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
42.0,20.0,1.0,3.0,24.0,0.0,23.0,6.0,16.0,ESTP
43.0,21.0,0.0,5.0,22.0,2.0,21.0,5.0,17.0,ESTP
44.0,21.0,0.0,5.0,22.0,0.0,23.0,5.0,17.0,ESTP
45.0,20.0,1.0,6.0,21.0,0.0,23.0,6.0,16.0,ESTP
46.0,21.0,0.0,6.0,21.0,1.0,22.0,5.0,17.0,ESTP
47.0,20.0,1.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
48.0,21.0,0.0,6.0,21.0,0.0,23.0,4.0,18.0,ESTP
49.0,21.0,0.0,7.0,20.0,1.0,22.0,6.0,16.0,ESTP
50.0,20.0,1.0,4.0,23.0,1.0,22.0,5.0,17.0,ESTP
51.0,21.0,0.0,7.0,20.0,1.0,22.0,5.0,17.0,ESTP
52.0,21.0,0.0,6.0,21.0,1.0,22.0,6.0,16.0,ESTP
53.0,21.0,0.0,4.0,23.0,1.0,22.0,6.0,16.0,ESTP
54.0,21.0,0.0,6.0,21.0,0.0,23.0,6.0,16.0,ESTP
55.0,21.0,0.0,5.0,22.0,0.0,23.0,5.0,17.0,ESTP
56.0,20.0,1.0,4.0,23.0,0.0,23.0,5.0,17.0,ESTP
57.0,20.0,1.0,5.0,22.0,2.0,21.0,5.0,17.0,ESTP
58.0,20.0,1.0,6.0,21.0,1.0,22.0,5.0,17.0,ESTP
59.0,21.0,0.0,5.0,22.0,0.0,23.0,4.0,18.0,ESTP
60.0,21.0,0.0,4.0,23.0,1.0,22.0,6.0,16.0,ESTP
61.0,20.0,1.0,4.0,23.0,1.0,22.0,6.0,16.0,ESTP
62.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
63.0,20.0,1.0,4.0,23.0,1.0,22.0,6.0,16.0,ESTP
64.0,21.0,0.0,3.0,24.0,0.0,23.0,5.0,17.0,ESTP
65.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
66.0,21.0,0.0,5.0,22.0,0.0,23.0,6.0,16.0,ESTP
67.0,21.0,0.0,6.0,21.0,1.0,22.0,6.0,16.0,ESTP
68.0,21.0,0.0,6.0,21.0,0.0,23.0,6.0,16.0,ESTP
69.0,21.0,0.0,5.0,22.0,1.0,22.0,7.0,15.0,ESTP
70.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
71.0,20.0,1.0,5.0,22.0,1.0,22.0,4.0,18.0,ESTP
72.0,19.0,2.0,7.0,20.0,1.0,22.0,5.0,17.0,ESTP
73.0,21.0,0.0,6.0,21.0,1.0,22.0,6.0,16.0,ESTP
74.0,21.0,0.0,5.0,22.0,1.0,22.0,4.0,18.0,ESTP
75.0,20.0,1.0,5.0,22.0,2.0,21.0,5.0,17.0,ESTP
76.0,21.0,0.0,6.0,21.0,1.0,22.0,6.0,16.0,ESTP
77.0,20.0,1.0,4.0,23.0,1.0,22.0,6.0,16.0,ESTP
78.0,20.0,1.0,6.0,21.0,2.0,21.0,6.0,16.0,ESTP
79.0,21.0,0.0,5.0,22.0,1.0,22.0,7.0,15.0,ESTP
80.0,21.0,0.0,4.0,23.0,1.0,22.0,7.0,15.0,ESTP
81.0,20.0,1.0,5.0,22.0,1.0,22.0,7.0,15.0,ESTP
82.0,21.0,0.0,4.0,23.0,1.0,22.0,5.0,17.0,ESTP
83.0,21.0,0.0,8.0,19.0,0.0,23.0,6.0,16.0,ESTP
84.0,21.0,0.0,5.0,22.0,1.0,22.0,4.0,18.0,ESTP
85.0,21.0,0.0,6.0,21.0,1.0,22.0,6.0,16.0,ESTP
86.0,21.0,0.0,6.0,21.0,0.0,23.0,5.0,17.0,ESTP
87.0,21.0,0.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
88.0,21.0,0.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
89.0,21.0,0.0,4.0,23.0,1.0,22.0,4.0,18.0,ESTP
90.0,21.0,0.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
91.0,21.0,0.0,5.0,22.0,0.0,23.0,5.0,17.0,ESTP
92.0,21.0,0.0,6.0,21.0,0.0,23.0,5.0,17.0,ESTP
93.0,21.0,0.0,5.0,22.0,1.0,22.0,6.0,16.0,ESTP
94.0,20.0,1.0,7.0,20.0,1.0,22.0,7.0,15.0,ESTP
95.0,21.0,0.0,4.0,23.0,1.0,22.0,6.0,16.0,ESTP
96.0,21.0,0.0,4.0,23.0,1.0,22.0,6.0,16.0,ESTP
97.0,20.0,1.0,6.0,21.0,2.0,21.0,4.0,18.0,ESTP
98.0,21.0,0.0,5.0,22.0,1.0,22.0,4.0,18.0,ESTP
99.0,21.0,0.0,5.0,22.0,1.0,22.0,5.0,17.0,ESTP
100.0,21.0,0.0,5.0,22.0,0.0,23.0,6.0,16.0,ESTP
,2073.0,27.0,528.0,2172.0,75.0,2225.0,542.0,1658.0,
