num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,1.0,20.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
2.0,2.0,19.0,20.0,7.0,20.0,3.0,20.0,2.0,INFJ
3.0,3.0,18.0,25.0,2.0,17.0,6.0,20.0,2.0,INFJ
4.0,2.0,19.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
5.0,1.0,20.0,20.0,7.0,16.0,7.0,20.0,2.0,INFJ
6.0,1.0,20.0,24.0,3.0,15.0,8.0,20.0,2.0,INFJ
7.0,2.0,19.0,24.0,3.0,18.0,5.0,20.0,2.0,INFJ
8.0,2.0,19.0,23.0,4.0,20.0,3.0,20.0,2.0,INFJ
9.0,1.0,20.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
10.0,2.0,19.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
11.0,3.0,18.0,24.0,3.0,18.0,5.0,20.0,2.0,INFJ
12.0,1.0,20.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
13.0,1.0,20.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
14.0,3.0,18.0,24.0,3.0,17.0,6.0,20.0,2.0,INFJ
15.0,2.0,19.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
16.0,2.0,19.0,22.0,5.0,17.0,6.0,20.0,2.0,INFJ
17.0,2.0,19.0,22.0,5.0,16.0,7.0,20.0,2.0,INFJ
18.0,1.0,20.0,24.0,3.0,18.0,5.0,20.0,2.0,INFJ
19.0,2.0,19.0,23.0,4.0,18.0,5.0,20.0,2.0,INFJ
20.0,1.0,20.0,23.0,4.0,20.0,3.0,20.0,2.0,INFJ
21.0,1.0,20.0,25.0,2.0,19.0,4.0,20.0,2.0,INFJ
22.0,1.0,20.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
23.0,1.0,20.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
24.0,2.0,19.0,26.0,1.0,17.0,6.0,20.0,2.0,INFJ
25.0,2.0,19.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
26.0,1.0,20.0,24.0,3.0,18.0,5.0,20.0,2.0,INFJ
27.0,2.0,19.0,23.0,4.0,18.0,5.0,20.0,2.0,INFJ
28.0,2.0,19.0,21.0,6.0,17.0,6.0,20.0,2.0,INFJ
29.0,1.0,20.0,25.0,2.0,17.0,6.0,20.0,2.0,INFJ
30.0,2.0,19.0,24.0,3.0,17.0,6.0,20.0,2.0,INFJ
31.0,3.0,18.0,25.0,2.0,20.0,3.0,20.0,2.0,INFJ
32.0,3.0,18.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
33.0,3.0,18.0,20.0,7.0,20.0,3.0,20.0,2.0,INFJ
34.0,2.0,19.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
35.0,2.0,19.0,25.0,2.0,19.0,4.0,20.0,2.0,INFJ
36.0,2.0,19.0,25.0,2.0,19.0,4.0,20.0,2.0,INFJ
37.0,2.0,19.0,24.0,3.0,17.0,6.0,20.0,2.0,INFJ
38.0,1.0,20.0,23.0,4.0,20.0,3.0,20.0,2.0,INFJ
39.0,1.0,20.0,23.0,4.0,17.0,6.0,20.0,2.0,INFJ
40.0,1.0,20.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
41.0,2.0,19.0,22.0,5.0,19.0,4.0,20.0,2.0,INFJ
42.0,3.0,18.0,23.0,4.0,21.0,2.0,20.0,2.0,INFJ
43.0,5.0,16.0,22.0,5.0,18.0,5.0,20.0,2.0,INFJ
44.0,1.0,20.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
45.0,4.0,17.0,22.0,5.0,18.0,5.0,20.0,2.0,INFJ
46.0,3.0,18.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
47.0,3.0,18.0,21.0,6.0,18.0,5.0,20.0,2.0,INFJ
48.0,2.0,19.0,22.0,5.0,19.0,4.0,20.0,2.0,INFJ
49.0,1.0,20.0,24.0,3.0,17.0,6.0,20.0,2.0,INFJ
50.0,1.0,20.0,22.0,5.0,17.0,6.0,20.0,2.0,INFJ
51.0,1.0,20.0,26.0,1.0,18.0,5.0,20.0,2.0,INFJ
52.0,2.0,19.0,22.0,5.0,17.0,6.0,20.0,2.0,INFJ
53.0,2.0,19.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
54.0,3.0,18.0,25.0,2.0,19.0,4.0,20.0,2.0,INFJ
55.0,2.0,19.0,25.0,2.0,16.0,7.0,20.0,2.0,INFJ
56.0,3.0,18.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
57.0,1.0,20.0,22.0,5.0,19.0,4.0,20.0,2.0,INFJ
58.0,3.0,18.0,22.0,5.0,18.0,5.0,20.0,2.0,INFJ
59.0,2.0,19.0,22.0,5.0,20.0,3.0,20.0,2.0,INFJ
60.0,3.0,18.0,23.0,4.0,17.0,6.0,20.0,2.0,INFJ
61.0,1.0,20.0,22.0,5.0,18.0,5.0,20.0,2.0,INFJ
62.0,3.0,18.0,24.0,3.0,18.0,5.0,20.0,2.0,INFJ
63.0,3.0,18.0,24.0,3.0,20.0,3.0,20.0,2.0,INFJ
64.0,1.0,20.0,22.0,5.0,19.0,4.0,20.0,2.0,INFJ
65.0,5.0,16.0,24.0,3.0,18.0,5.0,20.0,2.0,INFJ
66.0,2.0,19.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
67.0,2.0,19.0,24.0,3.0,20.0,3.0,20.0,2.0,INFJ
68.0,2.0,19.0,23.0,4.0,18.0,5.0,20.0,2.0,INFJ
69.0,1.0,20.0,25.0,2.0,19.0,4.0,20.0,2.0,INFJ
70.0,1.0,20.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
71.0,4.0,17.0,23.0,4.0,17.0,6.0,20.0,2.0,INFJ
72.0,2.0,19.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
73.0,2.0,19.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
74.0,1.0,20.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
75.0,2.0,19.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
76.0,2.0,19.0,24.0,3.0,18.0,5.0,20.0,2.0,INFJ
77.0,3.0,18.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
78.0,3.0,18.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
79.0,1.0,20.0,25.0,2.0,19.0,4.0,20.0,2.0,INFJ
80.0,1.0,20.0,22.0,5.0,20.0,3.0,20.0,2.0,INFJ
81.0,1.0,20.0,26.0,1.0,20.0,3.0,20.0,2.0,INFJ
82.0,3.0,18.0,25.0,2.0,17.0,6.0,20.0,2.0,INFJ
83.0,1.0,20.0,25.0,2.0,20.0,3.0,20.0,2.0,INFJ
84.0,2.0,19.0,22.0,5.0,19.0,4.0,20.0,2.0,INFJ
85.0,1.0,20.0,25.0,2.0,19.0,4.0,20.0,2.0,INFJ
86.0,2.0,19.0,22.0,5.0,20.0,3.0,20.0,2.0,INFJ
87.0,2.0,19.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
88.0,3.0,18.0,24.0,3.0,19.0,4.0,20.0,2.0,INFJ
89.0,2.0,19.0,20.0,7.0,21.0,2.0,20.0,2.0,INFJ
90.0,1.0,20.0,23.0,4.0,20.0,3.0,20.0,2.0,INFJ
91.0,3.0,18.0,24.0,3.0,21.0,2.0,20.0,2.0,INFJ
92.0,1.0,20.0,22.0,5.0,16.0,7.0,20.0,2.0,INFJ
93.0,3.0,18.0,25.0,2.0,18.0,5.0,20.0,2.0,INFJ
94.0,3.0,18.0,24.0,3.0,18.0,5.0,20.0,2.0,INFJ
95.0,1.0,20.0,25.0,2.0,19.0,4.0,20.0,2.0,INFJ
96.0,1.0,20.0,26.0,1.0,18.0,5.0,20.0,2.0,INFJ
97.0,1.0,20.0,26.0,1.0,20.0,3.0,20.0,2.0,INFJ
98.0,2.0,19.0,25.0,2.0,17.0,6.0,20.0,2.0,INFJ
99.0,1.0,20.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
100.0,2.0,19.0,23.0,4.0,19.0,4.0,20.0,2.0,INFJ
,195.0,1905.0,2360.0,340.0,1844.0,456.0,2000.0,200.0,
