num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,1.0,20.0,27.0,0.0,18.0,5.0,5.0,17.0,INFP
2.0,1.0,20.0,26.0,0.0,19.0,5.0,4.0,18.0,INFP
3.0,1.0,20.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
4.0,0.0,21.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
5.0,1.0,20.0,25.0,1.0,20.0,4.0,5.0,17.0,INFP
6.0,2.0,19.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
7.0,1.0,20.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
8.0,0.0,21.0,26.0,0.0,19.0,5.0,4.0,18.0,INFP
9.0,0.0,21.0,26.0,0.0,20.0,4.0,4.0,18.0,INFP
10.0,0.0,21.0,26.0,1.0,19.0,4.0,5.0,17.0,INFP
11.0,2.0,19.0,26.0,0.0,19.0,5.0,4.0,18.0,INFP
12.0,1.0,20.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
13.0,0.0,21.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
14.0,1.0,20.0,26.0,1.0,19.0,4.0,5.0,17.0,INFP
15.0,1.0,20.0,25.0,1.0,20.0,4.0,5.0,17.0,INFP
16.0,1.0,20.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
17.0,1.0,20.0,27.0,0.0,18.0,5.0,5.0,17.0,INFP
18.0,0.0,21.0,26.0,0.0,21.0,3.0,5.0,17.0,INFP
19.0,1.0,20.0,27.0,0.0,20.0,3.0,5.0,17.0,INFP
20.0,2.0,19.0,26.0,1.0,20.0,3.0,5.0,17.0,INFP
21.0,2.0,19.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
22.0,0.0,21.0,25.0,2.0,20.0,3.0,4.0,18.0,INFP
23.0,0.0,21.0,27.0,0.0,20.0,3.0,5.0,17.0,INFP
24.0,1.0,20.0,27.0,0.0,20.0,3.0,5.0,17.0,INFP
25.0,0.0,21.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
26.0,1.0,20.0,27.0,0.0,17.0,6.0,5.0,17.0,INFP
27.0,2.0,19.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
28.0,0.0,21.0,27.0,0.0,18.0,5.0,5.0,17.0,INFP
29.0,1.0,20.0,26.0,0.0,20.0,4.0,4.0,18.0,INFP
30.0,1.0,20.0,26.0,0.0,18.0,6.0,5.0,17.0,INFP
31.0,0.0,21.0,27.0,0.0,20.0,3.0,5.0,17.0,INFP
32.0,1.0,20.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
33.0,0.0,21.0,27.0,0.0,19.0,4.0,4.0,18.0,INFP
34.0,1.0,20.0,27.0,0.0,19.0,4.0,4.0,18.0,INFP
35.0,1.0,20.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
36.0,0.0,21.0,25.0,1.0,20.0,4.0,5.0,17.0,INFP
37.0,1.0,20.0,26.0,0.0,18.0,6.0,5.0,17.0,INFP
38.0,2.0,19.0,26.0,0.0,20.0,4.0,5.0,17.0,INFP
39.0,1.0,20.0,26.0,0.0,20.0,4.0,5.0,17.0,INFP
40.0,3.0,18.0,27.0,0.0,18.0,5.0,4.0,18.0,INFP
41.0,2.0,19.0,27.0,0.0,19.0,4.0,4.0,18.0,INFP
42.0,2.0,19.0,26.0,0.0,20.0,4.0,4.0,18.0,INFP
43.0,1.0,20.0,25.0,1.0,19.0,5.0,5.0,17.0,INFP
44.0,1.0,20.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
45.0,1.0,20.0,26.0,1.0,18.0,5.0,4.0,18.0,INFP
46.0,2.0,19.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
47.0,0.0,21.0,25.0,1.0,18.0,6.0,4.0,18.0,INFP
48.0,3.0,18.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
49.0,0.0,21.0,26.0,0.0,17.0,7.0,5.0,17.0,INFP
50.0,0.0,21.0,27.0,0.0,17.0,6.0,4.0,18.0,INFP
51.0,2.0,19.0,27.0,0.0,19.0,4.0,4.0,18.0,INFP
52.0,0.0,21.0,27.0,0.0,18.0,5.0,5.0,17.0,INFP
53.0,2.0,19.0,26.0,1.0,18.0,5.0,5.0,17.0,INFP
54.0,1.0,20.0,27.0,0.0,18.0,5.0,4.0,18.0,INFP
55.0,1.0,20.0,27.0,0.0,20.0,3.0,5.0,17.0,INFP
56.0,2.0,19.0,27.0,0.0,20.0,3.0,4.0,18.0,INFP
57.0,2.0,19.0,26.0,1.0,19.0,4.0,5.0,17.0,INFP
58.0,1.0,20.0,27.0,0.0,18.0,5.0,4.0,18.0,INFP
59.0,0.0,21.0,27.0,0.0,21.0,2.0,5.0,17.0,INFP
60.0,1.0,20.0,27.0,0.0,20.0,3.0,5.0,17.0,INFP
61.0,1.0,20.0,27.0,0.0,20.0,3.0,4.0,18.0,INFP
62.0,0.0,21.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
63.0,1.0,20.0,27.0,0.0,20.0,3.0,3.0,19.0,INFP
64.0,3.0,18.0,27.0,0.0,18.0,5.0,5.0,17.0,INFP
65.0,1.0,20.0,26.0,1.0,18.0,5.0,5.0,17.0,INFP
66.0,0.0,21.0,26.0,1.0,19.0,4.0,5.0,17.0,INFP
67.0,1.0,20.0,25.0,1.0,19.0,5.0,5.0,17.0,INFP
68.0,0.0,21.0,27.0,0.0,17.0,6.0,5.0,17.0,INFP
69.0,0.0,21.0,25.0,1.0,19.0,5.0,4.0,18.0,INFP
70.0,2.0,19.0,26.0,1.0,18.0,5.0,4.0,18.0,INFP
71.0,0.0,21.0,27.0,0.0,19.0,4.0,4.0,18.0,INFP
72.0,1.0,20.0,26.0,1.0,18.0,5.0,5.0,17.0,INFP
73.0,0.0,21.0,27.0,0.0,21.0,2.0,4.0,18.0,INFP
74.0,2.0,19.0,26.0,1.0,20.0,3.0,5.0,17.0,INFP
75.0,1.0,20.0,27.0,0.0,18.0,5.0,3.0,19.0,INFP
76.0,0.0,21.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
77.0,1.0,20.0,27.0,0.0,18.0,5.0,5.0,17.0,INFP
78.0,1.0,20.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
79.0,0.0,21.0,26.0,1.0,19.0,4.0,5.0,17.0,INFP
80.0,0.0,21.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
81.0,2.0,19.0,27.0,0.0,19.0,4.0,5.0,17.0,INFP
82.0,0.0,21.0,26.0,1.0,20.0,3.0,5.0,17.0,INFP
83.0,1.0,20.0,26.0,1.0,18.0,5.0,4.0,18.0,INFP
84.0,2.0,19.0,27.0,0.0,18.0,5.0,5.0,17.0,INFP
85.0,1.0,20.0,26.0,0.0,18.0,6.0,3.0,19.0,INFP
86.0,1.0,20.0,26.0,0.0,20.0,4.0,5.0,17.0,INFP
87.0,1.0,20.0,25.0,2.0,19.0,4.0,5.0,17.0,INFP
88.0,1.0,20.0,25.0,1.0,20.0,4.0,5.0,17.0,INFP
89.0,0.0,21.0,27.0,0.0,17.0,6.0,4.0,18.0,INFP
90.0,0.0,21.0,27.0,0.0,20.0,3.0,5.0,17.0,INFP
91.0,2.0,19.0,25.0,1.0,17.0,7.0,5.0,17.0,INFP
92.0,0.0,21.0,27.0,0.0,20.0,3.0,4.0,18.0,INFP
93.0,1.0,20.0,26.0,1.0,19.0,4.0,4.0,18.0,INFP
94.0,1.0,20.0,27.0,0.0,18.0,5.0,4.0,18.0,INFP
95.0,2.0,19.0,27.0,0.0,18.0,5.0,5.0,17.0,INFP
96.0,0.0,21.0,27.0,0.0,20.0,3.0,5.0,17.0,INFP
97.0,0.0,21.0,26.0,1.0,17.0,6.0,5.0,17.0,INFP
98.0,1.0,20.0,25.0,1.0,18.0,6.0,5.0,17.0,INFP
99.0,2.0,19.0,26.0,0.0,20.0,4.0,5.0,17.0,INFP
100.0,0.0,21.0,26.0,0.0,19.0,5.0,5.0,17.0,INFP
,92.0,2008.0,2636.0,30.0,1895.0,439.0,466.0,1734.0,
