num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,1.0,20.0,24.0,3.0,1.0,22.0,20.0,2.0,INTJ
2.0,2.0,19.0,24.0,3.0,2.0,21.0,20.0,2.0,INTJ
3.0,0.0,21.0,21.0,6.0,1.0,22.0,20.0,2.0,INTJ
4.0,2.0,19.0,23.0,4.0,1.0,22.0,20.0,2.0,INTJ
5.0,0.0,21.0,23.0,4.0,2.0,21.0,20.0,2.0,INTJ
6.0,2.0,19.0,24.0,3.0,2.0,21.0,20.0,2.0,INTJ
7.0,2.0,19.0,23.0,4.0,1.0,22.0,20.0,2.0,INTJ
8.0,2.0,19.0,21.0,6.0,2.0,21.0,20.0,2.0,INTJ
9.0,1.0,20.0,22.0,5.0,2.0,21.0,20.0,2.0,INTJ
10.0,2.0,19.0,24.0,3.0,2.0,21.0,20.0,2.0,INTJ
11.0,1.0,20.0,23.0,4.0,1.0,22.0,20.0,2.0,INTJ
12.0,1.0,20.0,22.0,5.0,1.0,22.0,20.0,2.0,INTJ
13.0,3.0,18.0,24.0,3.0,1.0,22.0,20.0,2.0,INTJ
14.0,1.0,20.0,23.0,4.0,2.0,21.0,20.0,2.0,INTJ
15.0,2.0,19.0,22.0,5.0,2.0,21.0,20.0,2.0,INTJ
16.0,1.0,20.0,23.0,4.0,2.0,21.0,20.0,2.0,INTJ
17.0,2.0,19.0,22.0,5.0,2.0,21.0,20.0,2.0,INTJ
18.0,2.0,19.0,23.0,4.0,0.0,23.0,20.0,2.0,INTJ
19.0,2.0,19.0,25.0,2.0,2.0,21.0,20.0,2.0,INTJ
20.0,3.0,18.0,25.0,2.0,3.0,20.0,20.0,2.0,INTJ
21.0,2.0,19.0,22.0,5.0,1.0,22.0,20.0,2.0,INTJ
22.0,2.0,19.0,22.0,5.0,4.0,19.0,20.0,2.0,INTJ
23.0,2.0,19.0,23.0,4.0,2.0,21.0,20.0,2.0,INTJ
24.0,1.0,20.0,23.0,4.0,2.0,21.0,20.0,2.0,INTJ
25.0,2.0,19.0,23.0,4.0,0.0,23.0,20.0,2.0,INTJ
26.0,2.0,19.0,23.0,4.0,2.0,21.0,20.0,2.0,INTJ
27.0,1.0,20.0,25.0,2.0,0.0,23.0,20.0,2.0,INTJ
28.0,1.0,20.0,22.0,5.0,4.0,19.0,20.0,2.0,INTJ
29.0,2.0,19.0,25.0,2.0,2.0,21.0,20.0,2.0,INTJ
30.0,2.0,19.0,24.0,3.0,1.0,22.0,20.0,2.0,INTJ
31.0,1.0,20.0,21.0,6.0,1.0,22.0,20.0,2.0,INTJ
32.0,3.0,18.0,23.0,4.0,3.0,20.0,20.0,2.0,INTJ
33.0,2.0,19.0,23.0,4.0,2.0,21.0,20.0,2.0,INTJ
34.0,3.0,18.0,23.0,4.0,1.0,22.0,20.0,2.0,INTJ
35.0,2.0,19.0,22.0,5.0,2.0,21.0,20.0,2.0,INTJ
36.0,2.0,19.0,21.0,6.0,1.0,22.0,20.0,2.0,INTJ
37.0,1.0,20.0,21.0,6.0,3.0,20.0,20.0,2.0,INTJ
38.0,2.0,19.0,22.0,5.0,1.0,22.0,20.0,2.0,INTJ
39.0,2.0,19.0,25.0,2.0,1.0,22.0,20.0,2.0,INTJ
40.0,2.0,19.0,21.0,6.0,3.0,20.0,20.0,2.0,INTJ
41.0,2.0,19.0,24.0,3.0,2.0,21.0,20.0,2.0,INTJ
42.0,2.0,19.0,22.0,5.0,3.0,20.0,20.0,2.0,INTJ
43.0,1.0,20.0,21.0,6.0,1.0,22.0,20.0,2.0,INTJ
44.0,2.0,19.0,22.0,5.0,1.0,22.0,20.0,2.0,INTJ
45.0,2.0,19.0,25.0,2.0,1.0,22.0,20.0,2.0,INTJ
