num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,2.0,19.0,3.0,24.0,18.0,5.0,20.0,2.0,ISFJ
2.0,2.0,19.0,2.0,25.0,18.0,5.0,20.0,2.0,ISFJ
3.0,2.0,19.0,4.0,23.0,15.0,8.0,20.0,2.0,ISFJ
4.0,1.0,20.0,2.0,25.0,16.0,7.0,20.0,2.0,ISFJ
5.0,1.0,20.0,2.0,25.0,18.0,5.0,20.0,2.0,ISFJ
6.0,1.0,20.0,2.0,25.0,18.0,5.0,20.0,2.0,ISFJ
7.0,1.0,20.0,3.0,24.0,17.0,6.0,20.0,2.0,ISFJ
8.0,1.0,20.0,3.0,24.0,17.0,6.0,20.0,2.0,ISFJ
9.0,2.0,19.0,3.0,24.0,16.0,7.0,20.0,2.0,ISFJ
10.0,1.0,20.0,2.0,25.0,15.0,8.0,20.0,2.0,ISFJ
11.0,3.0,18.0,3.0,24.0,15.0,8.0,20.0,2.0,ISFJ
12.0,2.0,19.0,3.0,24.0,15.0,8.0,20.0,2.0,ISFJ
13.0,2.0,19.0,2.0,25.0,19.0,4.0,20.0,2.0,ISFJ
14.0,3.0,18.0,5.0,22.0,17.0,6.0,20.0,2.0,ISFJ
15.0,2.0,19.0,2.0,25.0,18.0,5.0,20.0,2.0,ISFJ
16.0,2.0,19.0,4.0,23.0,16.0,7.0,20.0,2.0,ISFJ
17.0,2.0,19.0,3.0,24.0,16.0,7.0,20.0,2.0,ISFJ
18.0,1.0,20.0,2.0,25.0,17.0,6.0,20.0,2.0,ISFJ
19.0,3.0,18.0,3.0,24.0,18.0,5.0,20.0,2.0,ISFJ
20.0,1.0,20.0,2.0,25.0,17.0,6.0,20.0,2.0,ISFJ
21.0,1.0,20.0,2.0,25.0,16.0,7.0,20.0,2.0,ISFJ
22.0,1.0,20.0,4.0,23.0,16.0,7.0,20.0,2.0,ISFJ
23.0,1.0,20.0,2.0,25.0,17.0,6.0,20.0,2.0,ISFJ
24.0,1.0,20.0,3.0,24.0,16.0,7.0,20.0,2.0,ISFJ
25.0,1.0,20.0,3.0,24.0,17.0,6.0,20.0,2.0,ISFJ
26.0,1.0,20.0,2.0,25.0,18.0,5.0,20.0,2.0,ISFJ
27.0,1.0,20.0,2.0,25.0,15.0,8.0,20.0,2.0,ISFJ
28.0,1.0,20.0,2.0,25.0,17.0,6.0,20.0,2.0,ISFJ
29.0,3.0,18.0,2.0,25.0,16.0,7.0,20.0,2.0,ISFJ
30.0,1.0,20.0,2.0,25.0,17.0,6.0,20.0,2.0,ISFJ
31.0,2.0,19.0,2.0,25.0,19.0,4.0,20.0,2.0,ISFJ
32.0,2.0,19.0,3.0,24.0,16.0,7.0,20.0,2.0,ISFJ
33.0,2.0,19.0,3.0,24.0,18.0,5.0,20.0,2.0,ISFJ
34.0,2.0,19.0,3.0,24.0,18.0,5.0,20.0,2.0,ISFJ
35.0,3.0,18.0,4.0,23.0,17.0,6.0,20.0,2.0,ISFJ
36.0,1.0,20.0,4.0,23.0,18.0,5.0,20.0,2.0,ISFJ
37.0,1.0,20.0,3.0,24.0,17.0,6.0,20.0,2.0,ISFJ
38.0,3.0,18.0,3.0,24.0,17.0,6.0,20.0,2.0,ISFJ
39.0,2.0,19.0,2.0,25.0,16.0,7.0,20.0,2.0,ISFJ
40.0,1.0,20.0,2.0,25.0,18.0,5.0,20.0,2.0,ISFJ
41.0,1.0,20.0,3.0,24.0,19.0,4.0,20.0,2.0,ISFJ
42.0,2.0,19.0,2.0,25.0,16.0,7.0,20.0,2.0,ISFJ
