num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,2.0,19.0,4.0,23.0,1.0,22.0,20.0,2.0,ISTJ
2.0,1.0,20.0,3.0,24.0,2.0,21.0,20.0,2.0,ISTJ
3.0,2.0,19.0,3.0,24.0,1.0,22.0,20.0,2.0,ISTJ
4.0,1.0,20.0,3.0,24.0,2.0,21.0,20.0,2.0,ISTJ
5.0,1.0,20.0,3.0,24.0,3.0,20.0,20.0,2.0,ISTJ
6.0,1.0,20.0,3.0,24.0,1.0,22.0,20.0,2.0,ISTJ
7.0,1.0,20.0,3.0,24.0,2.0,21.0,20.0,2.0,ISTJ
8.0,1.0,20.0,3.0,24.0,1.0,22.0,20.0,2.0,ISTJ
9.0,1.0,20.0,4.0,23.0,0.0,23.0,20.0,2.0,ISTJ
10.0,1.0,20.0,3.0,24.0,1.0,22.0,20.0,2.0,ISTJ
11.0,1.0,20.0,4.0,23.0,2.0,21.0,20.0,2.0,ISTJ
12.0,1.0,20.0,3.0,24.0,3.0,20.0,20.0,2.0,ISTJ
13.0,1.0,20.0,3.0,24.0,3.0,20.0,20.0,2.0,ISTJ
14.0,1.0,20.0,3.0,24.0,3.0,20.0,20.0,2.0,ISTJ
15.0,1.0,20.0,3.0,24.0,1.0,22.0,20.0,2.0,ISTJ
16.0,1.0,20.0,3.0,24.0,4.0,19.0,20.0,2.0,ISTJ
17.0,1.0,20.0,3.0,24.0,4.0,19.0,20.0,2.0,ISTJ
18.0,1.0,20.0,3.0,24.0,2.0,21.0,20.0,2.0,ISTJ
19.0,1.0,20.0,3.0,24.0,0.0,23.0,20.0,2.0,ISTJ
20.0,2.0,19.0,3.0,24.0,0.0,23.0,20.0,2.0,ISTJ
21.0,1.0,20.0,3.0,24.0,1.0,22.0,20.0,2.0,ISTJ
22.0,1.0,20.0,3.0,24.0,1.0,22.0,20.0,2.0,ISTJ
23.0,1.0,20.0,3.0,24.0,3.0,20.0,20.0,2.0,ISTJ
24.0,1.0,20.0,3.0,24.0,2.0,21.0,20.0,2.0,ISTJ
