num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,13.0,8.0,26.0,1.0,15.0,8.0,8.0,14.0,ENFP
2.0,13.0,8.0,27.0,0.0,16.0,7.0,9.0,13.0,ENFP
3.0,13.0,8.0,26.0,1.0,17.0,6.0,6.0,16.0,ENFP
4.0,12.0,9.0,26.0,0.0,18.0,6.0,7.0,15.0,ENFP
5.0,11.0,10.0,26.0,1.0,15.0,8.0,7.0,15.0,ENFP
6.0,13.0,8.0,26.0,1.0,14.0,9.0,7.0,15.0,ENFP
7.0,12.0,9.0,26.0,1.0,15.0,8.0,7.0,15.0,ENFP
8.0,15.0,6.0,26.0,1.0,16.0,7.0,8.0,14.0,ENFP
9.0,14.0,7.0,25.0,1.0,14.0,10.0,8.0,14.0,ENFP
10.0,13.0,8.0,26.0,1.0,16.0,7.0,7.0,15.0,ENFP
11.0,14.0,7.0,25.0,1.0,15.0,9.0,6.0,16.0,ENFP
12.0,14.0,7.0,27.0,0.0,13.0,10.0,8.0,14.0,ENFP
13.0,14.0,7.0,26.0,1.0,16.0,7.0,7.0,15.0,ENFP
14.0,14.0,7.0,26.0,1.0,13.0,10.0,6.0,16.0,ENFP
15.0,14.0,7.0,27.0,0.0,14.0,9.0,7.0,15.0,ENFP
16.0,12.0,9.0,27.0,0.0,14.0,9.0,7.0,15.0,ENFP
17.0,13.0,8.0,26.0,1.0,15.0,8.0,7.0,15.0,ENFP
18.0,12.0,9.0,27.0,0.0,17.0,6.0,6.0,16.0,ENFP
19.0,15.0,6.0,26.0,1.0,14.0,9.0,7.0,15.0,ENFP
20.0,13.0,8.0,27.0,0.0,15.0,8.0,7.0,15.0,ENFP
21.0,15.0,6.0,25.0,1.0,13.0,11.0,5.0,17.0,ENFP
22.0,14.0,7.0,24.0,3.0,17.0,6.0,6.0,16.0,ENFP
23.0,16.0,5.0,25.0,2.0,13.0,10.0,7.0,15.0,ENFP
24.0,13.0,8.0,26.0,1.0,16.0,7.0,8.0,14.0,ENFP
25.0,15.0,6.0,27.0,0.0,16.0,7.0,6.0,16.0,ENFP
26.0,13.0,8.0,26.0,1.0,17.0,6.0,8.0,14.0,ENFP
27.0,11.0,10.0,25.0,2.0,14.0,9.0,6.0,16.0,ENFP
28.0,12.0,9.0,27.0,0.0,14.0,9.0,7.0,15.0,ENFP
29.0,15.0,6.0,25.0,2.0,13.0,10.0,6.0,16.0,ENFP
30.0,15.0,6.0,26.0,0.0,14.0,10.0,6.0,16.0,ENFP
31.0,15.0,6.0,27.0,0.0,16.0,7.0,6.0,16.0,ENFP
