num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,10.0,11.0,4.0,23.0,1.0,22.0,21.0,1.0,ISTJ
2.0,6.0,15.0,5.0,22.0,3.0,20.0,21.0,1.0,ISTJ
3.0,7.0,14.0,4.0,23.0,2.0,21.0,21.0,1.0,ISTJ
4.0,7.0,14.0,4.0,23.0,2.0,21.0,20.0,2.0,ISTJ
5.0,9.0,12.0,4.0,23.0,3.0,20.0,20.0,2.0,ISTJ
6.0,8.0,13.0,5.0,22.0,2.0,21.0,20.0,2.0,ISTJ
7.0,9.0,12.0,3.0,24.0,2.0,21.0,21.0,1.0,ISTJ
8.0,7.0,14.0,4.0,23.0,1.0,22.0,20.0,2.0,ISTJ
9.0,6.0,15.0,4.0,23.0,3.0,20.0,21.0,1.0,ISTJ
10.0,10.0,11.0,4.0,23.0,4.0,19.0,21.0,1.0,ISTJ
11.0,7.0,14.0,5.0,22.0,2.0,21.0,22.0,0.0,ISTJ
12.0,8.0,13.0,4.0,23.0,3.0,20.0,21.0,1.0,ISTJ
13.0,7.0,14.0,6.0,21.0,4.0,19.0,21.0,1.0,ISTJ
14.0,6.0,15.0,7.0,20.0,3.0,20.0,22.0,0.0,ISTJ
15.0,6.0,15.0,4.0,23.0,0.0,23.0,20.0,2.0,ISTJ
16.0,7.0,14.0,6.0,21.0,4.0,19.0,20.0,2.0,ISTJ
17.0,8.0,13.0,3.0,24.0,3.0,20.0,20.0,2.0,ISTJ
18.0,6.0,15.0,4.0,23.0,1.0,22.0,20.0,2.0,ISTJ
19.0,8.0,13.0,4.0,23.0,4.0,19.0,20.0,2.0,ISTJ
20.0,9.0,12.0,5.0,22.0,1.0,22.0,22.0,0.0,ISTJ
21.0,6.0,15.0,6.0,21.0,2.0,21.0,21.0,1.0,ISTJ
22.0,7.0,14.0,7.0,20.0,2.0,21.0,21.0,1.0,ISTJ
23.0,8.0,13.0,4.0,23.0,4.0,19.0,22.0,0.0,ISTJ
24.0,9.0,12.0,4.0,23.0,2.0,21.0,21.0,1.0,ISTJ
25.0,6.0,15.0,6.0,21.0,2.0,21.0,20.0,2.0,ISTJ
26.0,9.0,12.0,6.0,21.0,1.0,22.0,21.0,1.0,ISTJ
27.0,8.0,13.0,6.0,21.0,2.0,21.0,20.0,2.0,ISTJ
28.0,5.0,16.0,5.0,22.0,2.0,21.0,20.0,2.0,ISTJ
29.0,7.0,14.0,6.0,21.0,0.0,23.0,20.0,2.0,ISTJ
30.0,8.0,13.0,5.0,22.0,2.0,21.0,20.0,2.0,ISTJ
31.0,8.0,13.0,7.0,20.0,1.0,22.0,21.0,1.0,ISTJ
32.0,8.0,13.0,5.0,22.0,1.0,22.0,21.0,1.0,ISTJ
33.0,9.0,12.0,6.0,21.0,1.0,22.0,21.0,1.0,ISTJ
34.0,9.0,12.0,4.0,23.0,1.0,22.0,21.0,1.0,ISTJ
35.0,8.0,13.0,5.0,22.0,3.0,20.0,22.0,0.0,ISTJ
36.0,6.0,15.0,4.0,23.0,0.0,23.0,21.0,1.0,ISTJ
