num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,2.0,19.0,12.0,15.0,0.0,23.0,18.0,4.0,ISTJ
2.0,6.0,15.0,11.0,16.0,0.0,23.0,18.0,4.0,ISTJ
3.0,5.0,16.0,16.0,11.0,0.0,23.0,18.0,4.0,INTJ
4.0,3.0,18.0,11.0,16.0,0.0,23.0,17.0,5.0,ISTJ
5.0,2.0,19.0,10.0,17.0,1.0,22.0,16.0,6.0,ISTJ
6.0,5.0,16.0,15.0,12.0,0.0,23.0,18.0,4.0,INTJ
7.0,4.0,17.0,12.0,15.0,0.0,23.0,16.0,6.0,ISTJ
8.0,3.0,18.0,13.0,14.0,1.0,22.0,16.0,6.0,ISTJ
9.0,5.0,16.0,13.0,14.0,2.0,21.0,16.0,6.0,ISTJ
10.0,4.0,17.0,10.0,17.0,1.0,22.0,17.0,5.0,ISTJ
11.0,6.0,15.0,14.0,13.0,1.0,22.0,17.0,5.0,INTJ
12.0,4.0,17.0,13.0,14.0,0.0,23.0,15.0,7.0,ISTJ
13.0,3.0,18.0,12.0,15.0,0.0,23.0,15.0,7.0,ISTJ
14.0,4.0,17.0,9.0,18.0,0.0,23.0,18.0,4.0,ISTJ
15.0,3.0,18.0,10.0,17.0,1.0,22.0,14.0,8.0,ISTJ
16.0,6.0,15.0,11.0,16.0,0.0,23.0,18.0,4.0,ISTJ
17.0,7.0,14.0,12.0,15.0,0.0,23.0,16.0,6.0,ISTJ
18.0,5.0,16.0,14.0,13.0,2.0,21.0,16.0,6.0,INTJ
19.0,4.0,17.0,12.0,15.0,2.0,21.0,17.0,5.0,ISTJ
20.0,4.0,17.0,11.0,16.0,1.0,22.0,18.0,4.0,ISTJ
21.0,3.0,18.0,12.0,15.0,1.0,22.0,15.0,7.0,ISTJ
22.0,7.0,14.0,12.0,15.0,1.0,22.0,18.0,4.0,ISTJ
23.0,4.0,17.0,13.0,14.0,1.0,22.0,17.0,5.0,ISTJ
24.0,5.0,16.0,12.0,15.0,0.0,23.0,17.0,5.0,ISTJ
25.0,4.0,17.0,15.0,12.0,1.0,22.0,17.0,5.0,INTJ
26.0,6.0,15.0,11.0,16.0,1.0,22.0,17.0,5.0,ISTJ
27.0,6.0,15.0,11.0,16.0,2.0,21.0,19.0,3.0,ISTJ
28.0,3.0,18.0,12.0,15.0,1.0,22.0,18.0,4.0,ISTJ
29.0,6.0,15.0,10.0,17.0,0.0,23.0,16.0,6.0,ISTJ
30.0,5.0,16.0,15.0,12.0,2.0,21.0,18.0,4.0,INTJ
31.0,4.0,17.0,11.0,16.0,1.0,22.0,18.0,4.0,ISTJ
32.0,7.0,14.0,15.0,12.0,0.0,23.0,18.0,4.0,INTJ
33.0,2.0,19.0,13.0,14.0,1.0,22.0,18.0,4.0,ISTJ
34.0,3.0,18.0,12.0,15.0,1.0,22.0,15.0,7.0,ISTJ
35.0,3.0,18.0,11.0,16.0,0.0,23.0,17.0,5.0,ISTJ
36.0,3.0,18.0,9.0,18.0,0.0,23.0,16.0,6.0,ISTJ
37.0,3.0,18.0,9.0,18.0,1.0,22.0,16.0,6.0,ISTJ
38.0,4.0,17.0,15.0,12.0,0.0,23.0,16.0,6.0,INTJ
39.0,5.0,16.0,11.0,16.0,1.0,22.0,16.0,6.0,ISTJ
40.0,3.0,18.0,11.0,16.0,0.0,23.0,18.0,4.0,ISTJ
41.0,6.0,15.0,11.0,16.0,0.0,23.0,16.0,6.0,ISTJ
42.0,4.0,17.0,11.0,16.0,1.0,22.0,17.0,5.0,ISTJ
43.0,3.0,18.0,12.0,15.0,1.0,22.0,16.0,6.0,ISTJ
44.0,7.0,14.0,8.0,19.0,0.0,23.0,15.0,7.0,ISTJ
45.0,4.0,17.0,12.0,15.0,1.0,22.0,17.0,5.0,ISTJ
46.0,3.0,18.0,13.0,14.0,1.0,22.0,15.0,7.0,ISTJ
47.0,5.0,16.0,11.0,16.0,1.0,22.0,19.0,3.0,ISTJ
48.0,6.0,15.0,13.0,14.0,0.0,23.0,17.0,5.0,ISTJ
49.0,6.0,15.0,11.0,16.0,1.0,22.0,17.0,5.0,ISTJ
50.0,3.0,18.0,11.0,16.0,1.0,22.0,17.0,5.0,ISTJ
51.0,3.0,18.0,12.0,15.0,1.0,22.0,15.0,7.0,ISTJ
52.0,4.0,17.0,14.0,13.0,0.0,23.0,16.0,6.0,INTJ
53.0,4.0,17.0,14.0,13.0,0.0,23.0,17.0,5.0,INTJ
54.0,6.0,15.0,12.0,15.0,1.0,22.0,14.0,8.0,ISTJ
55.0,4.0,17.0,15.0,12.0,1.0,22.0,16.0,6.0,INTJ
56.0,6.0,15.0,12.0,15.0,1.0,22.0,17.0,5.0,ISTJ
57.0,3.0,18.0,13.0,14.0,0.0,23.0,16.0,6.0,ISTJ
58.0,4.0,17.0,14.0,13.0,1.0,22.0,16.0,6.0,INTJ
59.0,4.0,17.0,10.0,17.0,1.0,22.0,16.0,6.0,ISTJ
60.0,2.0,19.0,12.0,15.0,1.0,22.0,17.0,5.0,ISTJ
61.0,4.0,17.0,12.0,15.0,2.0,21.0,18.0,4.0,ISTJ
62.0,3.0,18.0,13.0,14.0,1.0,22.0,16.0,6.0,ISTJ
63.0,6.0,15.0,13.0,14.0,1.0,22.0,16.0,6.0,ISTJ
64.0,3.0,18.0,12.0,15.0,0.0,23.0,18.0,4.0,ISTJ
65.0,5.0,16.0,11.0,16.0,1.0,22.0,17.0,5.0,ISTJ
66.0,3.0,18.0,12.0,15.0,1.0,22.0,17.0,5.0,ISTJ
67.0,4.0,17.0,15.0,12.0,0.0,23.0,18.0,4.0,INTJ
68.0,2.0,19.0,12.0,15.0,1.0,22.0,18.0,4.0,ISTJ
69.0,6.0,15.0,12.0,15.0,1.0,22.0,17.0,5.0,ISTJ
70.0,2.0,19.0,14.0,13.0,1.0,22.0,16.0,6.0,INTJ
71.0,4.0,17.0,12.0,15.0,0.0,23.0,17.0,5.0,ISTJ
72.0,5.0,16.0,10.0,17.0,1.0,22.0,17.0,5.0,ISTJ
73.0,6.0,15.0,10.0,17.0,0.0,23.0,15.0,7.0,ISTJ
74.0,2.0,19.0,11.0,16.0,2.0,21.0,17.0,5.0,ISTJ
75.0,4.0,17.0,13.0,14.0,0.0,23.0,18.0,4.0,ISTJ
76.0,4.0,17.0,13.0,14.0,1.0,22.0,17.0,5.0,ISTJ
77.0,5.0,16.0,12.0,15.0,2.0,21.0,18.0,4.0,ISTJ
78.0,3.0,18.0,12.0,15.0,1.0,22.0,16.0,6.0,ISTJ
79.0,6.0,15.0,11.0,16.0,1.0,22.0,17.0,5.0,ISTJ
80.0,3.0,18.0,13.0,14.0,0.0,23.0,16.0,6.0,ISTJ
81.0,2.0,19.0,11.0,16.0,1.0,22.0,18.0,4.0,ISTJ
82.0,4.0,17.0,13.0,14.0,1.0,22.0,16.0,6.0,ISTJ
83.0,5.0,16.0,11.0,16.0,0.0,23.0,18.0,4.0,ISTJ
84.0,4.0,17.0,13.0,14.0,1.0,22.0,17.0,5.0,ISTJ
85.0,6.0,15.0,13.0,14.0,0.0,23.0,18.0,4.0,ISTJ
86.0,6.0,15.0,12.0,15.0,0.0,23.0,17.0,5.0,ISTJ
87.0,2.0,19.0,14.0,13.0,0.0,23.0,15.0,7.0,INTJ
88.0,3.0,18.0,12.0,15.0,1.0,22.0,18.0,4.0,ISTJ
89.0,3.0,18.0,13.0,14.0,0.0,23.0,18.0,4.0,ISTJ
90.0,6.0,15.0,12.0,15.0,0.0,23.0,18.0,4.0,ISTJ
91.0,5.0,16.0,12.0,15.0,2.0,21.0,17.0,5.0,ISTJ
92.0,5.0,16.0,10.0,17.0,0.0,23.0,17.0,5.0,ISTJ
93.0,4.0,17.0,11.0,16.0,0.0,23.0,17.0,5.0,ISTJ
94.0,6.0,15.0,9.0,18.0,1.0,22.0,18.0,4.0,ISTJ
95.0,3.0,18.0,13.0,14.0,0.0,23.0,17.0,5.0,ISTJ
96.0,4.0,17.0,12.0,15.0,2.0,21.0,17.0,5.0,ISTJ
97.0,2.0,19.0,11.0,16.0,0.0,23.0,16.0,6.0,ISTJ
98.0,4.0,17.0,13.0,14.0,1.0,22.0,16.0,6.0,ISTJ
99.0,3.0,18.0,11.0,16.0,0.0,23.0,17.0,5.0,ISTJ
100.0,4.0,17.0,11.0,16.0,0.0,23.0,17.0,5.0,ISTJ
,419.0,1681.0,1202.0,1498.0,68.0,2232.0,1681.0,519.0,
